source_id	target_id	frequency	source_name	target_name	source_raw	target_raw
2	1	0.897	ENSG00000170502.12_AC	ENSG00000186312.10_AC	ENSG00000170502.12_AC	ENSG00000186312.10_AC
3	1	0.129	ENSG00000121892.14_AC	ENSG00000186312.10_AC	ENSG00000121892.14_AC	ENSG00000186312.10_AC
4	1	0.783	ENSG00000148300.11_MFBA9BA46	ENSG00000186312.10_AC	ENSG00000148300.11_MFBA9BA46	ENSG00000186312.10_AC
5	1	0.02	ENSG00000148300.11_PCGBA23	ENSG00000186312.10_AC	ENSG00000148300.11_PCGBA23	ENSG00000186312.10_AC
6	1	0.001	ENSG00000123338.12_AC	ENSG00000186312.10_AC	ENSG00000123338.12_AC	ENSG00000186312.10_AC
7	1	0.071	ENSG00000162511.7_AC	ENSG00000186312.10_AC	ENSG00000162511.7_AC	ENSG00000186312.10_AC
8	1	0.003	ENSG00000254087.7_AC	ENSG00000186312.10_AC	ENSG00000254087.7_AC	ENSG00000186312.10_AC
9	1	0.004	ENSG00000160255.17_AC	ENSG00000186312.10_AC	ENSG00000160255.17_AC	ENSG00000186312.10_AC
13	1	0.002	ENSG00000100345.20_PCGBA23	ENSG00000186312.10_AC	ENSG00000100345.20_PCGBA23	ENSG00000186312.10_AC
14	1	0.003	ENSG00000142634.12_AC	ENSG00000186312.10_AC	ENSG00000142634.12_AC	ENSG00000186312.10_AC
15	1	0.001	ENSG00000257704.3_AC	ENSG00000186312.10_AC	ENSG00000257704.3_AC	ENSG00000186312.10_AC
16	1	0.076	ENSG00000004478.7_AC	ENSG00000186312.10_AC	ENSG00000004478.7_AC	ENSG00000186312.10_AC
18	1	0.006	ENSG00000110172.11_PCGBA23	ENSG00000186312.10_AC	ENSG00000110172.11_PCGBA23	ENSG00000186312.10_AC
19	1	0.006	ENSG00000086061.15_AC	ENSG00000186312.10_AC	ENSG00000086061.15_AC	ENSG00000186312.10_AC
20	1	0.028	ENSG00000110172.11_MFBA9BA46	ENSG00000186312.10_AC	ENSG00000110172.11_MFBA9BA46	ENSG00000186312.10_AC
21	1	0.013	ENSG00000167614.13_PCGBA23	ENSG00000186312.10_AC	ENSG00000167614.13_PCGBA23	ENSG00000186312.10_AC
22	1	0.009	ENSG00000182054.9_PCGBA23	ENSG00000186312.10_AC	ENSG00000182054.9_PCGBA23	ENSG00000186312.10_AC
23	1	0.015	ENSG00000167614.13_MFBA9BA46	ENSG00000186312.10_AC	ENSG00000167614.13_MFBA9BA46	ENSG00000186312.10_AC
24	1	0.019	ENSG00000147576.15_PCGBA23	ENSG00000186312.10_AC	ENSG00000147576.15_PCGBA23	ENSG00000186312.10_AC
25	1	0.792	ENSG00000068078.17_PCGBA23	ENSG00000186312.10_AC	ENSG00000068078.17_PCGBA23	ENSG00000186312.10_AC
26	1	0.008	ENSG00000111269.2_AC	ENSG00000186312.10_AC	ENSG00000111269.2_AC	ENSG00000186312.10_AC
27	1	0.003	ENSG00000160007.18_PCGBA23	ENSG00000186312.10_AC	ENSG00000160007.18_PCGBA23	ENSG00000186312.10_AC
28	1	0.003	ENSG00000149212.11_AC	ENSG00000186312.10_AC	ENSG00000149212.11_AC	ENSG00000186312.10_AC
29	1	0.008	ENSG00000196323.12_PCGBA23	ENSG00000186312.10_AC	ENSG00000196323.12_PCGBA23	ENSG00000186312.10_AC
30	1	0.006	ENSG00000165406.15_AC	ENSG00000186312.10_AC	ENSG00000165406.15_AC	ENSG00000186312.10_AC
31	1	0.002	ENSG00000108773.10_PCGBA23	ENSG00000186312.10_AC	ENSG00000108773.10_PCGBA23	ENSG00000186312.10_AC
32	1	0.001	ENSG00000108773.10_AC	ENSG00000186312.10_AC	ENSG00000108773.10_AC	ENSG00000186312.10_AC
34	1	0.005	ENSG00000058673.16_AC	ENSG00000186312.10_AC	ENSG00000058673.16_AC	ENSG00000186312.10_AC
35	1	0.001	ENSG00000171163.15_AC	ENSG00000186312.10_AC	ENSG00000171163.15_AC	ENSG00000186312.10_AC
36	1	0.003	ENSG00000103404.14_PCGBA23	ENSG00000186312.10_AC	ENSG00000103404.14_PCGBA23	ENSG00000186312.10_AC
37	1	0.001	ENSG00000130816.14_PCGBA23	ENSG00000186312.10_AC	ENSG00000130816.14_PCGBA23	ENSG00000186312.10_AC
38	1	0.001	ENSG00000186660.14_PCGBA23	ENSG00000186312.10_AC	ENSG00000186660.14_PCGBA23	ENSG00000186312.10_AC
40	1	0.002	ENSG00000106665.15_PCGBA23	ENSG00000186312.10_AC	ENSG00000106665.15_PCGBA23	ENSG00000186312.10_AC
1	2	0.103	ENSG00000186312.10_AC	ENSG00000170502.12_AC	ENSG00000186312.10_AC	ENSG00000170502.12_AC
3	2	0.32	ENSG00000121892.14_AC	ENSG00000170502.12_AC	ENSG00000121892.14_AC	ENSG00000170502.12_AC
4	2	0.022	ENSG00000148300.11_MFBA9BA46	ENSG00000170502.12_AC	ENSG00000148300.11_MFBA9BA46	ENSG00000170502.12_AC
5	2	0.069	ENSG00000148300.11_PCGBA23	ENSG00000170502.12_AC	ENSG00000148300.11_PCGBA23	ENSG00000170502.12_AC
6	2	0.005	ENSG00000123338.12_AC	ENSG00000170502.12_AC	ENSG00000123338.12_AC	ENSG00000170502.12_AC
7	2	0.008	ENSG00000162511.7_AC	ENSG00000170502.12_AC	ENSG00000162511.7_AC	ENSG00000170502.12_AC
8	2	0.021	ENSG00000254087.7_AC	ENSG00000170502.12_AC	ENSG00000254087.7_AC	ENSG00000170502.12_AC
9	2	0.001	ENSG00000160255.17_AC	ENSG00000170502.12_AC	ENSG00000160255.17_AC	ENSG00000170502.12_AC
10	2	0.008	ENSG00000213654.9_AC	ENSG00000170502.12_AC	ENSG00000213654.9_AC	ENSG00000170502.12_AC
11	2	0.001	ENSG00000135862.5_PCGBA23	ENSG00000170502.12_AC	ENSG00000135862.5_PCGBA23	ENSG00000170502.12_AC
12	2	0.002	ENSG00000004700.15_PCGBA23	ENSG00000170502.12_AC	ENSG00000004700.15_PCGBA23	ENSG00000170502.12_AC
13	2	0.003	ENSG00000100345.20_PCGBA23	ENSG00000170502.12_AC	ENSG00000100345.20_PCGBA23	ENSG00000170502.12_AC
14	2	0.002	ENSG00000142634.12_AC	ENSG00000170502.12_AC	ENSG00000142634.12_AC	ENSG00000170502.12_AC
15	2	0.003	ENSG00000257704.3_AC	ENSG00000170502.12_AC	ENSG00000257704.3_AC	ENSG00000170502.12_AC
16	2	0.949	ENSG00000004478.7_AC	ENSG00000170502.12_AC	ENSG00000004478.7_AC	ENSG00000170502.12_AC
17	2	0.002	ENSG00000168439.16_AC	ENSG00000170502.12_AC	ENSG00000168439.16_AC	ENSG00000170502.12_AC
18	2	0.006	ENSG00000110172.11_PCGBA23	ENSG00000170502.12_AC	ENSG00000110172.11_PCGBA23	ENSG00000170502.12_AC
19	2	0.021	ENSG00000086061.15_AC	ENSG00000170502.12_AC	ENSG00000086061.15_AC	ENSG00000170502.12_AC
20	2	0.008	ENSG00000110172.11_MFBA9BA46	ENSG00000170502.12_AC	ENSG00000110172.11_MFBA9BA46	ENSG00000170502.12_AC
21	2	0.01	ENSG00000167614.13_PCGBA23	ENSG00000170502.12_AC	ENSG00000167614.13_PCGBA23	ENSG00000170502.12_AC
22	2	0.005	ENSG00000182054.9_PCGBA23	ENSG00000170502.12_AC	ENSG00000182054.9_PCGBA23	ENSG00000170502.12_AC
23	2	0.007	ENSG00000167614.13_MFBA9BA46	ENSG00000170502.12_AC	ENSG00000167614.13_MFBA9BA46	ENSG00000170502.12_AC
24	2	0.012	ENSG00000147576.15_PCGBA23	ENSG00000170502.12_AC	ENSG00000147576.15_PCGBA23	ENSG00000170502.12_AC
25	2	0.009	ENSG00000068078.17_PCGBA23	ENSG00000170502.12_AC	ENSG00000068078.17_PCGBA23	ENSG00000170502.12_AC
26	2	0.126	ENSG00000111269.2_AC	ENSG00000170502.12_AC	ENSG00000111269.2_AC	ENSG00000170502.12_AC
27	2	0.011	ENSG00000160007.18_PCGBA23	ENSG00000170502.12_AC	ENSG00000160007.18_PCGBA23	ENSG00000170502.12_AC
28	2	0.077	ENSG00000149212.11_AC	ENSG00000170502.12_AC	ENSG00000149212.11_AC	ENSG00000170502.12_AC
29	2	0.045	ENSG00000196323.12_PCGBA23	ENSG00000170502.12_AC	ENSG00000196323.12_PCGBA23	ENSG00000170502.12_AC
30	2	0.014	ENSG00000165406.15_AC	ENSG00000170502.12_AC	ENSG00000165406.15_AC	ENSG00000170502.12_AC
