node_id	raw_name	pretty_name	is_phenotype
1	ENSG00000186312.10_AC	ENSG00000186312.10_AC	0
2	ENSG00000170502.12_AC	ENSG00000170502.12_AC	0
3	ENSG00000121892.14_AC	ENSG00000121892.14_AC	0
4	ENSG00000148300.11_MFBA9BA46	ENSG00000148300.11_MFBA9BA46	0
5	ENSG00000148300.11_PCGBA23	ENSG00000148300.11_PCGBA23	0
6	ENSG00000123338.12_AC	ENSG00000123338.12_AC	0
7	ENSG00000162511.7_AC	ENSG00000162511.7_AC	0
8	ENSG00000254087.7_AC	ENSG00000254087.7_AC	0
9	ENSG00000160255.17_AC	ENSG00000160255.17_AC	0
10	ENSG00000213654.9_AC	ENSG00000213654.9_AC	0
11	ENSG00000135862.5_PCGBA23	ENSG00000135862.5_PCGBA23	0
12	ENSG00000004700.15_PCGBA23	ENSG00000004700.15_PCGBA23	0
13	ENSG00000100345.20_PCGBA23	ENSG00000100345.20_PCGBA23	0
14	ENSG00000142634.12_AC	ENSG00000142634.12_AC	0
15	ENSG00000257704.3_AC	ENSG00000257704.3_AC	0
16	ENSG00000004478.7_AC	ENSG00000004478.7_AC	0
17	ENSG00000168439.16_AC	ENSG00000168439.16_AC	0
18	ENSG00000110172.11_PCGBA23	ENSG00000110172.11_PCGBA23	0
19	ENSG00000086061.15_AC	ENSG00000086061.15_AC	0
20	ENSG00000110172.11_MFBA9BA46	ENSG00000110172.11_MFBA9BA46	0
21	ENSG00000167614.13_PCGBA23	ENSG00000167614.13_PCGBA23	0
22	ENSG00000182054.9_PCGBA23	ENSG00000182054.9_PCGBA23	0
23	ENSG00000167614.13_MFBA9BA46	ENSG00000167614.13_MFBA9BA46	0
24	ENSG00000147576.15_PCGBA23	ENSG00000147576.15_PCGBA23	0
25	ENSG00000068078.17_PCGBA23	ENSG00000068078.17_PCGBA23	0
26	ENSG00000111269.2_AC	ENSG00000111269.2_AC	0
27	ENSG00000160007.18_PCGBA23	ENSG00000160007.18_PCGBA23	0
28	ENSG00000149212.11_AC	ENSG00000149212.11_AC	0
29	ENSG00000196323.12_PCGBA23	ENSG00000196323.12_PCGBA23	0
30	ENSG00000165406.15_AC	ENSG00000165406.15_AC	0
31	ENSG00000108773.10_PCGBA23	ENSG00000108773.10_PCGBA23	0
32	ENSG00000108773.10_AC	ENSG00000108773.10_AC	0
33	ENSG00000100201.20_AC	ENSG00000100201.20_AC	0
34	ENSG00000058673.16_AC	ENSG00000058673.16_AC	0
35	ENSG00000171163.15_AC	ENSG00000171163.15_AC	0
36	ENSG00000103404.14_PCGBA23	ENSG00000103404.14_PCGBA23	0
37	ENSG00000130816.14_PCGBA23	ENSG00000130816.14_PCGBA23	0
38	ENSG00000186660.14_PCGBA23	ENSG00000186660.14_PCGBA23	0
39	ENSG00000145191.12_PCGBA23	ENSG00000145191.12_PCGBA23	0
40	ENSG00000106665.15_PCGBA23	ENSG00000106665.15_PCGBA23	0
41	PHENO_cogng_demog_slope	PHENO_cogng_demog_slope	1
