source_id	target_id	frequency	source_name	target_name	source_raw	target_raw
2	1	0.395	ENSG00000081237.18_PCGBA23	ENSG00000123338.12_PCGBA23	ENSG00000081237.18_PCGBA23	ENSG00000123338.12_PCGBA23
3	1	0.241	ENSG00000162511.7_PCGBA23	ENSG00000123338.12_PCGBA23	ENSG00000162511.7_PCGBA23	ENSG00000123338.12_PCGBA23
4	1	0.34	ENSG00000134516.15_PCGBA23	ENSG00000123338.12_PCGBA23	ENSG00000134516.15_PCGBA23	ENSG00000123338.12_PCGBA23
5	1	0.236	ENSG00000082074.15_PCGBA23	ENSG00000123338.12_PCGBA23	ENSG00000082074.15_PCGBA23	ENSG00000123338.12_PCGBA23
6	1	0.014	ENSG00000135862.5_PCGBA23	ENSG00000123338.12_PCGBA23	ENSG00000135862.5_PCGBA23	ENSG00000123338.12_PCGBA23
7	1	0.022	ENSG00000004700.15_PCGBA23	ENSG00000123338.12_PCGBA23	ENSG00000004700.15_PCGBA23	ENSG00000123338.12_PCGBA23
8	1	0.02	ENSG00000100345.20_PCGBA23	ENSG00000123338.12_PCGBA23	ENSG00000100345.20_PCGBA23	ENSG00000123338.12_PCGBA23
9	1	0.064	ENSG00000142634.12_AC	ENSG00000123338.12_PCGBA23	ENSG00000142634.12_AC	ENSG00000123338.12_PCGBA23
10	1	0.011	ENSG00000257704.3_AC	ENSG00000123338.12_PCGBA23	ENSG00000257704.3_AC	ENSG00000123338.12_PCGBA23
11	1	0.065	ENSG00000075461.5_AC	ENSG00000123338.12_PCGBA23	ENSG00000075461.5_AC	ENSG00000123338.12_PCGBA23
12	1	0.03	ENSG00000169918.9_PCGBA23	ENSG00000123338.12_PCGBA23	ENSG00000169918.9_PCGBA23	ENSG00000123338.12_PCGBA23
13	1	0.002	ENSG00000196220.15_PCGBA23	ENSG00000123338.12_PCGBA23	ENSG00000196220.15_PCGBA23	ENSG00000123338.12_PCGBA23
14	1	0.086	ENSG00000169181.12_AC	ENSG00000123338.12_PCGBA23	ENSG00000169181.12_AC	ENSG00000123338.12_PCGBA23
15	1	0.005	ENSG00000186868.15_PCGBA23	ENSG00000123338.12_PCGBA23	ENSG00000186868.15_PCGBA23	ENSG00000123338.12_PCGBA23
16	1	0.031	ENSG00000004478.7_AC	ENSG00000123338.12_PCGBA23	ENSG00000004478.7_AC	ENSG00000123338.12_PCGBA23
17	1	0.016	ENSG00000168439.16_AC	ENSG00000123338.12_PCGBA23	ENSG00000168439.16_AC	ENSG00000123338.12_PCGBA23
18	1	0.01	ENSG00000110172.11_PCGBA23	ENSG00000123338.12_PCGBA23	ENSG00000110172.11_PCGBA23	ENSG00000123338.12_PCGBA23
