node_id	raw_name	pretty_name	is_phenotype
1	ENSG00000123338.12_PCGBA23	ENSG00000123338.12_PCGBA23	0
2	ENSG00000081237.18_PCGBA23	ENSG00000081237.18_PCGBA23	0
3	ENSG00000162511.7_PCGBA23	ENSG00000162511.7_PCGBA23	0
4	ENSG00000134516.15_PCGBA23	ENSG00000134516.15_PCGBA23	0
5	ENSG00000082074.15_PCGBA23	ENSG00000082074.15_PCGBA23	0
6	ENSG00000135862.5_PCGBA23	ENSG00000135862.5_PCGBA23	0
7	ENSG00000004700.15_PCGBA23	ENSG00000004700.15_PCGBA23	0
8	ENSG00000100345.20_PCGBA23	ENSG00000100345.20_PCGBA23	0
9	ENSG00000142634.12_AC	ENSG00000142634.12_AC	0
10	ENSG00000257704.3_AC	ENSG00000257704.3_AC	0
11	ENSG00000075461.5_AC	ENSG00000075461.5_AC	0
12	ENSG00000169918.9_PCGBA23	ENSG00000169918.9_PCGBA23	0
13	ENSG00000196220.15_PCGBA23	ENSG00000196220.15_PCGBA23	0
14	ENSG00000169181.12_AC	ENSG00000169181.12_AC	0
15	ENSG00000186868.15_PCGBA23	ENSG00000186868.15_PCGBA23	0
16	ENSG00000004478.7_AC	ENSG00000004478.7_AC	0
17	ENSG00000168439.16_AC	ENSG00000168439.16_AC	0
18	ENSG00000110172.11_PCGBA23	ENSG00000110172.11_PCGBA23	0
19	ENSG00000086061.15_AC	ENSG00000086061.15_AC	0
20	ENSG00000110172.11_MFBA9BA46	ENSG00000110172.11_MFBA9BA46	0
21	ENSG00000050748.17_PCGBA23	ENSG00000050748.17_PCGBA23	0
22	ENSG00000082458.11_PCGBA23	ENSG00000082458.11_PCGBA23	0
23	ENSG00000107758.15_PCGBA23	ENSG00000107758.15_PCGBA23	0
24	ENSG00000139174.11_PCGBA23	ENSG00000139174.11_PCGBA23	0
25	ENSG00000068615.17_PCGBA23	ENSG00000068615.17_PCGBA23	0
26	ENSG00000135336.14_AC	ENSG00000135336.14_AC	0
27	ENSG00000079332.14_PCGBA23	ENSG00000079332.14_PCGBA23	0
28	ENSG00000166887.15_AC	ENSG00000166887.15_AC	0
29	ENSG00000121940.15_AC	ENSG00000121940.15_AC	0
30	ENSG00000214046.8_AC	ENSG00000214046.8_AC	0
31	ENSG00000160007.18_MFBA9BA46	ENSG00000160007.18_MFBA9BA46	0
32	ENSG00000184486.9_MFBA9BA46	ENSG00000184486.9_MFBA9BA46	0
33	ENSG00000175928.5_MFBA9BA46	ENSG00000175928.5_MFBA9BA46	0
34	ENSG00000111269.2_MFBA9BA46	ENSG00000111269.2_MFBA9BA46	0
35	ENSG00000177732.8_PCGBA23	ENSG00000177732.8_PCGBA23	0
36	ENSG00000013364.18_MFBA9BA46	ENSG00000013364.18_MFBA9BA46	0
37	ENSG00000168610.14_MFBA9BA46	ENSG00000168610.14_MFBA9BA46	0
38	ENSG00000147065.16_MFBA9BA46	ENSG00000147065.16_MFBA9BA46	0
39	ENSG00000125844.15_MFBA9BA46	ENSG00000125844.15_MFBA9BA46	0
40	ENSG00000143570.17_MFBA9BA46	ENSG00000143570.17_MFBA9BA46	0
41	PHENO_motor10_demog_slope	PHENO_motor10_demog_slope	1
