node_id	raw_name	pretty_name	is_phenotype
1	ENSG00000114573.9_MFBA9BA46	ENSG00000114573.9_MFBA9BA46	0
2	ENSG00000065559.14_MFBA9BA46	ENSG00000065559.14_MFBA9BA46	0
3	ENSG00000170027.6_MFBA9BA46	ENSG00000170027.6_MFBA9BA46	0
4	ENSG00000058091.16_MFBA9BA46	ENSG00000058091.16_MFBA9BA46	0
5	ENSG00000107758.15_MFBA9BA46	ENSG00000107758.15_MFBA9BA46	0
6	ENSG00000174996.11_PCGBA23	ENSG00000174996.11_PCGBA23	0
7	ENSG00000177181.14_PCGBA23	ENSG00000177181.14_PCGBA23	0
8	ENSG00000172350.9_PCGBA23	ENSG00000172350.9_PCGBA23	0
9	ENSG00000172348.14_PCGBA23	ENSG00000172348.14_PCGBA23	0
10	ENSG00000114948.12_PCGBA23	ENSG00000114948.12_PCGBA23	0
11	ENSG00000068078.17_AC	ENSG00000068078.17_AC	0
12	ENSG00000154856.12_AC	ENSG00000154856.12_AC	0
13	ENSG00000157734.13_MFBA9BA46	ENSG00000157734.13_MFBA9BA46	0
14	ENSG00000145020.15_MFBA9BA46	ENSG00000145020.15_MFBA9BA46	0
15	ENSG00000157734.13_PCGBA23	ENSG00000157734.13_PCGBA23	0
16	ENSG00000185760.15_MFBA9BA46	ENSG00000185760.15_MFBA9BA46	0
17	ENSG00000183454.16_MFBA9BA46	ENSG00000183454.16_MFBA9BA46	0
18	ENSG00000105649.9_MFBA9BA46	ENSG00000105649.9_MFBA9BA46	0
19	ENSG00000130540.13_MFBA9BA46	ENSG00000130540.13_MFBA9BA46	0
20	ENSG00000148798.10_MFBA9BA46	ENSG00000148798.10_MFBA9BA46	0
21	ENSG00000198604.10_MFBA9BA46	ENSG00000198604.10_MFBA9BA46	0
22	ENSG00000125753.13_MFBA9BA46	ENSG00000125753.13_MFBA9BA46	0
23	ENSG00000091527.15_MFBA9BA46	ENSG00000091527.15_MFBA9BA46	0
24	ENSG00000109320.11_MFBA9BA46	ENSG00000109320.11_MFBA9BA46	0
25	ENSG00000125733.17_PCGBA23	ENSG00000125733.17_PCGBA23	0
26	ENSG00000115306.15_PCGBA23	ENSG00000115306.15_PCGBA23	0
27	ENSG00000123200.16_PCGBA23	ENSG00000123200.16_PCGBA23	0
28	ENSG00000215158.9_PCGBA23	ENSG00000215158.9_PCGBA23	0
29	ENSG00000038219.12_PCGBA23	ENSG00000038219.12_PCGBA23	0
30	ENSG00000147133.15_PCGBA23	ENSG00000147133.15_PCGBA23	0
31	ENSG00000013364.18_MFBA9BA46	ENSG00000013364.18_MFBA9BA46	0
32	ENSG00000168610.14_MFBA9BA46	ENSG00000168610.14_MFBA9BA46	0
33	ENSG00000147065.16_MFBA9BA46	ENSG00000147065.16_MFBA9BA46	0
34	ENSG00000125844.15_MFBA9BA46	ENSG00000125844.15_MFBA9BA46	0
35	ENSG00000143570.17_MFBA9BA46	ENSG00000143570.17_MFBA9BA46	0
36	ENSG00000111269.2_AC	ENSG00000111269.2_AC	0
37	ENSG00000160007.18_PCGBA23	ENSG00000160007.18_PCGBA23	0
38	ENSG00000149212.11_AC	ENSG00000149212.11_AC	0
39	ENSG00000196323.12_PCGBA23	ENSG00000196323.12_PCGBA23	0
40	ENSG00000165406.15_AC	ENSG00000165406.15_AC	0
41	PHENO_pseudotime	PHENO_pseudotime	1
