source_id	target_id	frequency	source_name	target_name	source_raw	target_raw
2	1	0.027	ENSG00000154856.12_AC	ENSG00000068078.17_AC	ENSG00000154856.12_AC	ENSG00000068078.17_AC
3	1	0.032	ENSG00000157734.13_MFBA9BA46	ENSG00000068078.17_AC	ENSG00000157734.13_MFBA9BA46	ENSG00000068078.17_AC
4	1	0.096	ENSG00000145020.15_MFBA9BA46	ENSG00000068078.17_AC	ENSG00000145020.15_MFBA9BA46	ENSG00000068078.17_AC
5	1	0.032	ENSG00000157734.13_PCGBA23	ENSG00000068078.17_AC	ENSG00000157734.13_PCGBA23	ENSG00000068078.17_AC
6	1	0.022	ENSG00000185432.11_AC	ENSG00000068078.17_AC	ENSG00000185432.11_AC	ENSG00000068078.17_AC
7	1	0.083	ENSG00000155324.9_AC	ENSG00000068078.17_AC	ENSG00000155324.9_AC	ENSG00000068078.17_AC
8	1	0.062	ENSG00000113594.9_AC	ENSG00000068078.17_AC	ENSG00000113594.9_AC	ENSG00000068078.17_AC
9	1	0.436	ENSG00000078114.18_AC	ENSG00000068078.17_AC	ENSG00000078114.18_AC	ENSG00000068078.17_AC
10	1	0.202	ENSG00000187079.16_AC	ENSG00000068078.17_AC	ENSG00000187079.16_AC	ENSG00000068078.17_AC
11	1	0.005	ENSG00000160007.18_MFBA9BA46	ENSG00000068078.17_AC	ENSG00000160007.18_MFBA9BA46	ENSG00000068078.17_AC
12	1	0.002	ENSG00000184486.9_MFBA9BA46	ENSG00000068078.17_AC	ENSG00000184486.9_MFBA9BA46	ENSG00000068078.17_AC
13	1	0.025	ENSG00000175928.5_MFBA9BA46	ENSG00000068078.17_AC	ENSG00000175928.5_MFBA9BA46	ENSG00000068078.17_AC
14	1	0.003	ENSG00000111269.2_MFBA9BA46	ENSG00000068078.17_AC	ENSG00000111269.2_MFBA9BA46	ENSG00000068078.17_AC
15	1	0.003	ENSG00000177732.8_PCGBA23	ENSG00000068078.17_AC	ENSG00000177732.8_PCGBA23	ENSG00000068078.17_AC
16	1	0.032	ENSG00000162944.10_PCGBA23	ENSG00000068078.17_AC	ENSG00000162944.10_PCGBA23	ENSG00000068078.17_AC
17	1	0.004	ENSG00000111961.17_PCGBA23	ENSG00000068078.17_AC	ENSG00000111961.17_PCGBA23	ENSG00000068078.17_AC
18	1	0.004	ENSG00000158186.12_PCGBA23	ENSG00000068078.17_AC	ENSG00000158186.12_PCGBA23	ENSG00000068078.17_AC
19	1	0.016	ENSG00000186350.9_PCGBA23	ENSG00000068078.17_AC	ENSG00000186350.9_PCGBA23	ENSG00000068078.17_AC
20	1	0.089	ENSG00000163884.3_PCGBA23	ENSG00000068078.17_AC	ENSG00000163884.3_PCGBA23	ENSG00000068078.17_AC
21	1	0.025	ENSG00000167614.13_PCGBA23	ENSG00000068078.17_AC	ENSG00000167614.13_PCGBA23	ENSG00000068078.17_AC
22	1	0.037	ENSG00000182054.9_PCGBA23	ENSG00000068078.17_AC	ENSG00000182054.9_PCGBA23	ENSG00000068078.17_AC
