node_id	raw_name	pretty_name	is_phenotype
1	ENSG00000068078.17_AC	ENSG00000068078.17_AC	0
2	ENSG00000154856.12_AC	ENSG00000154856.12_AC	0
3	ENSG00000157734.13_MFBA9BA46	ENSG00000157734.13_MFBA9BA46	0
4	ENSG00000145020.15_MFBA9BA46	ENSG00000145020.15_MFBA9BA46	0
5	ENSG00000157734.13_PCGBA23	ENSG00000157734.13_PCGBA23	0
6	ENSG00000185432.11_AC	ENSG00000185432.11_AC	0
7	ENSG00000155324.9_AC	ENSG00000155324.9_AC	0
8	ENSG00000113594.9_AC	ENSG00000113594.9_AC	0
9	ENSG00000078114.18_AC	ENSG00000078114.18_AC	0
10	ENSG00000187079.16_AC	ENSG00000187079.16_AC	0
11	ENSG00000160007.18_MFBA9BA46	ENSG00000160007.18_MFBA9BA46	0
12	ENSG00000184486.9_MFBA9BA46	ENSG00000184486.9_MFBA9BA46	0
13	ENSG00000175928.5_MFBA9BA46	ENSG00000175928.5_MFBA9BA46	0
14	ENSG00000111269.2_MFBA9BA46	ENSG00000111269.2_MFBA9BA46	0
15	ENSG00000177732.8_PCGBA23	ENSG00000177732.8_PCGBA23	0
16	ENSG00000162944.10_PCGBA23	ENSG00000162944.10_PCGBA23	0
17	ENSG00000111961.17_PCGBA23	ENSG00000111961.17_PCGBA23	0
18	ENSG00000158186.12_PCGBA23	ENSG00000158186.12_PCGBA23	0
19	ENSG00000186350.9_PCGBA23	ENSG00000186350.9_PCGBA23	0
20	ENSG00000163884.3_PCGBA23	ENSG00000163884.3_PCGBA23	0
21	ENSG00000167614.13_PCGBA23	ENSG00000167614.13_PCGBA23	0
22	ENSG00000182054.9_PCGBA23	ENSG00000182054.9_PCGBA23	0
23	ENSG00000167614.13_MFBA9BA46	ENSG00000167614.13_MFBA9BA46	0
24	ENSG00000147576.15_PCGBA23	ENSG00000147576.15_PCGBA23	0
25	ENSG00000068078.17_PCGBA23	ENSG00000068078.17_PCGBA23	0
26	ENSG00000123338.12_AC	ENSG00000123338.12_AC	0
27	ENSG00000162511.7_AC	ENSG00000162511.7_AC	0
28	ENSG00000254087.7_AC	ENSG00000254087.7_AC	0
29	ENSG00000160255.17_AC	ENSG00000160255.17_AC	0
30	ENSG00000213654.9_AC	ENSG00000213654.9_AC	0
31	ENSG00000127124.14_MFBA9BA46	ENSG00000127124.14_MFBA9BA46	0
32	ENSG00000084112.14_MFBA9BA46	ENSG00000084112.14_MFBA9BA46	0
33	ENSG00000145041.15_PCGBA23	ENSG00000145041.15_PCGBA23	0
34	ENSG00000072110.13_MFBA9BA46	ENSG00000072110.13_MFBA9BA46	0
35	ENSG00000048140.17_MFBA9BA46	ENSG00000048140.17_MFBA9BA46	0
36	ENSG00000137076.20_AC	ENSG00000137076.20_AC	0
37	ENSG00000124570.17_AC	ENSG00000124570.17_AC	0
38	ENSG00000137693.13_AC	ENSG00000137693.13_AC	0
39	ENSG00000184384.13_AC	ENSG00000184384.13_AC	0
40	ENSG00000183255.11_AC	ENSG00000183255.11_AC	0
41	PHENO_sqrt_parksc_demog_slope	PHENO_sqrt_parksc_demog_slope	1
