gene_id	tissue	gene_tissue	kME	abs_kME	kME_pval
ENSG00000158863.21	PCGBA23	ENSG00000158863.21_PCGBA23	0.7876887690796112	0.7876887690796112	6.591855461848413e-36
ENSG00000081692.12	MFBA9BA46	ENSG00000081692.12_MFBA9BA46	0.7809236884471233	0.7809236884471233	6.204756638500723e-35
ENSG00000117682.16	MFBA9BA46	ENSG00000117682.16_MFBA9BA46	0.7766105664587983	0.7766105664587983	2.4867245021808843e-34
ENSG00000167747.14	PCGBA23	ENSG00000167747.14_PCGBA23	0.764153773832855	0.764153773832855	1.158402331312326e-32
ENSG00000081692.12	PCGBA23	ENSG00000081692.12_PCGBA23	0.7635220698456864	0.7635220698456864	1.3986498059062076e-32
ENSG00000125772.12	AC	ENSG00000125772.12_AC	0.7452030511168705	0.7452030511168705	2.5905818336439917e-30
ENSG00000136279.20	MFBA9BA46	ENSG00000136279.20_MFBA9BA46	0.7386241866936853	0.7386241866936853	1.5172957253408438e-29
ENSG00000051009.10	MFBA9BA46	ENSG00000051009.10_MFBA9BA46	0.7379143385672954	0.7379143385672954	1.8302916889184765e-29
ENSG00000143106.12	MFBA9BA46	ENSG00000143106.12_MFBA9BA46	0.736146100978658	0.736146100978658	2.9125285168519414e-29
ENSG00000162139.9	MFBA9BA46	ENSG00000162139.9_MFBA9BA46	0.7351202173511266	0.7351202173511266	3.8069642341742364e-29
ENSG00000103507.13	MFBA9BA46	ENSG00000103507.13_MFBA9BA46	0.7256881997583624	0.7256881997583624	4.218573628333711e-28
ENSG00000203791.14	MFBA9BA46	ENSG00000203791.14_MFBA9BA46	0.7248196763164232	0.7248196763164232	5.238038116220501e-28
ENSG00000126522.16	PCGBA23	ENSG00000126522.16_PCGBA23	0.7185453794931271	0.7185453794931271	2.441921220934908e-27
ENSG00000271474.1	PCGBA23	ENSG00000271474.1_PCGBA23	0.7184491088737411	0.7184491088737411	2.4994717996495343e-27
ENSG00000133119.12	MFBA9BA46	ENSG00000133119.12_MFBA9BA46	0.7116605292254319	0.7116605292254319	1.2611188370574786e-26
ENSG00000089123.15	MFBA9BA46	ENSG00000089123.15_MFBA9BA46	0.7112946320095075	0.7112946320095075	1.3742481635307074e-26
ENSG00000086102.18	AC	ENSG00000086102.18_AC	0.7047760874431087	0.7047760874431087	6.21078720706158e-26
ENSG00000162910.18	MFBA9BA46	ENSG00000162910.18_MFBA9BA46	0.7033744735257387	0.7033744735257387	8.54422655705355e-26
ENSG00000186976.14	MFBA9BA46	ENSG00000186976.14_MFBA9BA46	0.7013889054765192	0.7013889054765192	1.338234504665951e-25
ENSG00000125772.12	MFBA9BA46	ENSG00000125772.12_MFBA9BA46	0.700129413790195	0.700129413790195	1.7754375910779084e-25
