node_id	raw_name	pretty_name	is_phenotype
1	ENSG00000158863.21_PCGBA23	ENSG00000158863.21_PCGBA23	0
2	ENSG00000081692.12_MFBA9BA46	ENSG00000081692.12_MFBA9BA46	0
3	ENSG00000117682.16_MFBA9BA46	ENSG00000117682.16_MFBA9BA46	0
4	ENSG00000167747.14_PCGBA23	ENSG00000167747.14_PCGBA23	0
5	ENSG00000081692.12_PCGBA23	ENSG00000081692.12_PCGBA23	0
6	ENSG00000125772.12_AC	ENSG00000125772.12_AC	0
7	ENSG00000136279.20_MFBA9BA46	ENSG00000136279.20_MFBA9BA46	0
8	ENSG00000051009.10_MFBA9BA46	ENSG00000051009.10_MFBA9BA46	0
9	ENSG00000143106.12_MFBA9BA46	ENSG00000143106.12_MFBA9BA46	0
10	ENSG00000162139.9_MFBA9BA46	ENSG00000162139.9_MFBA9BA46	0
11	ENSG00000103507.13_MFBA9BA46	ENSG00000103507.13_MFBA9BA46	0
12	ENSG00000203791.14_MFBA9BA46	ENSG00000203791.14_MFBA9BA46	0
13	ENSG00000126522.16_PCGBA23	ENSG00000126522.16_PCGBA23	0
14	ENSG00000271474.1_PCGBA23	ENSG00000271474.1_PCGBA23	0
15	ENSG00000133119.12_MFBA9BA46	ENSG00000133119.12_MFBA9BA46	0
16	ENSG00000089123.15_MFBA9BA46	ENSG00000089123.15_MFBA9BA46	0
17	ENSG00000086102.18_AC	ENSG00000086102.18_AC	0
18	ENSG00000162910.18_MFBA9BA46	ENSG00000162910.18_MFBA9BA46	0
19	ENSG00000186976.14_MFBA9BA46	ENSG00000186976.14_MFBA9BA46	0
20	ENSG00000125772.12_MFBA9BA46	ENSG00000125772.12_MFBA9BA46	0
21	PHENO_cogn_global	PHENO_cogn_global	1
