gene_id	tissue	gene_tissue	kME	abs_kME	kME_pval
ENSG00000185432.11	AC	ENSG00000185432.11_AC	-0.9119413050194276	0.9119413050194276	1.4521177303944165e-64
ENSG00000155324.9	AC	ENSG00000155324.9_AC	-0.8972621924980744	0.8972621924980744	2.0961553042264434e-59
ENSG00000113594.9	AC	ENSG00000113594.9_AC	-0.8827218444516047	0.8827218444516047	5.178543460768214e-55
ENSG00000078114.18	AC	ENSG00000078114.18_AC	-0.8817746143024837	0.8817746143024837	9.548743418249612e-55
ENSG00000187079.16	AC	ENSG00000187079.16_AC	-0.87312767201561	0.87312767201561	2.0197159950323818e-52
ENSG00000100427.15	AC	ENSG00000100427.15_AC	-0.8721241813125857	0.8721241813125857	3.664999416653221e-52
ENSG00000163285.7	AC	ENSG00000163285.7_AC	-0.8662579673803612	0.8662579673803612	1.0824199263765547e-50
ENSG00000129675.15	AC	ENSG00000129675.15_AC	-0.8656049611877553	0.8656049611877553	1.5622402084359757e-50
ENSG00000138696.10	AC	ENSG00000138696.10_AC	-0.8578656454548165	0.8578656454548165	1.0493746479124079e-48
ENSG00000186951.16	AC	ENSG00000186951.16_AC	-0.8567201089291543	0.8567201089291543	1.9150720119184983e-48
ENSG00000163346.16	AC	ENSG00000163346.16_AC	-0.8560146498412875	0.8560146498412875	2.7666030885506295e-48
ENSG00000136044.11	AC	ENSG00000136044.11_AC	-0.8549672671748647	0.8549672671748647	4.75968599546373e-48
ENSG00000173402.11	AC	ENSG00000173402.11_AC	-0.8542948879790089	0.8542948879790089	6.727758543845789e-48
ENSG00000105855.9	AC	ENSG00000105855.9_AC	-0.8528589861205129	0.8528589861205129	1.4005969564053568e-47
ENSG00000166734.18	AC	ENSG00000166734.18_AC	-0.8517869702324644	0.8517869702324644	2.409103107950396e-47
ENSG00000152661.7	AC	ENSG00000152661.7_AC	-0.849298218869287	0.849298218869287	8.348089794236637e-47
ENSG00000164050.12	AC	ENSG00000164050.12_AC	-0.8465278892203878	0.8465278892203878	3.2437124683036983e-46
ENSG00000153944.10	AC	ENSG00000153944.10_AC	-0.8454276564334935	0.8454276564334935	5.519750386800916e-46
ENSG00000116729.13	AC	ENSG00000116729.13_AC	-0.8431632769721833	0.8431632769721833	1.6272992786782876e-45
ENSG00000139644.12	AC	ENSG00000139644.12_AC	-0.8405781029210786	0.8405781029210786	5.476731556991535e-45
