node_id	raw_name	pretty_name	is_phenotype
1	ENSG00000185432.11_AC	ENSG00000185432.11_AC	0
2	ENSG00000155324.9_AC	ENSG00000155324.9_AC	0
3	ENSG00000113594.9_AC	ENSG00000113594.9_AC	0
4	ENSG00000078114.18_AC	ENSG00000078114.18_AC	0
5	ENSG00000187079.16_AC	ENSG00000187079.16_AC	0
6	ENSG00000100427.15_AC	ENSG00000100427.15_AC	0
7	ENSG00000163285.7_AC	ENSG00000163285.7_AC	0
8	ENSG00000129675.15_AC	ENSG00000129675.15_AC	0
9	ENSG00000138696.10_AC	ENSG00000138696.10_AC	0
10	ENSG00000186951.16_AC	ENSG00000186951.16_AC	0
11	ENSG00000163346.16_AC	ENSG00000163346.16_AC	0
12	ENSG00000136044.11_AC	ENSG00000136044.11_AC	0
13	ENSG00000173402.11_AC	ENSG00000173402.11_AC	0
14	ENSG00000105855.9_AC	ENSG00000105855.9_AC	0
15	ENSG00000166734.18_AC	ENSG00000166734.18_AC	0
16	ENSG00000152661.7_AC	ENSG00000152661.7_AC	0
17	ENSG00000164050.12_AC	ENSG00000164050.12_AC	0
18	ENSG00000153944.10_AC	ENSG00000153944.10_AC	0
19	ENSG00000116729.13_AC	ENSG00000116729.13_AC	0
20	ENSG00000139644.12_AC	ENSG00000139644.12_AC	0
21	PHENO_sqrt_parksc_demog_slope	PHENO_sqrt_parksc_demog_slope	1
