node_id	raw_name	pretty_name	is_phenotype
1	ENSG00000123338.12_AC	ENSG00000123338.12_AC	0
2	ENSG00000162511.7_AC	ENSG00000162511.7_AC	0
3	ENSG00000254087.7_AC	ENSG00000254087.7_AC	0
4	ENSG00000160255.17_AC	ENSG00000160255.17_AC	0
5	ENSG00000213654.9_AC	ENSG00000213654.9_AC	0
6	ENSG00000066336.11_AC	ENSG00000066336.11_AC	0
7	ENSG00000186517.13_AC	ENSG00000186517.13_AC	0
8	ENSG00000167613.15_AC	ENSG00000167613.15_AC	0
9	ENSG00000122122.9_AC	ENSG00000122122.9_AC	0
10	ENSG00000134516.15_AC	ENSG00000134516.15_AC	0
11	ENSG00000015285.10_AC	ENSG00000015285.10_AC	0
12	ENSG00000129226.13_AC	ENSG00000129226.13_AC	0
13	ENSG00000143119.12_AC	ENSG00000143119.12_AC	0
14	ENSG00000118640.10_AC	ENSG00000118640.10_AC	0
15	ENSG00000142347.16_AC	ENSG00000142347.16_AC	0
16	ENSG00000155629.14_AC	ENSG00000155629.14_AC	0
17	ENSG00000159189.11_AC	ENSG00000159189.11_AC	0
18	ENSG00000081237.18_AC	ENSG00000081237.18_AC	0
19	ENSG00000135077.8_AC	ENSG00000135077.8_AC	0
20	ENSG00000011600.11_AC	ENSG00000011600.11_AC	0
21	PHENO_cogng_demog_slope	PHENO_cogng_demog_slope	1
