gene_id	tissue	gene_tissue	kME	abs_kME	kME_pval
ENSG00000198604.10	MFBA9BA46	ENSG00000198604.10_MFBA9BA46	-0.8069054989876363	0.8069054989876363	7.037442511525968e-39
ENSG00000125753.13	MFBA9BA46	ENSG00000125753.13_MFBA9BA46	-0.7858731267269209	0.7858731267269209	1.2128279748947308e-35
ENSG00000091527.15	MFBA9BA46	ENSG00000091527.15_MFBA9BA46	-0.7857358931542325	0.7857358931542325	1.269721517509926e-35
ENSG00000109320.11	MFBA9BA46	ENSG00000109320.11_MFBA9BA46	-0.7832658635382177	0.7832658635382177	2.8811579969247266e-35
ENSG00000125733.17	PCGBA23	ENSG00000125733.17_PCGBA23	-0.7577948891416129	0.7577948891416129	7.521255110249089e-32
ENSG00000197019.4	MFBA9BA46	ENSG00000197019.4_MFBA9BA46	-0.7419598262650502	0.7419598262650502	6.2338726950137825e-30
ENSG00000091527.15	PCGBA23	ENSG00000091527.15_PCGBA23	-0.7229553688901145	0.7229553688901145	8.312655197349062e-28
ENSG00000006327.13	MFBA9BA46	ENSG00000006327.13_MFBA9BA46	-0.7144655774629001	0.7144655774629001	6.498208456275552e-27
ENSG00000132256.18	MFBA9BA46	ENSG00000132256.18_MFBA9BA46	-0.7094752676883602	0.7094752676883602	2.1024243179646524e-26
ENSG00000134453.15	MFBA9BA46	ENSG00000134453.15_MFBA9BA46	-0.7053839822022857	0.7053839822022857	5.405220751162904e-26
ENSG00000187840.4	MFBA9BA46	ENSG00000187840.4_MFBA9BA46	-0.7022182515122515	0.7022182515122515	1.1100376806833128e-25
ENSG00000111602.11	AC	ENSG00000111602.11_AC	-0.6992151399907198	0.6992151399907198	2.1778452061877152e-25
ENSG00000111602.11	MFBA9BA46	ENSG00000111602.11_MFBA9BA46	-0.6991575091579147	0.6991575091579147	2.2060142105150686e-25
ENSG00000006327.13	PCGBA23	ENSG00000006327.13_PCGBA23	-0.6941640473473678	0.6941640473473678	6.640660485082454e-25
ENSG00000245532.7	MFBA9BA46	ENSG00000245532.7_MFBA9BA46	-0.6932476965455865	0.6932476965455865	8.109262801111692e-25
ENSG00000020577.13	MFBA9BA46	ENSG00000020577.13_MFBA9BA46	-0.6909901425692859	0.6909901425692859	1.3224363720475602e-24
ENSG00000160410.14	MFBA9BA46	ENSG00000160410.14_MFBA9BA46	-0.6902612264675099	0.6902612264675099	1.547167423481823e-24
ENSG00000160685.13	MFBA9BA46	ENSG00000160685.13_MFBA9BA46	-0.6889644177399333	0.6889644177399333	2.0431893349932802e-24
ENSG00000101974.14	MFBA9BA46	ENSG00000101974.14_MFBA9BA46	-0.6887450038815475	0.6887450038815475	2.1413122793921935e-24
ENSG00000109606.12	PCGBA23	ENSG00000109606.12_PCGBA23	-0.6819772473901662	0.6819772473901662	8.91847865031993e-24
