node_id	raw_name	pretty_name	is_phenotype
1	ENSG00000198604.10_MFBA9BA46	ENSG00000198604.10_MFBA9BA46	0
2	ENSG00000125753.13_MFBA9BA46	ENSG00000125753.13_MFBA9BA46	0
3	ENSG00000091527.15_MFBA9BA46	ENSG00000091527.15_MFBA9BA46	0
4	ENSG00000109320.11_MFBA9BA46	ENSG00000109320.11_MFBA9BA46	0
5	ENSG00000125733.17_PCGBA23	ENSG00000125733.17_PCGBA23	0
6	ENSG00000197019.4_MFBA9BA46	ENSG00000197019.4_MFBA9BA46	0
7	ENSG00000091527.15_PCGBA23	ENSG00000091527.15_PCGBA23	0
8	ENSG00000006327.13_MFBA9BA46	ENSG00000006327.13_MFBA9BA46	0
9	ENSG00000132256.18_MFBA9BA46	ENSG00000132256.18_MFBA9BA46	0
10	ENSG00000134453.15_MFBA9BA46	ENSG00000134453.15_MFBA9BA46	0
11	ENSG00000187840.4_MFBA9BA46	ENSG00000187840.4_MFBA9BA46	0
12	ENSG00000111602.11_AC	ENSG00000111602.11_AC	0
13	ENSG00000111602.11_MFBA9BA46	ENSG00000111602.11_MFBA9BA46	0
14	ENSG00000006327.13_PCGBA23	ENSG00000006327.13_PCGBA23	0
15	ENSG00000245532.7_MFBA9BA46	ENSG00000245532.7_MFBA9BA46	0
16	ENSG00000020577.13_MFBA9BA46	ENSG00000020577.13_MFBA9BA46	0
17	ENSG00000160410.14_MFBA9BA46	ENSG00000160410.14_MFBA9BA46	0
18	ENSG00000160685.13_MFBA9BA46	ENSG00000160685.13_MFBA9BA46	0
19	ENSG00000101974.14_MFBA9BA46	ENSG00000101974.14_MFBA9BA46	0
20	ENSG00000109606.12_PCGBA23	ENSG00000109606.12_PCGBA23	0
21	PHENO_pseudotime	PHENO_pseudotime	1
