gene_id	tissue	gene_tissue	kME	abs_kME	kME_pval
ENSG00000050748.17	PCGBA23	ENSG00000050748.17_PCGBA23	0.9233240842608513	0.9233240842608513	3.1356533437481105e-69
ENSG00000082458.11	PCGBA23	ENSG00000082458.11_PCGBA23	0.9215632888542458	0.9215632888542458	1.8349236953741799e-68
ENSG00000107758.15	PCGBA23	ENSG00000107758.15_PCGBA23	0.9193077961910598	0.9193077961910598	1.6620343390035815e-67
ENSG00000139174.11	PCGBA23	ENSG00000139174.11_PCGBA23	0.8963718202986122	0.8963718202986122	4.063396586926802e-59
ENSG00000068615.17	PCGBA23	ENSG00000068615.17_PCGBA23	0.8954961064457827	0.8954961064457827	7.746075808201035e-59
ENSG00000169891.17	PCGBA23	ENSG00000169891.17_PCGBA23	0.8942491787750297	0.8942491787750297	1.9221279145257632e-58
ENSG00000160014.16	PCGBA23	ENSG00000160014.16_PCGBA23	0.888236177081002	0.888236177081002	1.3189883329312782e-56
ENSG00000165943.4	PCGBA23	ENSG00000165943.4_PCGBA23	0.8809148428822364	0.8809148428822364	1.6564774347706526e-54
ENSG00000114573.9	PCGBA23	ENSG00000114573.9_PCGBA23	0.8692836697498069	0.8692836697498069	1.9271185215744114e-51
ENSG00000164885.12	PCGBA23	ENSG00000164885.12_PCGBA23	0.8683715272494483	0.8683715272494483	3.256919327920859e-51
ENSG00000170027.6	PCGBA23	ENSG00000170027.6_PCGBA23	0.8682537727818977	0.8682537727818977	3.4842052854903424e-51
ENSG00000073969.18	PCGBA23	ENSG00000073969.18_PCGBA23	0.8679837694746402	0.8679837694746402	4.066050063370476e-51
ENSG00000138757.14	PCGBA23	ENSG00000138757.14_PCGBA23	0.8665241417657715	0.8665241417657715	9.315375937313133e-51
ENSG00000158560.14	PCGBA23	ENSG00000158560.14_PCGBA23	0.8585121155390846	0.8585121155390846	7.455602912775706e-49
ENSG00000149269.9	PCGBA23	ENSG00000149269.9_PCGBA23	0.8572475640114559	0.8572475640114559	1.4526974655478522e-48
ENSG00000142686.7	PCGBA23	ENSG00000142686.7_PCGBA23	0.8549191114911463	0.8549191114911463	4.8794109324325613e-48
ENSG00000061918.12	PCGBA23	ENSG00000061918.12_PCGBA23	0.853457723387445	0.853457723387445	1.0326269502876436e-47
ENSG00000139112.10	PCGBA23	ENSG00000139112.10_PCGBA23	0.8533192517357806	0.8533192517357806	1.108177450542427e-47
ENSG00000197535.14	PCGBA23	ENSG00000197535.14_PCGBA23	0.8514459589660424	0.8514459589660424	2.8601749282028263e-47
ENSG00000155097.11	PCGBA23	ENSG00000155097.11_PCGBA23	0.8505876202782591	0.8505876202782591	4.397259256101761e-47
