node_id	raw_name	pretty_name	is_phenotype
1	ENSG00000050748.17_PCGBA23	ENSG00000050748.17_PCGBA23	0
2	ENSG00000082458.11_PCGBA23	ENSG00000082458.11_PCGBA23	0
3	ENSG00000107758.15_PCGBA23	ENSG00000107758.15_PCGBA23	0
4	ENSG00000139174.11_PCGBA23	ENSG00000139174.11_PCGBA23	0
5	ENSG00000068615.17_PCGBA23	ENSG00000068615.17_PCGBA23	0
6	ENSG00000169891.17_PCGBA23	ENSG00000169891.17_PCGBA23	0
7	ENSG00000160014.16_PCGBA23	ENSG00000160014.16_PCGBA23	0
8	ENSG00000165943.4_PCGBA23	ENSG00000165943.4_PCGBA23	0
9	ENSG00000114573.9_PCGBA23	ENSG00000114573.9_PCGBA23	0
10	ENSG00000164885.12_PCGBA23	ENSG00000164885.12_PCGBA23	0
11	ENSG00000170027.6_PCGBA23	ENSG00000170027.6_PCGBA23	0
12	ENSG00000073969.18_PCGBA23	ENSG00000073969.18_PCGBA23	0
13	ENSG00000138757.14_PCGBA23	ENSG00000138757.14_PCGBA23	0
14	ENSG00000158560.14_PCGBA23	ENSG00000158560.14_PCGBA23	0
15	ENSG00000149269.9_PCGBA23	ENSG00000149269.9_PCGBA23	0
16	ENSG00000142686.7_PCGBA23	ENSG00000142686.7_PCGBA23	0
17	ENSG00000061918.12_PCGBA23	ENSG00000061918.12_PCGBA23	0
18	ENSG00000139112.10_PCGBA23	ENSG00000139112.10_PCGBA23	0
19	ENSG00000197535.14_PCGBA23	ENSG00000197535.14_PCGBA23	0
20	ENSG00000155097.11_PCGBA23	ENSG00000155097.11_PCGBA23	0
21	PHENO_motor10_demog_slope	PHENO_motor10_demog_slope	1
