source_id	target_id	frequency	source_name	target_name	source_raw	target_raw
2	1	0.878	ENSG00000168439.16_AC	ENSG00000004478.7_AC	ENSG00000168439.16_AC	ENSG00000004478.7_AC
3	1	0.006	ENSG00000110172.11_PCGBA23	ENSG00000004478.7_AC	ENSG00000110172.11_PCGBA23	ENSG00000004478.7_AC
4	1	0.118	ENSG00000086061.15_AC	ENSG00000004478.7_AC	ENSG00000086061.15_AC	ENSG00000004478.7_AC
5	1	0.005	ENSG00000110172.11_MFBA9BA46	ENSG00000004478.7_AC	ENSG00000110172.11_MFBA9BA46	ENSG00000004478.7_AC
6	1	0.002	ENSG00000100591.7_AC	ENSG00000004478.7_AC	ENSG00000100591.7_AC	ENSG00000004478.7_AC
7	1	0.23	ENSG00000168439.16_MFBA9BA46	ENSG00000004478.7_AC	ENSG00000168439.16_MFBA9BA46	ENSG00000004478.7_AC
8	1	0.981	ENSG00000110172.11_AC	ENSG00000004478.7_AC	ENSG00000110172.11_AC	ENSG00000004478.7_AC
9	1	0.013	ENSG00000168439.16_PCGBA23	ENSG00000004478.7_AC	ENSG00000168439.16_PCGBA23	ENSG00000004478.7_AC
10	1	0.007	ENSG00000070495.14_AC	ENSG00000004478.7_AC	ENSG00000070495.14_AC	ENSG00000004478.7_AC
11	1	0.032	ENSG00000070495.14_PCGBA23	ENSG00000004478.7_AC	ENSG00000070495.14_PCGBA23	ENSG00000004478.7_AC
12	1	0.003	ENSG00000086061.15_MFBA9BA46	ENSG00000004478.7_AC	ENSG00000086061.15_MFBA9BA46	ENSG00000004478.7_AC
13	1	0.049	ENSG00000086061.15_PCGBA23	ENSG00000004478.7_AC	ENSG00000086061.15_PCGBA23	ENSG00000004478.7_AC
14	1	0.197	ENSG00000120694.19_MFBA9BA46	ENSG00000004478.7_AC	ENSG00000120694.19_MFBA9BA46	ENSG00000004478.7_AC
15	1	0.003	ENSG00000159873.9_PCGBA23	ENSG00000004478.7_AC	ENSG00000159873.9_PCGBA23	ENSG00000004478.7_AC
16	1	0.001	ENSG00000080824.18_AC	ENSG00000004478.7_AC	ENSG00000080824.18_AC	ENSG00000004478.7_AC
17	1	0.001	ENSG00000120694.19_PCGBA23	ENSG00000004478.7_AC	ENSG00000120694.19_PCGBA23	ENSG00000004478.7_AC
18	1	0.259	ENSG00000004478.7_PCGBA23	ENSG00000004478.7_AC	ENSG00000004478.7_PCGBA23	ENSG00000004478.7_AC
19	1	0.119	ENSG00000162616.8_PCGBA23	ENSG00000004478.7_AC	ENSG00000162616.8_PCGBA23	ENSG00000004478.7_AC
20	1	0.021	ENSG00000080824.18_PCGBA23	ENSG00000004478.7_AC	ENSG00000080824.18_PCGBA23	ENSG00000004478.7_AC
1	2	0.122	ENSG00000004478.7_AC	ENSG00000168439.16_AC	ENSG00000004478.7_AC	ENSG00000168439.16_AC
3	2	0.01	ENSG00000110172.11_PCGBA23	ENSG00000168439.16_AC	ENSG00000110172.11_PCGBA23	ENSG00000168439.16_AC
4	2	0.95	ENSG00000086061.15_AC	ENSG00000168439.16_AC	ENSG00000086061.15_AC	ENSG00000168439.16_AC
6	2	0.032	ENSG00000100591.7_AC	ENSG00000168439.16_AC	ENSG00000100591.7_AC	ENSG00000168439.16_AC
7	2	0.002	ENSG00000168439.16_MFBA9BA46	ENSG00000168439.16_AC	ENSG00000168439.16_MFBA9BA46	ENSG00000168439.16_AC
8	2	0.836	ENSG00000110172.11_AC	ENSG00000168439.16_AC	ENSG00000110172.11_AC	ENSG00000168439.16_AC
9	2	0.831	ENSG00000168439.16_PCGBA23	ENSG00000168439.16_AC	ENSG00000168439.16_PCGBA23	ENSG00000168439.16_AC
