gene_id	tissue	gene_tissue	kME	abs_kME	kME_pval
ENSG00000186312.10	AC	ENSG00000186312.10_AC	0.8329754603229211	0.8329754603229211	1.7203269979934205e-43
ENSG00000170502.12	AC	ENSG00000170502.12_AC	0.8242026480085562	0.8242026480085562	7.44998221178038e-42
ENSG00000121892.14	AC	ENSG00000121892.14_AC	0.8016438227817739	0.8016438227817739	4.935809565625302e-38
ENSG00000148300.11	MFBA9BA46	ENSG00000148300.11_MFBA9BA46	0.7984634857771755	0.7984634857771755	1.5575757952289095e-37
ENSG00000148300.11	PCGBA23	ENSG00000148300.11_PCGBA23	0.7935422909591223	0.7935422909591223	8.858483266232735e-37
ENSG00000167968.12	MFBA9BA46	ENSG00000167968.12_MFBA9BA46	0.7844130136973104	0.7844130136973104	1.9718731855220598e-35
ENSG00000129646.14	MFBA9BA46	ENSG00000129646.14_MFBA9BA46	0.7791790978394075	0.7791790978394075	1.0920069480661798e-34
ENSG00000148300.11	AC	ENSG00000148300.11_AC	0.7767997666482973	0.7767997666482973	2.341334474451512e-34
ENSG00000186312.10	PCGBA23	ENSG00000186312.10_PCGBA23	0.7759745136373335	0.7759745136373335	3.043679816654788e-34
ENSG00000134905.16	AC	ENSG00000134905.16_AC	0.7701832929840712	0.7701832929840712	1.859974924918542e-33
ENSG00000173933.19	MFBA9BA46	ENSG00000173933.19_MFBA9BA46	0.7628308479006045	0.7628308479006045	1.7178207668464295e-32
ENSG00000260238.6	MFBA9BA46	ENSG00000260238.6_MFBA9BA46	0.7616144483811131	0.7616144483811131	2.4622643582985468e-32
ENSG00000196458.10	MFBA9BA46	ENSG00000196458.10_MFBA9BA46	0.761065174425436	0.761065174425436	2.894895125603965e-32
ENSG00000170502.12	MFBA9BA46	ENSG00000170502.12_MFBA9BA46	0.7603863808627754	0.7603863808627754	3.533834701771929e-32
ENSG00000153561.12	MFBA9BA46	ENSG00000153561.12_MFBA9BA46	0.7553664015519564	0.7553664015519564	1.5134860763814896e-31
ENSG00000184677.16	PCGBA23	ENSG00000184677.16_PCGBA23	0.7547910780328102	0.7547910780328102	1.7840386239721904e-31
ENSG00000173914.11	AC	ENSG00000173914.11_AC	0.7528490575000273	0.7528490575000273	3.0977980685220286e-31
ENSG00000276564.1	AC	ENSG00000276564.1_AC	0.7526919642409308	0.7526919642409308	3.23848221687816e-31
ENSG00000173914.11	MFBA9BA46	ENSG00000173914.11_MFBA9BA46	0.751158786213703	0.751158786213703	4.9869335669243405e-31
ENSG00000186312.10	MFBA9BA46	ENSG00000186312.10_MFBA9BA46	0.7501612858383726	0.7501612858383726	6.593045588293902e-31
