source_id	target_id	frequency	source_name	target_name	source_raw	target_raw
2	1	0.001	ENSG00000065559.14_MFBA9BA46	ENSG00000114573.9_MFBA9BA46	ENSG00000065559.14_MFBA9BA46	ENSG00000114573.9_MFBA9BA46
3	1	0.042	ENSG00000170027.6_MFBA9BA46	ENSG00000114573.9_MFBA9BA46	ENSG00000170027.6_MFBA9BA46	ENSG00000114573.9_MFBA9BA46
4	1	0.057	ENSG00000058091.16_MFBA9BA46	ENSG00000114573.9_MFBA9BA46	ENSG00000058091.16_MFBA9BA46	ENSG00000114573.9_MFBA9BA46
5	1	0.122	ENSG00000107758.15_MFBA9BA46	ENSG00000114573.9_MFBA9BA46	ENSG00000107758.15_MFBA9BA46	ENSG00000114573.9_MFBA9BA46
6	1	0.086	ENSG00000159082.17_MFBA9BA46	ENSG00000114573.9_MFBA9BA46	ENSG00000159082.17_MFBA9BA46	ENSG00000114573.9_MFBA9BA46
7	1	0.008	ENSG00000139174.11_MFBA9BA46	ENSG00000114573.9_MFBA9BA46	ENSG00000139174.11_MFBA9BA46	ENSG00000114573.9_MFBA9BA46
8	1	0.036	ENSG00000165943.4_MFBA9BA46	ENSG00000114573.9_MFBA9BA46	ENSG00000165943.4_MFBA9BA46	ENSG00000114573.9_MFBA9BA46
9	1	0.05	ENSG00000155097.11_MFBA9BA46	ENSG00000114573.9_MFBA9BA46	ENSG00000155097.11_MFBA9BA46	ENSG00000114573.9_MFBA9BA46
10	1	0.088	ENSG00000213424.8_MFBA9BA46	ENSG00000114573.9_MFBA9BA46	ENSG00000213424.8_MFBA9BA46	ENSG00000114573.9_MFBA9BA46
11	1	0.015	ENSG00000108395.13_MFBA9BA46	ENSG00000114573.9_MFBA9BA46	ENSG00000108395.13_MFBA9BA46	ENSG00000114573.9_MFBA9BA46
12	1	0.894	ENSG00000162636.15_MFBA9BA46	ENSG00000114573.9_MFBA9BA46	ENSG00000162636.15_MFBA9BA46	ENSG00000114573.9_MFBA9BA46
13	1	0.002	ENSG00000116141.15_MFBA9BA46	ENSG00000114573.9_MFBA9BA46	ENSG00000116141.15_MFBA9BA46	ENSG00000114573.9_MFBA9BA46
14	1	0.161	ENSG00000163618.17_MFBA9BA46	ENSG00000114573.9_MFBA9BA46	ENSG00000163618.17_MFBA9BA46	ENSG00000114573.9_MFBA9BA46
15	1	0.028	ENSG00000146267.11_MFBA9BA46	ENSG00000114573.9_MFBA9BA46	ENSG00000146267.11_MFBA9BA46	ENSG00000114573.9_MFBA9BA46
16	1	0.008	ENSG00000074590.13_MFBA9BA46	ENSG00000114573.9_MFBA9BA46	ENSG00000074590.13_MFBA9BA46	ENSG00000114573.9_MFBA9BA46
17	1	0.029	ENSG00000144331.18_MFBA9BA46	ENSG00000114573.9_MFBA9BA46	ENSG00000144331.18_MFBA9BA46	ENSG00000114573.9_MFBA9BA46
