source_id	target_id	frequency	source_name	target_name	source_raw	target_raw
2	1	0.175	ENSG00000182054.9_PCGBA23	ENSG00000167614.13_PCGBA23	ENSG00000182054.9_PCGBA23	ENSG00000167614.13_PCGBA23
3	1	0.222	ENSG00000167614.13_MFBA9BA46	ENSG00000167614.13_PCGBA23	ENSG00000167614.13_MFBA9BA46	ENSG00000167614.13_PCGBA23
4	1	0.38	ENSG00000147576.15_PCGBA23	ENSG00000167614.13_PCGBA23	ENSG00000147576.15_PCGBA23	ENSG00000167614.13_PCGBA23
5	1	0.043	ENSG00000068078.17_PCGBA23	ENSG00000167614.13_PCGBA23	ENSG00000068078.17_PCGBA23	ENSG00000167614.13_PCGBA23
6	1	0.024	ENSG00000125462.16_MFBA9BA46	ENSG00000167614.13_PCGBA23	ENSG00000125462.16_MFBA9BA46	ENSG00000167614.13_PCGBA23
7	1	0.08	ENSG00000147576.15_MFBA9BA46	ENSG00000167614.13_PCGBA23	ENSG00000147576.15_MFBA9BA46	ENSG00000167614.13_PCGBA23
8	1	0.402	ENSG00000125462.16_PCGBA23	ENSG00000167614.13_PCGBA23	ENSG00000125462.16_PCGBA23	ENSG00000167614.13_PCGBA23
9	1	0.152	ENSG00000120915.13_PCGBA23	ENSG00000167614.13_PCGBA23	ENSG00000120915.13_PCGBA23	ENSG00000167614.13_PCGBA23
11	1	0.015	ENSG00000083123.14_PCGBA23	ENSG00000167614.13_PCGBA23	ENSG00000083123.14_PCGBA23	ENSG00000167614.13_PCGBA23
12	1	0.272	ENSG00000112294.12_PCGBA23	ENSG00000167614.13_PCGBA23	ENSG00000112294.12_PCGBA23	ENSG00000167614.13_PCGBA23
13	1	0.026	ENSG00000245573.7_PCGBA23	ENSG00000167614.13_PCGBA23	ENSG00000245573.7_PCGBA23	ENSG00000167614.13_PCGBA23
14	1	0.01	ENSG00000143811.18_PCGBA23	ENSG00000167614.13_PCGBA23	ENSG00000143811.18_PCGBA23	ENSG00000167614.13_PCGBA23
16	1	0.022	ENSG00000177576.11_PCGBA23	ENSG00000167614.13_PCGBA23	ENSG00000177576.11_PCGBA23	ENSG00000167614.13_PCGBA23
17	1	0.039	ENSG00000186815.12_PCGBA23	ENSG00000167614.13_PCGBA23	ENSG00000186815.12_PCGBA23	ENSG00000167614.13_PCGBA23
18	1	0.074	ENSG00000154319.14_PCGBA23	ENSG00000167614.13_PCGBA23	ENSG00000154319.14_PCGBA23	ENSG00000167614.13_PCGBA23
19	1	0.026	ENSG00000120915.13_MFBA9BA46	ENSG00000167614.13_PCGBA23	ENSG00000120915.13_MFBA9BA46	ENSG00000167614.13_PCGBA23
20	1	0.013	ENSG00000138613.13_PCGBA23	ENSG00000167614.13_PCGBA23	ENSG00000138613.13_PCGBA23	ENSG00000167614.13_PCGBA23
1	2	0.56	ENSG00000167614.13_PCGBA23	ENSG00000182054.9_PCGBA23	ENSG00000167614.13_PCGBA23	ENSG00000182054.9_PCGBA23
3	2	0.01	ENSG00000167614.13_MFBA9BA46	ENSG00000182054.9_PCGBA23	ENSG00000167614.13_MFBA9BA46	ENSG00000182054.9_PCGBA23
4	2	0.45	ENSG00000147576.15_PCGBA23	ENSG00000182054.9_PCGBA23	ENSG00000147576.15_PCGBA23	ENSG00000182054.9_PCGBA23
5	2	0.011	ENSG00000068078.17_PCGBA23	ENSG00000182054.9_PCGBA23	ENSG00000068078.17_PCGBA23	ENSG00000182054.9_PCGBA23
6	2	0.007	ENSG00000125462.16_MFBA9BA46	ENSG00000182054.9_PCGBA23	ENSG00000125462.16_MFBA9BA46	ENSG00000182054.9_PCGBA23
7	2	0.013	ENSG00000147576.15_MFBA9BA46	ENSG00000182054.9_PCGBA23	ENSG00000147576.15_MFBA9BA46	ENSG00000182054.9_PCGBA23
8	2	0.139	ENSG00000125462.16_PCGBA23	ENSG00000182054.9_PCGBA23	ENSG00000125462.16_PCGBA23	ENSG00000182054.9_PCGBA23
9	2	0.263	ENSG00000120915.13_PCGBA23	ENSG00000182054.9_PCGBA23	ENSG00000120915.13_PCGBA23	ENSG00000182054.9_PCGBA23
10	2	0.001	ENSG00000166816.13_MFBA9BA46	ENSG00000182054.9_PCGBA23	ENSG00000166816.13_MFBA9BA46	ENSG00000182054.9_PCGBA23
11	2	0.232	ENSG00000083123.14_PCGBA23	ENSG00000182054.9_PCGBA23	ENSG00000083123.14_PCGBA23	ENSG00000182054.9_PCGBA23
12	2	0.162	ENSG00000112294.12_PCGBA23	ENSG00000182054.9_PCGBA23	ENSG00000112294.12_PCGBA23	ENSG00000182054.9_PCGBA23
13	2	0.012	ENSG00000245573.7_PCGBA23	ENSG00000182054.9_PCGBA23	ENSG00000245573.7_PCGBA23	ENSG00000182054.9_PCGBA23
14	2	0.056	ENSG00000143811.18_PCGBA23	ENSG00000182054.9_PCGBA23	ENSG00000143811.18_PCGBA23	ENSG00000182054.9_PCGBA23
15	2	0.005	ENSG00000149090.11_MFBA9BA46	ENSG00000182054.9_PCGBA23	ENSG00000149090.11_MFBA9BA46	ENSG00000182054.9_PCGBA23
16	2	0.086	ENSG00000177576.11_PCGBA23	ENSG00000182054.9_PCGBA23	ENSG00000177576.11_PCGBA23	ENSG00000182054.9_PCGBA23
17	2	0.009	ENSG00000186815.12_PCGBA23	ENSG00000182054.9_PCGBA23	ENSG00000186815.12_PCGBA23	ENSG00000182054.9_PCGBA23
18	2	0.085	ENSG00000154319.14_PCGBA23	ENSG00000182054.9_PCGBA23	ENSG00000154319.14_PCGBA23	ENSG00000182054.9_PCGBA23
19	2	0.004	ENSG00000120915.13_MFBA9BA46	ENSG00000182054.9_PCGBA23	ENSG00000120915.13_MFBA9BA46	ENSG00000182054.9_PCGBA23
20	2	0.003	ENSG00000138613.13_PCGBA23	ENSG00000182054.9_PCGBA23	ENSG00000138613.13_PCGBA23	ENSG00000182054.9_PCGBA23
1	3	0.775	ENSG00000167614.13_PCGBA23	ENSG00000167614.13_MFBA9BA46	ENSG00000167614.13_PCGBA23	ENSG00000167614.13_MFBA9BA46
2	3	0.016	ENSG00000182054.9_PCGBA23	ENSG00000167614.13_MFBA9BA46	ENSG00000182054.9_PCGBA23	ENSG00000167614.13_MFBA9BA46
4	3	0.388	ENSG00000147576.15_PCGBA23	ENSG00000167614.13_MFBA9BA46	ENSG00000147576.15_PCGBA23	ENSG00000167614.13_MFBA9BA46
5	3	0.01	ENSG00000068078.17_PCGBA23	ENSG00000167614.13_MFBA9BA46	ENSG00000068078.17_PCGBA23	ENSG00000167614.13_MFBA9BA46
6	3	0.119	ENSG00000125462.16_MFBA9BA46	ENSG00000167614.13_MFBA9BA46	ENSG00000125462.16_MFBA9BA46	ENSG00000167614.13_MFBA9BA46
7	3	0.438	ENSG00000147576.15_MFBA9BA46	ENSG00000167614.13_MFBA9BA46	ENSG00000147576.15_MFBA9BA46	ENSG00000167614.13_MFBA9BA46
8	3	0.092	ENSG00000125462.16_PCGBA23	ENSG00000167614.13_MFBA9BA46	ENSG00000125462.16_PCGBA23	ENSG00000167614.13_MFBA9BA46
9	3	0.159	ENSG00000120915.13_PCGBA23	ENSG00000167614.13_MFBA9BA46	ENSG00000120915.13_PCGBA23	ENSG00000167614.13_MFBA9BA46
10	3	0.005	ENSG00000166816.13_MFBA9BA46	ENSG00000167614.13_MFBA9BA46	ENSG00000166816.13_MFBA9BA46	ENSG00000167614.13_MFBA9BA46
11	3	0.002	ENSG00000083123.14_PCGBA23	ENSG00000167614.13_MFBA9BA46	ENSG00000083123.14_PCGBA23	ENSG00000167614.13_MFBA9BA46
12	3	0.006	ENSG00000112294.12_PCGBA23	ENSG00000167614.13_MFBA9BA46	ENSG00000112294.12_PCGBA23	ENSG00000167614.13_MFBA9BA46
13	3	0.007	ENSG00000245573.7_PCGBA23	ENSG00000167614.13_MFBA9BA46	ENSG00000245573.7_PCGBA23	ENSG00000167614.13_MFBA9BA46
14	3	0.016	ENSG00000143811.18_PCGBA23	ENSG00000167614.13_MFBA9BA46	ENSG00000143811.18_PCGBA23	ENSG00000167614.13_MFBA9BA46
15	3	0.004	ENSG00000149090.11_MFBA9BA46	ENSG00000167614.13_MFBA9BA46	ENSG00000149090.11_MFBA9BA46	ENSG00000167614.13_MFBA9BA46
16	3	0.011	ENSG00000177576.11_PCGBA23	ENSG00000167614.13_MFBA9BA46	ENSG00000177576.11_PCGBA23	ENSG00000167614.13_MFBA9BA46
17	3	0.011	ENSG00000186815.12_PCGBA23	ENSG00000167614.13_MFBA9BA46	ENSG00000186815.12_PCGBA23	ENSG00000167614.13_MFBA9BA46
18	3	0.006	ENSG00000154319.14_PCGBA23	ENSG00000167614.13_MFBA9BA46	ENSG00000154319.14_PCGBA23	ENSG00000167614.13_MFBA9BA46
19	3	0.209	ENSG00000120915.13_MFBA9BA46	ENSG00000167614.13_MFBA9BA46	ENSG00000120915.13_MFBA9BA46	ENSG00000167614.13_MFBA9BA46
20	3	0.003	ENSG00000138613.13_PCGBA23	ENSG00000167614.13_MFBA9BA46	ENSG00000138613.13_PCGBA23	ENSG00000167614.13_MFBA9BA46
1	4	0.575	ENSG00000167614.13_PCGBA23	ENSG00000147576.15_PCGBA23	ENSG00000167614.13_PCGBA23	ENSG00000147576.15_PCGBA23
2	4	0.444	ENSG00000182054.9_PCGBA23	ENSG00000147576.15_PCGBA23	ENSG00000182054.9_PCGBA23	ENSG00000147576.15_PCGBA23
3	4	0.207	ENSG00000167614.13_MFBA9BA46	ENSG00000147576.15_PCGBA23	ENSG00000167614.13_MFBA9BA46	ENSG00000147576.15_PCGBA23
5	4	0.004	ENSG00000068078.17_PCGBA23	ENSG00000147576.15_PCGBA23	ENSG00000068078.17_PCGBA23	ENSG00000147576.15_PCGBA23
6	4	0.011	ENSG00000125462.16_MFBA9BA46	ENSG00000147576.15_PCGBA23	ENSG00000125462.16_MFBA9BA46	ENSG00000147576.15_PCGBA23
7	4	0.286	ENSG00000147576.15_MFBA9BA46	ENSG00000147576.15_PCGBA23	ENSG00000147576.15_MFBA9BA46	ENSG00000147576.15_PCGBA23
8	4	0.038	ENSG00000125462.16_PCGBA23	ENSG00000147576.15_PCGBA23	ENSG00000125462.16_PCGBA23	ENSG00000147576.15_PCGBA23
9	4	0.238	ENSG00000120915.13_PCGBA23	ENSG00000147576.15_PCGBA23	ENSG00000120915.13_PCGBA23	ENSG00000147576.15_PCGBA23
10	4	0.003	ENSG00000166816.13_MFBA9BA46	ENSG00000147576.15_PCGBA23	ENSG00000166816.13_MFBA9BA46	ENSG00000147576.15_PCGBA23
11	4	0.007	ENSG00000083123.14_PCGBA23	ENSG00000147576.15_PCGBA23	ENSG00000083123.14_PCGBA23	ENSG00000147576.15_PCGBA23
12	4	0.033	ENSG00000112294.12_PCGBA23	ENSG00000147576.15_PCGBA23	ENSG00000112294.12_PCGBA23	ENSG00000147576.15_PCGBA23
13	4	0.024	ENSG00000245573.7_PCGBA23	ENSG00000147576.15_PCGBA23	ENSG00000245573.7_PCGBA23	ENSG00000147576.15_PCGBA23
14	4	0.012	ENSG00000143811.18_PCGBA23	ENSG00000147576.15_PCGBA23	ENSG00000143811.18_PCGBA23	ENSG00000147576.15_PCGBA23
16	4	0.007	ENSG00000177576.11_PCGBA23	ENSG00000147576.15_PCGBA23	ENSG00000177576.11_PCGBA23	ENSG00000147576.15_PCGBA23
17	4	0.121	ENSG00000186815.12_PCGBA23	ENSG00000147576.15_PCGBA23	ENSG00000186815.12_PCGBA23	ENSG00000147576.15_PCGBA23
18	4	0.002	ENSG00000154319.14_PCGBA23	ENSG00000147576.15_PCGBA23	ENSG00000154319.14_PCGBA23	ENSG00000147576.15_PCGBA23
19	4	0.13	ENSG00000120915.13_MFBA9BA46	ENSG00000147576.15_PCGBA23	ENSG00000120915.13_MFBA9BA46	ENSG00000147576.15_PCGBA23
20	4	0.009	ENSG00000138613.13_PCGBA23	ENSG00000147576.15_PCGBA23	ENSG00000138613.13_PCGBA23	ENSG00000147576.15_PCGBA23
1	5	0.957	ENSG00000167614.13_PCGBA23	ENSG00000068078.17_PCGBA23	ENSG00000167614.13_PCGBA23	ENSG00000068078.17_PCGBA23
2	5	0.056	ENSG00000182054.9_PCGBA23	ENSG00000068078.17_PCGBA23	ENSG00000182054.9_PCGBA23	ENSG00000068078.17_PCGBA23
3	5	0.03	ENSG00000167614.13_MFBA9BA46	ENSG00000068078.17_PCGBA23	ENSG00000167614.13_MFBA9BA46	ENSG00000068078.17_PCGBA23
4	5	0.034	ENSG00000147576.15_PCGBA23	ENSG00000068078.17_PCGBA23	ENSG00000147576.15_PCGBA23	ENSG00000068078.17_PCGBA23
6	5	0.011	ENSG00000125462.16_MFBA9BA46	ENSG00000068078.17_PCGBA23	ENSG00000125462.16_MFBA9BA46	ENSG00000068078.17_PCGBA23
7	5	0.018	ENSG00000147576.15_MFBA9BA46	ENSG00000068078.17_PCGBA23	ENSG00000147576.15_MFBA9BA46	ENSG00000068078.17_PCGBA23
8	5	0.019	ENSG00000125462.16_PCGBA23	ENSG00000068078.17_PCGBA23	ENSG00000125462.16_PCGBA23	ENSG00000068078.17_PCGBA23
9	5	0.115	ENSG00000120915.13_PCGBA23	ENSG00000068078.17_PCGBA23	ENSG00000120915.13_PCGBA23	ENSG00000068078.17_PCGBA23
10	5	0.032	ENSG00000166816.13_MFBA9BA46	ENSG00000068078.17_PCGBA23	ENSG00000166816.13_MFBA9BA46	ENSG00000068078.17_PCGBA23
11	5	0.658	ENSG00000083123.14_PCGBA23	ENSG00000068078.17_PCGBA23	ENSG00000083123.14_PCGBA23	ENSG00000068078.17_PCGBA23
12	5	0.018	ENSG00000112294.12_PCGBA23	ENSG00000068078.17_PCGBA23	ENSG00000112294.12_PCGBA23	ENSG00000068078.17_PCGBA23
13	5	0.02	ENSG00000245573.7_PCGBA23	ENSG00000068078.17_PCGBA23	ENSG00000245573.7_PCGBA23	ENSG00000068078.17_PCGBA23
14	5	0.051	ENSG00000143811.18_PCGBA23	ENSG00000068078.17_PCGBA23	ENSG00000143811.18_PCGBA23	ENSG00000068078.17_PCGBA23
15	5	0.016	ENSG00000149090.11_MFBA9BA46	ENSG00000068078.17_PCGBA23	ENSG00000149090.11_MFBA9BA46	ENSG00000068078.17_PCGBA23
16	5	0.012	ENSG00000177576.11_PCGBA23	ENSG00000068078.17_PCGBA23	ENSG00000177576.11_PCGBA23	ENSG00000068078.17_PCGBA23
17	5	0.02	ENSG00000186815.12_PCGBA23	ENSG00000068078.17_PCGBA23	ENSG00000186815.12_PCGBA23	ENSG00000068078.17_PCGBA23
18	5	0.234	ENSG00000154319.14_PCGBA23	ENSG00000068078.17_PCGBA23	ENSG00000154319.14_PCGBA23	ENSG00000068078.17_PCGBA23
19	5	0.047	ENSG00000120915.13_MFBA9BA46	ENSG00000068078.17_PCGBA23	ENSG00000120915.13_MFBA9BA46	ENSG00000068078.17_PCGBA23
20	5	0.17	ENSG00000138613.13_PCGBA23	ENSG00000068078.17_PCGBA23	ENSG00000138613.13_PCGBA23	ENSG00000068078.17_PCGBA23
1	6	0.486	ENSG00000167614.13_PCGBA23	ENSG00000125462.16_MFBA9BA46	ENSG00000167614.13_PCGBA23	ENSG00000125462.16_MFBA9BA46
2	6	0.029	ENSG00000182054.9_PCGBA23	ENSG00000125462.16_MFBA9BA46	ENSG00000182054.9_PCGBA23	ENSG00000125462.16_MFBA9BA46
3	6	0.881	ENSG00000167614.13_MFBA9BA46	ENSG00000125462.16_MFBA9BA46	ENSG00000167614.13_MFBA9BA46	ENSG00000125462.16_MFBA9BA46
4	6	0.01	ENSG00000147576.15_PCGBA23	ENSG00000125462.16_MFBA9BA46	ENSG00000147576.15_PCGBA23	ENSG00000125462.16_MFBA9BA46
5	6	0.081	ENSG00000068078.17_PCGBA23	ENSG00000125462.16_MFBA9BA46	ENSG00000068078.17_PCGBA23	ENSG00000125462.16_MFBA9BA46
7	6	0.018	ENSG00000147576.15_MFBA9BA46	ENSG00000125462.16_MFBA9BA46	ENSG00000147576.15_MFBA9BA46	ENSG00000125462.16_MFBA9BA46
8	6	0.914	ENSG00000125462.16_PCGBA23	ENSG00000125462.16_MFBA9BA46	ENSG00000125462.16_PCGBA23	ENSG00000125462.16_MFBA9BA46
9	6	0.06	ENSG00000120915.13_PCGBA23	ENSG00000125462.16_MFBA9BA46	ENSG00000120915.13_PCGBA23	ENSG00000125462.16_MFBA9BA46
10	6	0.003	ENSG00000166816.13_MFBA9BA46	ENSG00000125462.16_MFBA9BA46	ENSG00000166816.13_MFBA9BA46	ENSG00000125462.16_MFBA9BA46
11	6	0.005	ENSG00000083123.14_PCGBA23	ENSG00000125462.16_MFBA9BA46	ENSG00000083123.14_PCGBA23	ENSG00000125462.16_MFBA9BA46
12	6	0.053	ENSG00000112294.12_PCGBA23	ENSG00000125462.16_MFBA9BA46	ENSG00000112294.12_PCGBA23	ENSG00000125462.16_MFBA9BA46
13	6	0.004	ENSG00000245573.7_PCGBA23	ENSG00000125462.16_MFBA9BA46	ENSG00000245573.7_PCGBA23	ENSG00000125462.16_MFBA9BA46
14	6	0.003	ENSG00000143811.18_PCGBA23	ENSG00000125462.16_MFBA9BA46	ENSG00000143811.18_PCGBA23	ENSG00000125462.16_MFBA9BA46
15	6	0.005	ENSG00000149090.11_MFBA9BA46	ENSG00000125462.16_MFBA9BA46	ENSG00000149090.11_MFBA9BA46	ENSG00000125462.16_MFBA9BA46
16	6	0.068	ENSG00000177576.11_PCGBA23	ENSG00000125462.16_MFBA9BA46	ENSG00000177576.11_PCGBA23	ENSG00000125462.16_MFBA9BA46
17	6	0.068	ENSG00000186815.12_PCGBA23	ENSG00000125462.16_MFBA9BA46	ENSG00000186815.12_PCGBA23	ENSG00000125462.16_MFBA9BA46
18	6	0.011	ENSG00000154319.14_PCGBA23	ENSG00000125462.16_MFBA9BA46	ENSG00000154319.14_PCGBA23	ENSG00000125462.16_MFBA9BA46
19	6	0.012	ENSG00000120915.13_MFBA9BA46	ENSG00000125462.16_MFBA9BA46	ENSG00000120915.13_MFBA9BA46	ENSG00000125462.16_MFBA9BA46
20	6	0.013	ENSG00000138613.13_PCGBA23	ENSG00000125462.16_MFBA9BA46	ENSG00000138613.13_PCGBA23	ENSG00000125462.16_MFBA9BA46
1	7	0.429	ENSG00000167614.13_PCGBA23	ENSG00000147576.15_MFBA9BA46	ENSG00000167614.13_PCGBA23	ENSG00000147576.15_MFBA9BA46
2	7	0.052	ENSG00000182054.9_PCGBA23	ENSG00000147576.15_MFBA9BA46	ENSG00000182054.9_PCGBA23	ENSG00000147576.15_MFBA9BA46
3	7	0.562	ENSG00000167614.13_MFBA9BA46	ENSG00000147576.15_MFBA9BA46	ENSG00000167614.13_MFBA9BA46	ENSG00000147576.15_MFBA9BA46
4	7	0.714	ENSG00000147576.15_PCGBA23	ENSG00000147576.15_MFBA9BA46	ENSG00000147576.15_PCGBA23	ENSG00000147576.15_MFBA9BA46
