source_id	target_id	frequency	source_name	target_name	source_raw	target_raw
2	1	0.006	ENSG00000079332.14_PCGBA23	ENSG00000135336.14_AC	ENSG00000079332.14_PCGBA23	ENSG00000135336.14_AC
3	1	0.029	ENSG00000166887.15_AC	ENSG00000135336.14_AC	ENSG00000166887.15_AC	ENSG00000135336.14_AC
4	1	0.377	ENSG00000121940.15_AC	ENSG00000135336.14_AC	ENSG00000121940.15_AC	ENSG00000135336.14_AC
5	1	0.004	ENSG00000214046.8_AC	ENSG00000135336.14_AC	ENSG00000214046.8_AC	ENSG00000135336.14_AC
6	1	0.013	ENSG00000270959.1_PCGBA23	ENSG00000135336.14_AC	ENSG00000270959.1_PCGBA23	ENSG00000135336.14_AC
7	1	0.284	ENSG00000108799.12_AC	ENSG00000135336.14_AC	ENSG00000108799.12_AC	ENSG00000135336.14_AC
8	1	0.033	ENSG00000272888.5_AC	ENSG00000135336.14_AC	ENSG00000272888.5_AC	ENSG00000135336.14_AC
9	1	0.018	ENSG00000079332.14_AC	ENSG00000135336.14_AC	ENSG00000079332.14_AC	ENSG00000135336.14_AC
10	1	0.053	ENSG00000145022.4_AC	ENSG00000135336.14_AC	ENSG00000145022.4_AC	ENSG00000135336.14_AC
11	1	0.007	ENSG00000272888.5_PCGBA23	ENSG00000135336.14_AC	ENSG00000272888.5_PCGBA23	ENSG00000135336.14_AC
12	1	0.001	ENSG00000090612.20_AC	ENSG00000135336.14_AC	ENSG00000090612.20_AC	ENSG00000135336.14_AC
13	1	0.329	ENSG00000135336.14_PCGBA23	ENSG00000135336.14_AC	ENSG00000135336.14_PCGBA23	ENSG00000135336.14_AC
14	1	0.15	ENSG00000156050.8_AC	ENSG00000135336.14_AC	ENSG00000156050.8_AC	ENSG00000135336.14_AC
15	1	0.24	ENSG00000011523.13_AC	ENSG00000135336.14_AC	ENSG00000011523.13_AC	ENSG00000135336.14_AC
16	1	0.571	ENSG00000132953.16_AC	ENSG00000135336.14_AC	ENSG00000132953.16_AC	ENSG00000135336.14_AC
17	1	0.005	ENSG00000148297.15_PCGBA23	ENSG00000135336.14_AC	ENSG00000148297.15_PCGBA23	ENSG00000135336.14_AC
19	1	0.008	ENSG00000121940.15_PCGBA23	ENSG00000135336.14_AC	ENSG00000121940.15_PCGBA23	ENSG00000135336.14_AC
20	1	0.178	ENSG00000100865.14_AC	ENSG00000135336.14_AC	ENSG00000100865.14_AC	ENSG00000135336.14_AC
1	2	0.012	ENSG00000135336.14_AC	ENSG00000079332.14_PCGBA23	ENSG00000135336.14_AC	ENSG00000079332.14_PCGBA23
3	2	0.176	ENSG00000166887.15_AC	ENSG00000079332.14_PCGBA23	ENSG00000166887.15_AC	ENSG00000079332.14_PCGBA23
4	2	0.06	ENSG00000121940.15_AC	ENSG00000079332.14_PCGBA23	ENSG00000121940.15_AC	ENSG00000079332.14_PCGBA23
5	2	0.022	ENSG00000214046.8_AC	ENSG00000079332.14_PCGBA23	ENSG00000214046.8_AC	ENSG00000079332.14_PCGBA23
6	2	0.176	ENSG00000270959.1_PCGBA23	ENSG00000079332.14_PCGBA23	ENSG00000270959.1_PCGBA23	ENSG00000079332.14_PCGBA23
7	2	0.08	ENSG00000108799.12_AC	ENSG00000079332.14_PCGBA23	ENSG00000108799.12_AC	ENSG00000079332.14_PCGBA23
8	2	0.127	ENSG00000272888.5_AC	ENSG00000079332.14_PCGBA23	ENSG00000272888.5_AC	ENSG00000079332.14_PCGBA23
9	2	0.471	ENSG00000079332.14_AC	ENSG00000079332.14_PCGBA23	ENSG00000079332.14_AC	ENSG00000079332.14_PCGBA23
10	2	0.006	ENSG00000145022.4_AC	ENSG00000079332.14_PCGBA23	ENSG00000145022.4_AC	ENSG00000079332.14_PCGBA23
11	2	0.341	ENSG00000272888.5_PCGBA23	ENSG00000079332.14_PCGBA23	ENSG00000272888.5_PCGBA23	ENSG00000079332.14_PCGBA23
12	2	0.092	ENSG00000090612.20_AC	ENSG00000079332.14_PCGBA23	ENSG00000090612.20_AC	ENSG00000079332.14_PCGBA23
13	2	0.066	ENSG00000135336.14_PCGBA23	ENSG00000079332.14_PCGBA23	ENSG00000135336.14_PCGBA23	ENSG00000079332.14_PCGBA23
14	2	0.035	ENSG00000156050.8_AC	ENSG00000079332.14_PCGBA23	ENSG00000156050.8_AC	ENSG00000079332.14_PCGBA23
15	2	0.03	ENSG00000011523.13_AC	ENSG00000079332.14_PCGBA23	ENSG00000011523.13_AC	ENSG00000079332.14_PCGBA23
16	2	0.044	ENSG00000132953.16_AC	ENSG00000079332.14_PCGBA23	ENSG00000132953.16_AC	ENSG00000079332.14_PCGBA23
17	2	0.087	ENSG00000148297.15_PCGBA23	ENSG00000079332.14_PCGBA23	ENSG00000148297.15_PCGBA23	ENSG00000079332.14_PCGBA23
18	2	0.108	ENSG00000186814.13_MFBA9BA46	ENSG00000079332.14_PCGBA23	ENSG00000186814.13_MFBA9BA46	ENSG00000079332.14_PCGBA23
19	2	0.289	ENSG00000121940.15_PCGBA23	ENSG00000079332.14_PCGBA23	ENSG00000121940.15_PCGBA23	ENSG00000079332.14_PCGBA23
20	2	0.011	ENSG00000100865.14_AC	ENSG00000079332.14_PCGBA23	ENSG00000100865.14_AC	ENSG00000079332.14_PCGBA23
1	3	0.046	ENSG00000135336.14_AC	ENSG00000166887.15_AC	ENSG00000135336.14_AC	ENSG00000166887.15_AC
2	3	0.126	ENSG00000079332.14_PCGBA23	ENSG00000166887.15_AC	ENSG00000079332.14_PCGBA23	ENSG00000166887.15_AC
4	3	0.421	ENSG00000121940.15_AC	ENSG00000166887.15_AC	ENSG00000121940.15_AC	ENSG00000166887.15_AC
5	3	0.017	ENSG00000214046.8_AC	ENSG00000166887.15_AC	ENSG00000214046.8_AC	ENSG00000166887.15_AC
6	3	0.014	ENSG00000270959.1_PCGBA23	ENSG00000166887.15_AC	ENSG00000270959.1_PCGBA23	ENSG00000166887.15_AC
7	3	0.318	ENSG00000108799.12_AC	ENSG00000166887.15_AC	ENSG00000108799.12_AC	ENSG00000166887.15_AC
8	3	0.016	ENSG00000272888.5_AC	ENSG00000166887.15_AC	ENSG00000272888.5_AC	ENSG00000166887.15_AC
9	3	0.253	ENSG00000079332.14_AC	ENSG00000166887.15_AC	ENSG00000079332.14_AC	ENSG00000166887.15_AC
10	3	0.014	ENSG00000145022.4_AC	ENSG00000166887.15_AC	ENSG00000145022.4_AC	ENSG00000166887.15_AC
11	3	0.009	ENSG00000272888.5_PCGBA23	ENSG00000166887.15_AC	ENSG00000272888.5_PCGBA23	ENSG00000166887.15_AC
12	3	0.144	ENSG00000090612.20_AC	ENSG00000166887.15_AC	ENSG00000090612.20_AC	ENSG00000166887.15_AC
13	3	0.035	ENSG00000135336.14_PCGBA23	ENSG00000166887.15_AC	ENSG00000135336.14_PCGBA23	ENSG00000166887.15_AC
14	3	0.252	ENSG00000156050.8_AC	ENSG00000166887.15_AC	ENSG00000156050.8_AC	ENSG00000166887.15_AC
15	3	0.445	ENSG00000011523.13_AC	ENSG00000166887.15_AC	ENSG00000011523.13_AC	ENSG00000166887.15_AC
16	3	0.016	ENSG00000132953.16_AC	ENSG00000166887.15_AC	ENSG00000132953.16_AC	ENSG00000166887.15_AC
17	3	0.02	ENSG00000148297.15_PCGBA23	ENSG00000166887.15_AC	ENSG00000148297.15_PCGBA23	ENSG00000166887.15_AC
18	3	0.045	ENSG00000186814.13_MFBA9BA46	ENSG00000166887.15_AC	ENSG00000186814.13_MFBA9BA46	ENSG00000166887.15_AC
19	3	0.113	ENSG00000121940.15_PCGBA23	ENSG00000166887.15_AC	ENSG00000121940.15_PCGBA23	ENSG00000166887.15_AC
20	3	0.138	ENSG00000100865.14_AC	ENSG00000166887.15_AC	ENSG00000100865.14_AC	ENSG00000166887.15_AC
1	4	0.391	ENSG00000135336.14_AC	ENSG00000121940.15_AC	ENSG00000135336.14_AC	ENSG00000121940.15_AC
2	4	0.071	ENSG00000079332.14_PCGBA23	ENSG00000121940.15_AC	ENSG00000079332.14_PCGBA23	ENSG00000121940.15_AC
3	4	0.205	ENSG00000166887.15_AC	ENSG00000121940.15_AC	ENSG00000166887.15_AC	ENSG00000121940.15_AC
5	4	0.004	ENSG00000214046.8_AC	ENSG00000121940.15_AC	ENSG00000214046.8_AC	ENSG00000121940.15_AC
6	4	0.006	ENSG00000270959.1_PCGBA23	ENSG00000121940.15_AC	ENSG00000270959.1_PCGBA23	ENSG00000121940.15_AC
7	4	0.541	ENSG00000108799.12_AC	ENSG00000121940.15_AC	ENSG00000108799.12_AC	ENSG00000121940.15_AC
8	4	0.068	ENSG00000272888.5_AC	ENSG00000121940.15_AC	ENSG00000272888.5_AC	ENSG00000121940.15_AC
9	4	0.472	ENSG00000079332.14_AC	ENSG00000121940.15_AC	ENSG00000079332.14_AC	ENSG00000121940.15_AC
10	4	0.002	ENSG00000145022.4_AC	ENSG00000121940.15_AC	ENSG00000145022.4_AC	ENSG00000121940.15_AC
11	4	0.01	ENSG00000272888.5_PCGBA23	ENSG00000121940.15_AC	ENSG00000272888.5_PCGBA23	ENSG00000121940.15_AC
12	4	0.004	ENSG00000090612.20_AC	ENSG00000121940.15_AC	ENSG00000090612.20_AC	ENSG00000121940.15_AC
13	4	0.015	ENSG00000135336.14_PCGBA23	ENSG00000121940.15_AC	ENSG00000135336.14_PCGBA23	ENSG00000121940.15_AC
14	4	0.016	ENSG00000156050.8_AC	ENSG00000121940.15_AC	ENSG00000156050.8_AC	ENSG00000121940.15_AC
15	4	0.016	ENSG00000011523.13_AC	ENSG00000121940.15_AC	ENSG00000011523.13_AC	ENSG00000121940.15_AC
16	4	0.036	ENSG00000132953.16_AC	ENSG00000121940.15_AC	ENSG00000132953.16_AC	ENSG00000121940.15_AC
17	4	0.008	ENSG00000148297.15_PCGBA23	ENSG00000121940.15_AC	ENSG00000148297.15_PCGBA23	ENSG00000121940.15_AC
