source_id	target_id	frequency	source_name	target_name	source_raw	target_raw
2	1	0.006	M1075	M10	ME_M1075	ME_M10
3	1	0.64	M1088	M10	ME_M1088	ME_M10
4	1	0.125	M11	M10	ME_M11	ME_M10
5	1	0.016	M1110	M10	ME_M1110	ME_M10
6	1	0.003	M1112	M10	ME_M1112	ME_M10
7	1	0.052	M1120	M10	ME_M1120	ME_M10
8	1	0.001	M119	M10	ME_M119	ME_M10
9	1	0.103	M121	M10	ME_M121	ME_M10
10	1	0.017	M122	M10	ME_M122	ME_M10
11	1	0.02	M28	M10	ME_M28	ME_M10
12	1	0.033	M31	M10	ME_M31	ME_M10
13	1	0.053	M34	M10	ME_M34	ME_M10
14	1	0.016	M35	M10	ME_M35	ME_M10
15	1	0.007	M450	M10	ME_M450	ME_M10
16	1	0.005	M682	M10	ME_M682	ME_M10
17	1	0.005	M691	M10	ME_M691	ME_M10
18	1	0.001	M693	M10	ME_M693	ME_M10
19	1	0.312	M724	M10	ME_M724	ME_M10
20	1	0.012	M728	M10	ME_M728	ME_M10
21	1	0.02	M729	M10	ME_M729	ME_M10
22	1	0.034	M738	M10	ME_M738	ME_M10
23	1	0.096	M740	M10	ME_M740	ME_M10
24	1	0.107	M745	M10	ME_M745	ME_M10
25	1	0.174	M746	M10	ME_M746	ME_M10
26	1	0.003	M750	M10	ME_M750	ME_M10
27	1	0.012	M751	M10	ME_M751	ME_M10
28	1	0.016	M752	M10	ME_M752	ME_M10
29	1	0.006	M757	M10	ME_M757	ME_M10
30	1	0.008	M763	M10	ME_M763	ME_M10
31	1	0.104	M771	M10	ME_M771	ME_M10
32	1	0.001	M772	M10	ME_M772	ME_M10
33	1	0.568	M86	M10	ME_M86	ME_M10
34	1	0.036	M867	M10	ME_M867	ME_M10
35	1	0.018	M901	M10	ME_M901	ME_M10
36	1	0.004	M935	M10	ME_M935	ME_M10
37	1	0.155	M937	M10	ME_M937	ME_M10
38	1	0.087	M938	M10	ME_M938	ME_M10
39	1	0.076	M954	M10	ME_M954	ME_M10
40	1	0.006	M959	M10	ME_M959	ME_M10
3	2	0.005	M1088	M1075	ME_M1088	ME_M1075
4	2	0.003	M11	M1075	ME_M11	ME_M1075
5	2	0.14	M1110	M1075	ME_M1110	ME_M1075
6	2	0.01	M1112	M1075	ME_M1112	ME_M1075
7	2	0.006	M1120	M1075	ME_M1120	ME_M1075
8	2	0.001	M119	M1075	ME_M119	ME_M1075
9	2	0.03	M121	M1075	ME_M121	ME_M1075
10	2	0.006	M122	M1075	ME_M122	ME_M1075
11	2	0.035	M28	M1075	ME_M28	ME_M1075
12	2	0.019	M31	M1075	ME_M31	ME_M1075
13	2	0.41	M34	M1075	ME_M34	ME_M1075
14	2	0.007	M35	M1075	ME_M35	ME_M1075
15	2	0.003	M450	M1075	ME_M450	ME_M1075
16	2	0.002	M682	M1075	ME_M682	ME_M1075
17	2	0.008	M691	M1075	ME_M691	ME_M1075
18	2	0.001	M693	M1075	ME_M693	ME_M1075
22	2	0.002	M738	M1075	ME_M738	ME_M1075
23	2	0.018	M740	M1075	ME_M740	ME_M1075
24	2	0.011	M745	M1075	ME_M745	ME_M1075
25	2	0.019	M746	M1075	ME_M746	ME_M1075
26	2	0.028	M750	M1075	ME_M750	ME_M1075
27	2	0.024	M751	M1075	ME_M751	ME_M1075
28	2	0.002	M752	M1075	ME_M752	ME_M1075
29	2	0.712	M757	M1075	ME_M757	ME_M1075
30	2	0.01	M763	M1075	ME_M763	ME_M1075
31	2	0.26	M771	M1075	ME_M771	ME_M1075
32	2	0.56	M772	M1075	ME_M772	ME_M1075
33	2	0.053	M86	M1075	ME_M86	ME_M1075
36	2	0.007	M935	M1075	ME_M935	ME_M1075
37	2	0.015	M937	M1075	ME_M937	ME_M1075
38	2	0.34	M938	M1075	ME_M938	ME_M1075
39	2	0.009	M954	M1075	ME_M954	ME_M1075
40	2	0.019	M959	M1075	ME_M959	ME_M1075
1	3	0.007	M10	M1088	ME_M10	ME_M1088
2	3	0.059	M1075	M1088	ME_M1075	ME_M1088
4	3	0.001	M11	M1088	ME_M11	ME_M1088
5	3	0.588	M1110	M1088	ME_M1110	ME_M1088
6	3	0.007	M1112	M1088	ME_M1112	ME_M1088
7	3	0.091	M1120	M1088	ME_M1120	ME_M1088
9	3	0.473	M121	M1088	ME_M121	ME_M1088
10	3	0.018	M122	M1088	ME_M122	ME_M1088
11	3	0.017	M28	M1088	ME_M28	ME_M1088
12	3	0.011	M31	M1088	ME_M31	ME_M1088
13	3	0.027	M34	M1088	ME_M34	ME_M1088
14	3	0.185	M35	M1088	ME_M35	ME_M1088
15	3	0.001	M450	M1088	ME_M450	ME_M1088
16	3	0.006	M682	M1088	ME_M682	ME_M1088
17	3	0.002	M691	M1088	ME_M691	ME_M1088
18	3	0.005	M693	M1088	ME_M693	ME_M1088
19	3	0.025	M724	M1088	ME_M724	ME_M1088
20	3	0.02	M728	M1088	ME_M728	ME_M1088
21	3	0.015	M729	M1088	ME_M729	ME_M1088
22	3	0.112	M738	M1088	ME_M738	ME_M1088
23	3	0.032	M740	M1088	ME_M740	ME_M1088
24	3	0.058	M745	M1088	ME_M745	ME_M1088
25	3	0.027	M746	M1088	ME_M746	ME_M1088
