node_id	raw_name	pretty_name	is_phenotype
1	ME_M10	M10	0
2	ME_M1075	M1075	0
3	ME_M1088	M1088	0
4	ME_M11	M11	0
5	ME_M1110	M1110	0
6	ME_M1112	M1112	0
7	ME_M1120	M1120	0
8	ME_M119	M119	0
9	ME_M121	M121	0
10	ME_M122	M122	0
11	ME_M28	M28	0
12	ME_M31	M31	0
13	ME_M34	M34	0
14	ME_M35	M35	0
15	ME_M450	M450	0
16	ME_M682	M682	0
17	ME_M691	M691	0
18	ME_M693	M693	0
19	ME_M724	M724	0
20	ME_M728	M728	0
21	ME_M729	M729	0
22	ME_M738	M738	0
23	ME_M740	M740	0
24	ME_M745	M745	0
25	ME_M746	M746	0
26	ME_M750	M750	0
27	ME_M751	M751	0
28	ME_M752	M752	0
29	ME_M757	M757	0
30	ME_M763	M763	0
31	ME_M771	M771	0
32	ME_M772	M772	0
33	ME_M86	M86	0
34	ME_M867	M867	0
35	ME_M901	M901	0
36	ME_M935	M935	0
37	ME_M937	M937	0
38	ME_M938	M938	0
39	ME_M954	M954	0
40	ME_M959	M959	0
41	PHENO_cogng_demog_slope	PHENO_cogng_demog_slope	1
