source_id	target_id	frequency	source_name	target_name	source_raw	target_raw
2	1	0.004	M1075	M10	ME_M1075	ME_M10
3	1	0.676	M1088	M10	ME_M1088	ME_M10
4	1	0.104	M11	M10	ME_M11	ME_M10
5	1	0.01	M1110	M10	ME_M1110	ME_M10
6	1	0.006	M1112	M10	ME_M1112	ME_M10
7	1	0.045	M1120	M10	ME_M1120	ME_M10
8	1	0.001	M119	M10	ME_M119	ME_M10
9	1	0.115	M121	M10	ME_M121	ME_M10
10	1	0.012	M122	M10	ME_M122	ME_M10
11	1	0.029	M28	M10	ME_M28	ME_M10
12	1	0.018	M31	M10	ME_M31	ME_M10
13	1	0.046	M34	M10	ME_M34	ME_M10
14	1	0.012	M35	M10	ME_M35	ME_M10
15	1	0.005	M450	M10	ME_M450	ME_M10
17	1	0.002	M691	M10	ME_M691	ME_M10
19	1	0.299	M724	M10	ME_M724	ME_M10
20	1	0.019	M728	M10	ME_M728	ME_M10
21	1	0.02	M729	M10	ME_M729	ME_M10
22	1	0.038	M738	M10	ME_M738	ME_M10
23	1	0.136	M740	M10	ME_M740	ME_M10
24	1	0.09	M745	M10	ME_M745	ME_M10
25	1	0.203	M746	M10	ME_M746	ME_M10
26	1	0.002	M750	M10	ME_M750	ME_M10
27	1	0.012	M751	M10	ME_M751	ME_M10
28	1	0.015	M752	M10	ME_M752	ME_M10
29	1	0.007	M757	M10	ME_M757	ME_M10
30	1	0.009	M763	M10	ME_M763	ME_M10
31	1	0.103	M771	M10	ME_M771	ME_M10
32	1	0.003	M772	M10	ME_M772	ME_M10
33	1	0.534	M86	M10	ME_M86	ME_M10
34	1	0.022	M867	M10	ME_M867	ME_M10
35	1	0.021	M901	M10	ME_M901	ME_M10
36	1	0.001	M935	M10	ME_M935	ME_M10
37	1	0.174	M937	M10	ME_M937	ME_M10
38	1	0.087	M938	M10	ME_M938	ME_M10
39	1	0.073	M954	M10	ME_M954	ME_M10
40	1	0.01	M959	M10	ME_M959	ME_M10
3	2	0.009	M1088	M1075	ME_M1088	ME_M1075
4	2	0.002	M11	M1075	ME_M11	ME_M1075
5	2	0.114	M1110	M1075	ME_M1110	ME_M1075
6	2	0.019	M1112	M1075	ME_M1112	ME_M1075
7	2	0.009	M1120	M1075	ME_M1120	ME_M1075
8	2	0.001	M119	M1075	ME_M119	ME_M1075
9	2	0.014	M121	M1075	ME_M121	ME_M1075
10	2	0.008	M122	M1075	ME_M122	ME_M1075
11	2	0.033	M28	M1075	ME_M28	ME_M1075
12	2	0.014	M31	M1075	ME_M31	ME_M1075
13	2	0.434	M34	M1075	ME_M34	ME_M1075
14	2	0.022	M35	M1075	ME_M35	ME_M1075
15	2	0.005	M450	M1075	ME_M450	ME_M1075
16	2	0.003	M682	M1075	ME_M682	ME_M1075
17	2	0.004	M691	M1075	ME_M691	ME_M1075
18	2	0.002	M693	M1075	ME_M693	ME_M1075
20	2	0.003	M728	M1075	ME_M728	ME_M1075
21	2	0.001	M729	M1075	ME_M729	ME_M1075
23	2	0.023	M740	M1075	ME_M740	ME_M1075
24	2	0.01	M745	M1075	ME_M745	ME_M1075
25	2	0.015	M746	M1075	ME_M746	ME_M1075
26	2	0.024	M750	M1075	ME_M750	ME_M1075
27	2	0.021	M751	M1075	ME_M751	ME_M1075
28	2	0.003	M752	M1075	ME_M752	ME_M1075
29	2	0.736	M757	M1075	ME_M757	ME_M1075
30	2	0.018	M763	M1075	ME_M763	ME_M1075
31	2	0.234	M771	M1075	ME_M771	ME_M1075
32	2	0.569	M772	M1075	ME_M772	ME_M1075
33	2	0.055	M86	M1075	ME_M86	ME_M1075
36	2	0.004	M935	M1075	ME_M935	ME_M1075
37	2	0.01	M937	M1075	ME_M937	ME_M1075
38	2	0.3	M938	M1075	ME_M938	ME_M1075
39	2	0.008	M954	M1075	ME_M954	ME_M1075
40	2	0.025	M959	M1075	ME_M959	ME_M1075
1	3	0.005	M10	M1088	ME_M10	ME_M1088
2	3	0.058	M1075	M1088	ME_M1075	ME_M1088
5	3	0.572	M1110	M1088	ME_M1110	ME_M1088
6	3	0.004	M1112	M1088	ME_M1112	ME_M1088
7	3	0.092	M1120	M1088	ME_M1120	ME_M1088
8	3	0.001	M119	M1088	ME_M119	ME_M1088
9	3	0.478	M121	M1088	ME_M121	ME_M1088
10	3	0.027	M122	M1088	ME_M122	ME_M1088
11	3	0.009	M28	M1088	ME_M28	ME_M1088
12	3	0.009	M31	M1088	ME_M31	ME_M1088
13	3	0.023	M34	M1088	ME_M34	ME_M1088
14	3	0.207	M35	M1088	ME_M35	ME_M1088
15	3	0.002	M450	M1088	ME_M450	ME_M1088
16	3	0.005	M682	M1088	ME_M682	ME_M1088
17	3	0.003	M691	M1088	ME_M691	ME_M1088
18	3	0.001	M693	M1088	ME_M693	ME_M1088
19	3	0.038	M724	M1088	ME_M724	ME_M1088
20	3	0.018	M728	M1088	ME_M728	ME_M1088
21	3	0.013	M729	M1088	ME_M729	ME_M1088
22	3	0.117	M738	M1088	ME_M738	ME_M1088
23	3	0.035	M740	M1088	ME_M740	ME_M1088
24	3	0.049	M745	M1088	ME_M745	ME_M1088
25	3	0.023	M746	M1088	ME_M746	ME_M1088
26	3	0.007	M750	M1088	ME_M750	ME_M1088
27	3	0.029	M751	M1088	ME_M751	ME_M1088
28	3	0.026	M752	M1088	ME_M752	ME_M1088
29	3	0.022	M757	M1088	ME_M757	ME_M1088
30	3	0.036	M763	M1088	ME_M763	ME_M1088
31	3	0.02	M771	M1088	ME_M771	ME_M1088
32	3	0.02	M772	M1088	ME_M772	ME_M1088
33	3	0.101	M86	M1088	ME_M86	ME_M1088
34	3	0.002	M867	M1088	ME_M867	ME_M1088
35	3	0.004	M901	M1088	ME_M901	ME_M1088
36	3	0.003	M935	M1088	ME_M935	ME_M1088
37	3	0.011	M937	M1088	ME_M937	ME_M1088
38	3	0.48	M938	M1088	ME_M938	ME_M1088
39	3	0.159	M954	M1088	ME_M954	ME_M1088
40	3	0.032	M959	M1088	ME_M959	ME_M1088
1	4	0.894	M10	M11	ME_M10	ME_M11
3	4	0.001	M1088	M11	ME_M1088	ME_M11
5	4	0.001	M1110	M11	ME_M1110	ME_M11
8	4	0.586	M119	M11	ME_M119	ME_M11
9	4	0.005	M121	M11	ME_M121	ME_M11
10	4	0.324	M122	M11	ME_M122	ME_M11
11	4	0.095	M28	M11	ME_M28	ME_M11
15	4	0.788	M450	M11	ME_M450	ME_M11
17	4	0.032	M691	M11	ME_M691	ME_M11
18	4	0.002	M693	M11	ME_M693	ME_M11
19	4	0.001	M724	M11	ME_M724	ME_M11
22	4	0.011	M738	M11	ME_M738	ME_M11
24	4	0.001	M745	M11	ME_M745	ME_M11
26	4	0.003	M750	M11	ME_M750	ME_M11
27	4	0.003	M751	M11	ME_M751	ME_M11
30	4	0.073	M763	M11	ME_M763	ME_M11
31	4	0.006	M771	M11	ME_M771	ME_M11
32	4	0.011	M772	M11	ME_M772	ME_M11
34	4	0.001	M867	M11	ME_M867	ME_M11
35	4	0.001	M901	M11	ME_M901	ME_M11
36	4	0.064	M935	M11	ME_M935	ME_M11
37	4	0.041	M937	M11	ME_M937	ME_M11
38	4	0.002	M938	M11	ME_M938	ME_M11
39	4	0.028	M954	M11	ME_M954	ME_M11
1	5	0.002	M10	M1110	ME_M10	ME_M1110
2	5	0.138	M1075	M1110	ME_M1075	ME_M1110
3	5	0.302	M1088	M1110	ME_M1088	ME_M1110
4	5	0.001	M11	M1110	ME_M11	ME_M1110
6	5	0.066	M1112	M1110	ME_M1112	ME_M1110
7	5	0.009	M1120	M1110	ME_M1120	ME_M1110
8	5	0.006	M119	M1110	ME_M119	ME_M1110
9	5	0.2	M121	M1110	ME_M121	ME_M1110
10	5	0.025	M122	M1110	ME_M122	ME_M1110
11	5	0.014	M28	M1110	ME_M28	ME_M1110
12	5	0.074	M31	M1110	ME_M31	ME_M1110
13	5	0.004	M34	M1110	ME_M34	ME_M1110
14	5	0.138	M35	M1110	ME_M35	ME_M1110
15	5	0.008	M450	M1110	ME_M450	ME_M1110
16	5	0.007	M682	M1110	ME_M682	ME_M1110
17	5	0.009	M691	M1110	ME_M691	ME_M1110
18	5	0.001	M693	M1110	ME_M693	ME_M1110
19	5	0.001	M724	M1110	ME_M724	ME_M1110
20	5	0.003	M728	M1110	ME_M728	ME_M1110
21	5	0.012	M729	M1110	ME_M729	ME_M1110
22	5	0.02	M738	M1110	ME_M738	ME_M1110
23	5	0.009	M740	M1110	ME_M740	ME_M1110
24	5	0.023	M745	M1110	ME_M745	ME_M1110
25	5	0.156	M746	M1110	ME_M746	ME_M1110
26	5	0.029	M750	M1110	ME_M750	ME_M1110
27	5	0.142	M751	M1110	ME_M751	ME_M1110
28	5	0.031	M752	M1110	ME_M752	ME_M1110
29	5	0.2	M757	M1110	ME_M757	ME_M1110
30	5	0.171	M763	M1110	ME_M763	ME_M1110
31	5	0.055	M771	M1110	ME_M771	ME_M1110
32	5	0.05	M772	M1110	ME_M772	ME_M1110
33	5	0.04	M86	M1110	ME_M86	ME_M1110
34	5	0.001	M867	M1110	ME_M867	ME_M1110
35	5	0.003	M901	M1110	ME_M901	ME_M1110
36	5	0.003	M935	M1110	ME_M935	ME_M1110
37	5	0.03	M937	M1110	ME_M937	ME_M1110
38	5	0.268	M938	M1110	ME_M938	ME_M1110
39	5	0.013	M954	M1110	ME_M954	ME_M1110
40	5	0.082	M959	M1110	ME_M959	ME_M1110
2	6	0.041	M1075	M1112	ME_M1075	ME_M1112
3	6	0.011	M1088	M1112	ME_M1088	ME_M1112
4	6	0.002	M11	M1112	ME_M11	ME_M1112
5	6	0.816	M1110	M1112	ME_M1110	ME_M1112
7	6	0.01	M1120	M1112	ME_M1120	ME_M1112
8	6	0.015	M119	M1112	ME_M119	ME_M1112
9	6	0.018	M121	M1112	ME_M121	ME_M1112
10	6	0.04	M122	M1112	ME_M122	ME_M1112
11	6	0.022	M28	M1112	ME_M28	ME_M1112
12	6	0.026	M31	M1112	ME_M31	ME_M1112
13	6	0.002	M34	M1112	ME_M34	ME_M1112
14	6	0.003	M35	M1112	ME_M35	ME_M1112
15	6	0.708	M450	M1112	ME_M450	ME_M1112
16	6	0.008	M682	M1112	ME_M682	ME_M1112
17	6	0.341	M691	M1112	ME_M691	ME_M1112
18	6	0.238	M693	M1112	ME_M693	ME_M1112
20	6	0.02	M728	M1112	ME_M728	ME_M1112
21	6	0.018	M729	M1112	ME_M729	ME_M1112
22	6	0.055	M738	M1112	ME_M738	ME_M1112
23	6	0.063	M740	M1112	ME_M740	ME_M1112
24	6	0.026	M745	M1112	ME_M745	ME_M1112
25	6	0.014	M746	M1112	ME_M746	ME_M1112
26	6	0.068	M750	M1112	ME_M750	ME_M1112
27	6	0.016	M751	M1112	ME_M751	ME_M1112
28	6	0.054	M752	M1112	ME_M752	ME_M1112
29	6	0.051	M757	M1112	ME_M757	ME_M1112
30	6	0.021	M763	M1112	ME_M763	ME_M1112
31	6	0.013	M771	M1112	ME_M771	ME_M1112
32	6	0.025	M772	M1112	ME_M772	ME_M1112
33	6	0.004	M86	M1112	ME_M86	ME_M1112
34	6	0.004	M867	M1112	ME_M867	ME_M1112
35	6	0.017	M901	M1112	ME_M901	ME_M1112
36	6	0.005	M935	M1112	ME_M935	ME_M1112
37	6	0.004	M937	M1112	ME_M937	ME_M1112
38	6	0.007	M938	M1112	ME_M938	ME_M1112
39	6	0.024	M954	M1112	ME_M954	ME_M1112
40	6	0.007	M959	M1112	ME_M959	ME_M1112
2	7	0.02	M1075	M1120	ME_M1075	ME_M1120
3	7	0.905	M1088	M1120	ME_M1088	ME_M1120
4	7	0.001	M11	M1120	ME_M11	ME_M1120
5	7	0.004	M1110	M1120	ME_M1110	ME_M1120
6	7	0.005	M1112	M1120	ME_M1112	ME_M1120
9	7	0.018	M121	M1120	ME_M121	ME_M1120
10	7	0.008	M122	M1120	ME_M122	ME_M1120
11	7	0.006	M28	M1120	ME_M28	ME_M1120
12	7	0.003	M31	M1120	ME_M31	ME_M1120
13	7	0.016	M34	M1120	ME_M34	ME_M1120
14	7	0.01	M35	M1120	ME_M35	ME_M1120
17	7	0.001	M691	M1120	ME_M691	ME_M1120
18	7	0.002	M693	M1120	ME_M693	ME_M1120
19	7	0.003	M724	M1120	ME_M724	ME_M1120
20	7	0.011	M728	M1120	ME_M728	ME_M1120
21	7	0.007	M729	M1120	ME_M729	ME_M1120
22	7	0.02	M738	M1120	ME_M738	ME_M1120
23	7	0.16	M740	M1120	ME_M740	ME_M1120
24	7	0.019	M745	M1120	ME_M745	ME_M1120
25	7	0.107	M746	M1120	ME_M746	ME_M1120
27	7	0.009	M751	M1120	ME_M751	ME_M1120
28	7	0.323	M752	M1120	ME_M752	ME_M1120
29	7	0.546	M757	M1120	ME_M757	ME_M1120
30	7	0.004	M763	M1120	ME_M763	ME_M1120
31	7	0.01	M771	M1120	ME_M771	ME_M1120
32	7	0.042	M772	M1120	ME_M772	ME_M1120
33	7	0.01	M86	M1120	ME_M86	ME_M1120
34	7	0.014	M867	M1120	ME_M867	ME_M1120
35	7	0.01	M901	M1120	ME_M901	ME_M1120
37	7	0.003	M937	M1120	ME_M937	ME_M1120
38	7	0.005	M938	M1120	ME_M938	ME_M1120
39	7	0.003	M954	M1120	ME_M954	ME_M1120
40	7	0.553	M959	M1120	ME_M959	ME_M1120
2	8	0.032	M1075	M119	ME_M1075	ME_M119
3	8	0.001	M1088	M119	ME_M1088	ME_M119
4	8	0.174	M11	M119	ME_M11	ME_M119
5	8	0.062	M1110	M119	ME_M1110	ME_M119
6	8	0.007	M1112	M119	ME_M1112	ME_M119
7	8	0.012	M1120	M119	ME_M1120	ME_M119
9	8	0.008	M121	M119	ME_M121	ME_M119
10	8	0.007	M122	M119	ME_M122	ME_M119
11	8	0.557	M28	M119	ME_M28	ME_M119
12	8	0.468	M31	M119	ME_M31	ME_M119
13	8	0.001	M34	M119	ME_M34	ME_M119
14	8	0.001	M35	M119	ME_M35	ME_M119
15	8	0.411	M450	M119	ME_M450	ME_M119
16	8	0.018	M682	M119	ME_M682	ME_M119
17	8	0.046	M691	M119	ME_M691	ME_M119
18	8	0.001	M693	M119	ME_M693	ME_M119
19	8	0.001	M724	M119	ME_M724	ME_M119
21	8	0.003	M729	M119	ME_M729	ME_M119
22	8	0.006	M738	M119	ME_M738	ME_M119
23	8	0.004	M740	M119	ME_M740	ME_M119
24	8	0.001	M745	M119	ME_M745	ME_M119
25	8	0.007	M746	M119	ME_M746	ME_M119
26	8	0.007	M750	M119	ME_M750	ME_M119
27	8	0.007	M751	M119	ME_M751	ME_M119
28	8	0.002	M752	M119	ME_M752	ME_M119
29	8	0.001	M757	M119	ME_M757	ME_M119
30	8	0.004	M763	M119	ME_M763	ME_M119
31	8	0.01	M771	M119	ME_M771	ME_M119
32	8	0.061	M772	M119	ME_M772	ME_M119
33	8	0.004	M86	M119	ME_M86	ME_M119
34	8	0.004	M867	M119	ME_M867	ME_M119
35	8	0.001	M901	M119	ME_M901	ME_M119
36	8	0.172	M935	M119	ME_M935	ME_M119
37	8	0.817	M937	M119	ME_M937	ME_M119
