phenotype	module	edge_freq
cogn_global	M937	0.452
cogn_global	M954	0.202
cogn_global	M745	0.125
cogn_global	M1088	0.11
cogn_global	M119	0.1
cogn_global	M10	0.092
cogn_global	M11	0.087
cogn_global	M763	0.074
cogn_global	M935	0.073
cogn_global	M738	0.071
cogn_global	M121	0.064
cogn_global	M1120	0.063
cogn_global	M751	0.059
cogn_global	M757	0.059
cogn_global	M450	0.056
cogn_global	M938	0.054
cogn_global	M771	0.053
cogn_global	M752	0.051
cogn_global	M959	0.051
cogn_global	M746	0.048
cogn_global	M1112	0.047
cogn_global	M728	0.046
cogn_global	M34	0.045
cogn_global	M28	0.044
cogn_global	M772	0.042
cogn_global	M1110	0.038
cogn_global	M693	0.038
cogn_global	M122	0.037
cogn_global	M682	0.036
cogn_global	M86	0.036
cogn_global	M31	0.033
cogn_global	M724	0.033
cogn_global	M750	0.033
cogn_global	M691	0.032
cogn_global	M729	0.029
cogn_global	M35	0.029
cogn_global	M1075	0.027
cogn_global	M740	0.027
cogn_global	M901	0.027
cogn_global	M867	0.024
pseudotime	M901	0.457
pseudotime	M724	0.226
pseudotime	M937	0.103
pseudotime	M867	0.09
pseudotime	M35	0.082
pseudotime	M1120	0.069
pseudotime	M86	0.066
pseudotime	M31	0.064
pseudotime	M750	0.064
pseudotime	M11	0.06
pseudotime	M763	0.058
pseudotime	M757	0.056
pseudotime	M693	0.056
pseudotime	M1110	0.055
pseudotime	M772	0.049
pseudotime	M729	0.048
pseudotime	M746	0.048
pseudotime	M740	0.048
pseudotime	M1088	0.047
pseudotime	M938	0.047
pseudotime	M954	0.046
pseudotime	M34	0.045
pseudotime	M28	0.044
pseudotime	M935	0.043
pseudotime	M119	0.042
pseudotime	M682	0.041
pseudotime	M691	0.041
pseudotime	M121	0.041
pseudotime	M10	0.04
pseudotime	M959	0.04
pseudotime	M122	0.039
pseudotime	M752	0.039
pseudotime	M728	0.039
pseudotime	M738	0.038
pseudotime	M771	0.037
pseudotime	M1075	0.036
pseudotime	M450	0.036
pseudotime	M745	0.035
pseudotime	M751	0.035
pseudotime	M1112	0.034
cogng_demog_slope	M757	0.143
cogng_demog_slope	M11	0.116
cogng_demog_slope	M34	0.103
cogng_demog_slope	M751	0.092
cogng_demog_slope	M935	0.089
cogng_demog_slope	M750	0.086
cogng_demog_slope	M752	0.08
cogng_demog_slope	M772	0.077
cogng_demog_slope	M10	0.071
cogng_demog_slope	M763	0.067
cogng_demog_slope	M959	0.066
cogng_demog_slope	M745	0.06
cogng_demog_slope	M1110	0.06
cogng_demog_slope	M1088	0.06
cogng_demog_slope	M938	0.06
cogng_demog_slope	M691	0.059
cogng_demog_slope	M746	0.059
cogng_demog_slope	M771	0.057
cogng_demog_slope	M1075	0.056
cogng_demog_slope	M35	0.055
cogng_demog_slope	M450	0.054
cogng_demog_slope	M740	0.053
cogng_demog_slope	M901	0.052
cogng_demog_slope	M119	0.051
cogng_demog_slope	M724	0.051
cogng_demog_slope	M121	0.05
cogng_demog_slope	M738	0.05
cogng_demog_slope	M693	0.049
cogng_demog_slope	M28	0.049
cogng_demog_slope	M937	0.048
cogng_demog_slope	M954	0.048
cogng_demog_slope	M867	0.047
cogng_demog_slope	M31	0.046
cogng_demog_slope	M1112	0.044
cogng_demog_slope	M729	0.044
cogng_demog_slope	M122	0.043
cogng_demog_slope	M1120	0.042
cogng_demog_slope	M682	0.042
cogng_demog_slope	M86	0.038
cogng_demog_slope	M728	0.036
motor10_demog_slope	M10	0.548
motor10_demog_slope	M34	0.109
motor10_demog_slope	M740	0.084
motor10_demog_slope	M751	0.068
motor10_demog_slope	M729	0.067
motor10_demog_slope	M954	0.066
motor10_demog_slope	M745	0.063
motor10_demog_slope	M86	0.06
motor10_demog_slope	M867	0.058
motor10_demog_slope	M728	0.057
motor10_demog_slope	M771	0.056
motor10_demog_slope	M691	0.056
motor10_demog_slope	M11	0.055
motor10_demog_slope	M35	0.055
motor10_demog_slope	M724	0.053
motor10_demog_slope	M901	0.052
motor10_demog_slope	M28	0.051
motor10_demog_slope	M938	0.051
motor10_demog_slope	M682	0.05
motor10_demog_slope	M1110	0.05
motor10_demog_slope	M1075	0.047
motor10_demog_slope	M693	0.047
motor10_demog_slope	M750	0.047
motor10_demog_slope	M763	0.047
motor10_demog_slope	M1112	0.046
motor10_demog_slope	M1088	0.046
motor10_demog_slope	M31	0.045
motor10_demog_slope	M935	0.045
motor10_demog_slope	M752	0.044
motor10_demog_slope	M959	0.043
motor10_demog_slope	M122	0.041
motor10_demog_slope	M772	0.039
motor10_demog_slope	M937	0.038
motor10_demog_slope	M746	0.037
motor10_demog_slope	M119	0.035
motor10_demog_slope	M1120	0.035
motor10_demog_slope	M121	0.033
motor10_demog_slope	M738	0.031
motor10_demog_slope	M757	0.029
motor10_demog_slope	M450	0.027
sqrt_parksc_demog_slope	M937	0.404
sqrt_parksc_demog_slope	M119	0.168
sqrt_parksc_demog_slope	M745	0.119
sqrt_parksc_demog_slope	M121	0.092
sqrt_parksc_demog_slope	M935	0.086
sqrt_parksc_demog_slope	M11	0.076
sqrt_parksc_demog_slope	M763	0.07
sqrt_parksc_demog_slope	M751	0.068
sqrt_parksc_demog_slope	M450	0.068
sqrt_parksc_demog_slope	M86	0.066
sqrt_parksc_demog_slope	M738	0.061
sqrt_parksc_demog_slope	M959	0.059
sqrt_parksc_demog_slope	M1110	0.058
sqrt_parksc_demog_slope	M28	0.057
sqrt_parksc_demog_slope	M31	0.054
sqrt_parksc_demog_slope	M35	0.053
sqrt_parksc_demog_slope	M122	0.052
sqrt_parksc_demog_slope	M691	0.05
sqrt_parksc_demog_slope	M938	0.049
sqrt_parksc_demog_slope	M771	0.049
sqrt_parksc_demog_slope	M1088	0.049
sqrt_parksc_demog_slope	M772	0.049
sqrt_parksc_demog_slope	M746	0.047
sqrt_parksc_demog_slope	M740	0.046
sqrt_parksc_demog_slope	M1112	0.045
sqrt_parksc_demog_slope	M750	0.044
sqrt_parksc_demog_slope	M901	0.044
sqrt_parksc_demog_slope	M752	0.042
sqrt_parksc_demog_slope	M1075	0.039
sqrt_parksc_demog_slope	M10	0.039
sqrt_parksc_demog_slope	M34	0.039
sqrt_parksc_demog_slope	M693	0.037
sqrt_parksc_demog_slope	M728	0.037
sqrt_parksc_demog_slope	M954	0.037
sqrt_parksc_demog_slope	M867	0.036
sqrt_parksc_demog_slope	M757	0.035
sqrt_parksc_demog_slope	M729	0.033
sqrt_parksc_demog_slope	M724	0.033
sqrt_parksc_demog_slope	M1120	0.032
sqrt_parksc_demog_slope	M682	0.028
