gene_symbol	ensembl_id	ensembl_gene_id_base	tissue	source_module	phenotype	edge_frequency	run_type	hgnc_symbol	hgnc_name	protein_name	target_categories	therapeutic_target_score	open_targets_ad_score	open_targets_ad_datasources	is_kinase	is_gPCR	is_ion_channel	is_nuclear_receptor	is_transporter	is_enzyme	is_receptor	is_transcription_factor	is_known_drug_target	has_ad_evidence
TMEM129	ENSG00000168936.10	ENSG00000168936	MFBA9BA46	M937	cogn_global	0.883	per_module	TMEM129	transmembrane protein 129, E3 ubiquitin ligase		enzyme;Alzheimer_evidence	2	0.001970873102205	expression_atlas:0.01620968299309712	False	False	False	False	False	True	False	False	False	True
CREBL2	ENSG00000111269.2	ENSG00000111269	MFBA9BA46	M745	cogn_global	0.567	per_module	CREBL2	cAMP responsive element binding protein like 2			0	0.0		False	False	False	False	False	False	False	False	False	False
EFCAB6	ENSG00000186976.14	ENSG00000186976	MFBA9BA46	M1088	cogn_global	0.487	per_module	EFCAB6	EF-hand calcium binding domain 6			0	0.0		False	False	False	False	False	False	False	False	False	False
FGFR3	ENSG00000068078.17	ENSG00000068078	AC	cross_cogn_global	cogn_global	0.412	cross_module	FGFR3	fibroblast growth factor receptor 3		kinase;enzyme;receptor;known_drug_target;Alzheimer_evidence	5	0.3587599808568034	clinical_precedence:0.5454490211904267;europepmc:0.8702077313159343;expression_atlas:0.05280835477883369	True	False	False	False	False	True	True	False	True	True
GOLM2	ENSG00000166734.18	ENSG00000166734	AC	M119	cogn_global	0.411	per_module	GOLM2	golgi membrane protein 2		Alzheimer_evidence	1	0.0226139930194511	gwas_credible_sets:0.037198301366364074	False	False	False	False	False	False	False	False	False	True
CREBL2	ENSG00000111269.2	ENSG00000111269	MFBA9BA46	cross_cogn_global	cogn_global	0.384	cross_module	CREBL2	cAMP responsive element binding protein like 2			0	0.0		False	False	False	False	False	False	False	False	False	False
CLCC1	ENSG00000121940.15	ENSG00000121940	PCGBA23	M954	cogn_global	0.37	per_module	CLCC1	chloride channel CLIC like 1		ion_channel;Alzheimer_evidence	2	0.0306159951620807	impc:0.2518049363707335	False	False	True	False	False	False	False	False	False	True
JMJD4	ENSG00000081692.12	ENSG00000081692	MFBA9BA46	M1088	cogn_global	0.368	per_module	JMJD4	jumonji domain containing 4			0	0.0		False	False	False	False	False	False	False	False	False	False
SSH1	ENSG00000084112.14	ENSG00000084112	MFBA9BA46	cross_cogn_global	cogn_global	0.33	cross_module	SSH1	slingshot protein phosphatase 1		enzyme;Alzheimer_evidence	2	0.0729706200377358	europepmc:0.5928236139013808;expression_atlas:0.0293281259256532	False	False	False	False	False	True	False	False	False	True
DBNL	ENSG00000136279.20	ENSG00000136279	MFBA9BA46	M1088	cogn_global	0.302	per_module	DBNL	drebrin like		Alzheimer_evidence	1	0.0156373217252493	europepmc:0.12861103423846706	False	False	False	False	False	False	False	False	False	True
ZNF268	ENSG00000090612.20	ENSG00000090612	AC	M954	cogn_global	0.265	per_module	ZNF268	zinc finger protein 268		transcription_factor;Alzheimer_evidence	2	0.0014783194187388	europepmc:0.012158615952232422	False	False	False	False	False	False	False	True	False	True
C5	ENSG00000106804.7	ENSG00000106804	MFBA9BA46	M937	cogn_global	0.228	per_module	C5	complement C5		enzyme;receptor;known_drug_target;Alzheimer_evidence	4	0.0955756500292949	europepmc:0.7860734347131546	False	False	False	False	False	True	True	False	True	True
NEU3	ENSG00000162139.9	ENSG00000162139	MFBA9BA46	M1088	cogn_global	0.208	per_module	NEU3	neuraminidase 3		enzyme;Alzheimer_evidence	2	0.0105857936488773	europepmc:0.0870641337012843	False	False	False	False	False	True	False	False	False	True
PBXIP1	ENSG00000163346.16	ENSG00000163346	AC	M119	cogn_global	0.206	per_module	PBXIP1	PBX homeobox interacting protein 1		transcription_factor;Alzheimer_evidence	2	0.0632185095222374	europepmc:0.4991651197426705;expression_atlas:0.08313247676059753	False	False	False	False	False	False	False	True	False	True
