cluster_id	unique_genes	tissues	cluster_size	original_cluster_type	dominant_tissue	max_tissue_fraction	is_tissue_specific_095	cluster_tissue_class_095	AC	PCGBA23	MFBA9BA46	frac_AC	frac_PCGBA23	frac_MFBA9BA46	n_kinase	frac_kinase	n_GPCR	frac_GPCR	n_ion_channel	frac_ion_channel	n_nuclear_receptor	frac_nuclear_receptor	n_transporter	frac_transporter	n_enzyme	frac_enzyme	n_receptor	frac_receptor	n_transcription_factor	frac_transcription_factor	n_known_drug_target	frac_known_drug_target	n_Alzheimer_evidence	frac_Alzheimer_evidence	n_any_therapeutic_category	frac_any_therapeutic_category	target_category_score	representative_target_genes	target_rank
728	651	AC;MFBA9BA46;PCGBA23	661	CT	PCGBA23	0.7987897125567323	False	Cross tissue	70.0	528.0	63.0	0.1059001512859304	0.7987897125567323	0.09531013615733737	48	0.0737327188940092	6	0.0092165898617511	39	0.0599078341013824	0	0.0	27	0.0414746543778801	130	0.1996927803379416	50	0.0768049155145929	30	0.0460829493087557	159	0.2442396313364055	488	0.7496159754224271	526	0.8079877112135176	977	GRIN1(ion_channel;receptor;known_drug_target;Alzheimer_evidence);GRIN2B(ion_channel;receptor;known_drug_target;Alzheimer_evidence);CDK5R1(kinase;enzyme;Alzheimer_evidence);NAGPA(enzyme;Alzheimer_evidence);PTK2B(kinase;enzyme;known_drug_target;Alzheimer_evidence);HTR2A(receptor;known_drug_target;Alzheimer_evidence);EEF2(known_drug_target;Alzheimer_evidence);BRSK2(kinase;enzyme;known_drug_target;Alzheimer_evidence);SLC7A14(transporter;enzyme;known_drug_target;Alzheimer_evidence);LRRK2(kinase;enzyme;known_drug_target;Alzheimer_evidence);KHDRBS2(Alzheimer_evidence);CAMK1G(kinase;enzyme;known_drug_target;Alzheimer_evidence);DOCK3(Alzheimer_evidence);GDI1(Alzheimer_evidence);HES4(transcription_factor;Alzheimer_evidence);GRIA1(ion_channel;receptor;known_drug_target;Alzheimer_evidence);PPP3R1(enzyme;Alzheimer_evidence);BCL11A(transcription_factor;Alzheimer_evidence);PTPRN2(enzyme;receptor;known_drug_target;Alzheimer_evidence);NEURL1(enzyme;Alzheimer_evidence);CELF4(Alzheimer_evidence);CKMT1B(kinase;enzyme;Alzheimer_evidence);GABRA4(ion_channel;receptor;known_drug_target;Alzheimer_evidence);RYR2(receptor;known_drug_target;Alzheimer_evidence);DIRAS2(Alzheimer_evidence)	1
763	791	AC;MFBA9BA46;PCGBA23	992	CT	MFBA9BA46	0.4122983870967742	False	Cross tissue	266.0	317.0	409.0	0.26814516129032256	0.31955645161290325	0.4122983870967742	35	0.0442477876106194	6	0.0075853350189633	11	0.0139064475347661	5	0.0063211125158027	18	0.02275600505689	139	0.1757269279393173	36	0.04551201011378	90	0.11378002528445	114	0.1441213653603034	411	0.5195954487989887	500	0.6321112515802781	865	NEU1(enzyme;known_drug_target;Alzheimer_evidence);NOP16(Alzheimer_evidence);IL34(known_drug_target;Alzheimer_evidence);RAP2B(Alzheimer_evidence);TTN(kinase;enzyme;known_drug_target;Alzheimer_evidence);PPARG(receptor;known_drug_target;Alzheimer_evidence);PTGS2(enzyme;known_drug_target;Alzheimer_evidence);NGLY1(enzyme;Alzheimer_evidence);CDC5L(Alzheimer_evidence);CLINT1(Alzheimer_evidence);TIMM44(Alzheimer_evidence);CCDC6(Alzheimer_evidence);HIC1(transcription_factor;Alzheimer_evidence);MAPK14(kinase;enzyme;known_drug_target;Alzheimer_evidence);TPST2(enzyme;Alzheimer_evidence);PTGFR(receptor;known_drug_target;Alzheimer_evidence);MRPL33(Alzheimer_evidence);AOPEP(enzyme;known_drug_target;Alzheimer_evidence);ARHGEF17(Alzheimer_evidence);PIK3R6(kinase;enzyme;known_drug_target;Alzheimer_evidence);WNT2(known_drug_target;Alzheimer_evidence);CSNK2A2(kinase;enzyme;known_drug_target;Alzheimer_evidence);L3MBTL3(transcription_factor;known_drug_target;Alzheimer_evidence);ALDH8A1(enzyme;Alzheimer_evidence);ZNF579(transcription_factor;Alzheimer_evidence)	2
771	883	AC;MFBA9BA46;PCGBA23	1162	CT	MFBA9BA46	0.39156626506024095	False	Cross tissue	310.0	397.0	455.0	0.2667814113597246	0.34165232358003444	0.39156626506024095	38	0.0430351075877689	9	0.0101925254813137	8	0.0090600226500566	0	0.0	12	0.0135900339750849	139	0.1574178935447338	27	0.0305775764439411	105	0.1189127972819932	83	0.0939977349943374	390	0.4416761041902605	513	0.580973952434881	811	ADAM10(enzyme;known_drug_target;Alzheimer_evidence);AURKA(kinase;enzyme;known_drug_target;Alzheimer_evidence);PPP1R10(enzyme;transcription_factor;Alzheimer_evidence);COPA(receptor;known_drug_target;Alzheimer_evidence);ACACA(enzyme;known_drug_target;Alzheimer_evidence);IPO7(Alzheimer_evidence);TRAPPC5(Alzheimer_evidence);EPM2A(enzyme;Alzheimer_evidence);PANK1(kinase;enzyme;Alzheimer_evidence);CREB1(Alzheimer_evidence);UQCRB(enzyme;Alzheimer_evidence);PFKP(enzyme;Alzheimer_evidence);SLC35C1(transporter;known_drug_target;Alzheimer_evidence);SLC36A1(transporter;known_drug_target;Alzheimer_evidence);MRPL35(Alzheimer_evidence);FAM20B(kinase;enzyme;Alzheimer_evidence);CTCF(transcription_factor;Alzheimer_evidence);MAST2(kinase;enzyme;known_drug_target;Alzheimer_evidence);RABEP1(Alzheimer_evidence);MRPL33(Alzheimer_evidence);LRRN2(Alzheimer_evidence);SCLY(enzyme;Alzheimer_evidence);KCNG1(ion_channel;known_drug_target;Alzheimer_evidence);MRPS15(Alzheimer_evidence);ALDH8A1(enzyme;Alzheimer_evidence)	3
746	711	AC;MFBA9BA46;PCGBA23	908	CT	MFBA9BA46	0.394273127753304	False	Cross tissue	256.0	294.0	358.0	0.28193832599118945	0.3237885462555066	0.394273127753304	38	0.0534458509142053	7	0.0098452883263009	12	0.0168776371308016	5	0.0070323488045007	14	0.0196905766526019	129	0.1814345991561181	35	0.0492264416315049	93	0.1308016877637131	99	0.1392405063291139	366	0.5147679324894515	451	0.6343178621659634	798	KAT8(enzyme;transcription_factor;known_drug_target;Alzheimer_evidence);DRD1(receptor;known_drug_target;Alzheimer_evidence);DSTYK(kinase;enzyme;known_drug_target;Alzheimer_evidence);B4GALT2(enzyme;Alzheimer_evidence);SBF1(Alzheimer_evidence);SMG8(Alzheimer_evidence);EEF2(known_drug_target;Alzheimer_evidence);MINDY2(Alzheimer_evidence);ULK1(kinase;enzyme;known_drug_target;Alzheimer_evidence);HINFP(transcription_factor;Alzheimer_evidence);CLINT1(Alzheimer_evidence);MRPL35(Alzheimer_evidence);PIK3R2(kinase;enzyme;known_drug_target;Alzheimer_evidence);CCDC6(Alzheimer_evidence);WIPF2(Alzheimer_evidence);FUZ(Alzheimer_evidence);ARHGEF10L(Alzheimer_evidence);MRPL45(Alzheimer_evidence);ZFTA(transcription_factor;Alzheimer_evidence);COQ5(enzyme;Alzheimer_evidence);SEC14L1(Alzheimer_evidence);SLC22A23(transporter;known_drug_target;Alzheimer_evidence);KCND3(ion_channel;known_drug_target;Alzheimer_evidence);AFF3(Alzheimer_evidence);ARMH3(Alzheimer_evidence)	4
682	556	AC;MFBA9BA46;PCGBA23	565	CT	AC	0.8460176991150442	False	Cross tissue	478.0	66.0	21.0	0.8460176991150442	0.1168141592920354	0.03716814159292035	37	0.066546762589928	3	0.0053956834532374	36	0.0647482014388489	1	0.0017985611510791	16	0.0287769784172661	115	0.2068345323741007	30	0.0539568345323741	27	0.0485611510791366	115	0.2068345323741007	416	0.7482014388489209	447	0.8039568345323741	796	APP(enzyme;receptor;known_drug_target;Alzheimer_evidence);CDK5R1(kinase;enzyme;Alzheimer_evidence);NDUFS5(Alzheimer_evidence);NDUFA8(Alzheimer_evidence);PIK3CB(kinase;enzyme;known_drug_target;Alzheimer_evidence);NDUFS8(enzyme;Alzheimer_evidence);ATP1A1(enzyme;known_drug_target;Alzheimer_evidence);JAZF1(transcription_factor;Alzheimer_evidence);GOT1(enzyme;Alzheimer_evidence);BRSK2(kinase;enzyme;known_drug_target;Alzheimer_evidence);SLC7A14(transporter;enzyme;known_drug_target;Alzheimer_evidence);MAP2K4(kinase;enzyme;known_drug_target;Alzheimer_evidence);SLC39A10(transporter;known_drug_target;Alzheimer_evidence);FAM20B(kinase;enzyme;Alzheimer_evidence);KHDRBS2(Alzheimer_evidence);CACNA1A(ion_channel;known_drug_target;Alzheimer_evidence);DOCK3(Alzheimer_evidence);SLC25A4(transporter;known_drug_target;Alzheimer_evidence);CKMT1B(kinase;enzyme;Alzheimer_evidence);DYNLRB1(Alzheimer_evidence);CNTNAP5(Alzheimer_evidence);DIRAS2(Alzheimer_evidence);CDK5R2(kinase;enzyme;Alzheimer_evidence);ZMAT4(transcription_factor;Alzheimer_evidence);CAMK2N1(kinase;enzyme;Alzheimer_evidence)	5
724	596	AC;MFBA9BA46;PCGBA23	603	CT	PCGBA23	0.8391376451077943	False	Cross tissue	32.0	506.0	65.0	0.05306799336650083	0.8391376451077943	0.1077943615257048	32	0.0536912751677852	1	0.0016778523489932	32	0.0536912751677852	2	0.0033557046979865	19	0.0318791946308724	122	0.2046979865771812	31	0.0520134228187919	39	0.0654362416107382	118	0.197986577181208	400	0.6711409395973155	440	0.738255033557047	796	GRIN2A(ion_channel;receptor;known_drug_target;Alzheimer_evidence);NDUFA8(Alzheimer_evidence);PIK3CB(kinase;enzyme;known_drug_target;Alzheimer_evidence);ATP1A1(enzyme;known_drug_target;Alzheimer_evidence);ADRA1D(known_drug_target;Alzheimer_evidence);CNTNAP2(Alzheimer_evidence);GOT1(enzyme;Alzheimer_evidence);STAT4(transcription_factor;Alzheimer_evidence);PPP3CC(enzyme;Alzheimer_evidence);PICK1(Alzheimer_evidence);CACNA1A(ion_channel;known_drug_target;Alzheimer_evidence);EPB41L1(Alzheimer_evidence);MAP4K2(kinase;enzyme;known_drug_target;Alzheimer_evidence);SLC25A4(transporter;known_drug_target;Alzheimer_evidence);DPP4(enzyme;known_drug_target;Alzheimer_evidence);RPH3A(Alzheimer_evidence);PHOSPHO1(enzyme;Alzheimer_evidence);REEP5(receptor;Alzheimer_evidence);ZMAT4(transcription_factor;Alzheimer_evidence);DHPS(enzyme;Alzheimer_evidence);CYRIB(Alzheimer_evidence);SNTG1(Alzheimer_evidence);SLC16A7(transporter;known_drug_target;Alzheimer_evidence);NRIP3(nuclear_receptor;enzyme;receptor;Alzheimer_evidence);HCN1(ion_channel;known_drug_target;Alzheimer_evidence)	6
729	559	AC;MFBA9BA46;PCGBA23	572	CT	PCGBA23	0.7674825174825175	False	Cross tissue	66.0	439.0	67.0	0.11538461538461539	0.7674825174825175	0.11713286713286714	35	0.0626118067978533	3	0.0053667262969588	14	0.0250447227191413	1	0.0017889087656529	16	0.0286225402504472	134	0.2397137745974955	26	0.0465116279069767	27	0.0483005366726296	91	0.1627906976744186	390	0.6976744186046512	424	0.7584973166368515	737	APP(enzyme;receptor;known_drug_target;Alzheimer_evidence);CDK5(kinase;enzyme;known_drug_target;Alzheimer_evidence);HMGCR(enzyme;known_drug_target;Alzheimer_evidence);GSK3B(kinase;enzyme;known_drug_target;Alzheimer_evidence);ATP6V1B2(known_drug_target;Alzheimer_evidence);ATP6V1A(enzyme;known_drug_target;Alzheimer_evidence);AKAP11(kinase;enzyme;Alzheimer_evidence);ATP6V1C1(known_drug_target;Alzheimer_evidence);MTMR6(enzyme;Alzheimer_evidence);AP2S1(Alzheimer_evidence);CLTC(Alzheimer_evidence);AP2M1(Alzheimer_evidence);IMP3(Alzheimer_evidence);JAZF1(transcription_factor;Alzheimer_evidence);ADRA1D(known_drug_target;Alzheimer_evidence);CDH13(Alzheimer_evidence);PTPRO(enzyme;receptor;known_drug_target;Alzheimer_evidence);MAP2K4(kinase;enzyme;known_drug_target;Alzheimer_evidence);CACNA1A(ion_channel;known_drug_target;Alzheimer_evidence);COX7A1(enzyme;Alzheimer_evidence);LCMT1(enzyme;Alzheimer_evidence);DYRK1B(kinase;enzyme;known_drug_target;Alzheimer_evidence);DHX30(Alzheimer_evidence);DSTN(Alzheimer_evidence);UBE2V2(enzyme;Alzheimer_evidence)	7
693	478	AC;MFBA9BA46;PCGBA23	490	CT	AC	0.7857142857142857	False	Cross tissue	385.0	59.0	46.0	0.7857142857142857	0.12040816326530612	0.09387755102040816	37	0.0774058577405857	10	0.0209205020920502	32	0.0669456066945606	0	0.0	18	0.0376569037656903	93	0.1945606694560669	46	0.0962343096234309	31	0.0648535564853556	123	0.2573221757322175	319	0.6673640167364017	353	0.7384937238493724	709	GRIN1(ion_channel;receptor;known_drug_target;Alzheimer_evidence);GRIN2B(ion_channel;receptor;known_drug_target;Alzheimer_evidence);DRD2(receptor;known_drug_target;Alzheimer_evidence);KAT8(enzyme;transcription_factor;known_drug_target;Alzheimer_evidence);DRD1(receptor;known_drug_target;Alzheimer_evidence);SLC24A4(transporter;known_drug_target;Alzheimer_evidence);HTR6(receptor;known_drug_target;Alzheimer_evidence);ULK1(kinase;enzyme;known_drug_target;Alzheimer_evidence);PTPRO(enzyme;receptor;known_drug_target;Alzheimer_evidence);HTR2C(receptor;known_drug_target;Alzheimer_evidence);GNG4(Alzheimer_evidence);CAMK1G(kinase;enzyme;known_drug_target;Alzheimer_evidence);EPB41L1(Alzheimer_evidence);HCN2(ion_channel;known_drug_target;Alzheimer_evidence);GRIA1(ion_channel;receptor;known_drug_target;Alzheimer_evidence);PPP3R1(enzyme;Alzheimer_evidence);BCL11A(transcription_factor;Alzheimer_evidence);ST3GAL4(enzyme;Alzheimer_evidence);NEURL1(enzyme;Alzheimer_evidence);CELF4(Alzheimer_evidence);SLC25A6(transporter;known_drug_target;Alzheimer_evidence);RYR2(receptor;known_drug_target;Alzheimer_evidence);CHRM1(receptor;known_drug_target;Alzheimer_evidence);PRKCZ(kinase;enzyme;known_drug_target;Alzheimer_evidence);SNTG1(Alzheimer_evidence)	8
11	416	AC;MFBA9BA46;PCGBA23	465	CT	AC	0.7913978494623656	False	Cross tissue	368.0	56.0	41.0	0.7913978494623656	0.12043010752688173	0.08817204301075268	24	0.0576923076923076	4	0.0096153846153846	5	0.0120192307692307	0	0.0	10	0.0240384615384615	92	0.2211538461538461	64	0.1538461538461538	20	0.048076923076923	144	0.3461538461538461	342	0.8221153846153846	365	0.8774038461538461	705	CD33(known_drug_target;Alzheimer_evidence);GRN(Alzheimer_evidence);TREM2(receptor;known_drug_target;Alzheimer_evidence);CLU(known_drug_target;Alzheimer_evidence);PLCG2(enzyme;known_drug_target;Alzheimer_evidence);MS4A6A(Alzheimer_evidence);CTSB(enzyme;known_drug_target;Alzheimer_evidence);TGFBR2(kinase;enzyme;receptor;known_drug_target;Alzheimer_evidence);TGFBR1(kinase;enzyme;receptor;known_drug_target;Alzheimer_evidence);ABI3(Alzheimer_evidence);ATP8B4(enzyme;known_drug_target;Alzheimer_evidence);SPI1(transcription_factor;Alzheimer_evidence);TSPO(known_drug_target;Alzheimer_evidence);USP6NL(Alzheimer_evidence);SCIMP(Alzheimer_evidence);PTGS1(enzyme;known_drug_target;Alzheimer_evidence);LRRC25(Alzheimer_evidence);MGAT1(enzyme;Alzheimer_evidence);RIN3(Alzheimer_evidence);HAVCR2(receptor;known_drug_target;Alzheimer_evidence);IL6R(receptor;known_drug_target;Alzheimer_evidence);LIPG(known_drug_target;Alzheimer_evidence);ITPKB(kinase;enzyme;known_drug_target;Alzheimer_evidence);GPX1(enzyme;Alzheimer_evidence);TLR5(receptor;known_drug_target;Alzheimer_evidence)	9
752	702	AC;MFBA9BA46;PCGBA23	867	CT	MFBA9BA46	0.356401384083045	False	Cross tissue	289.0	269.0	309.0	0.3333333333333333	0.3102652825836217	0.356401384083045	26	0.037037037037037	1	0.0014245014245014	3	0.0042735042735042	1	0.0014245014245014	13	0.0185185185185185	117	0.1666666666666666	26	0.037037037037037	69	0.0982905982905982	91	0.1296296296296296	316	0.4501424501424501	387	0.5512820512820513	663	CDC25B(enzyme;Alzheimer_evidence);PLK1(kinase;enzyme;known_drug_target;Alzheimer_evidence);PIKFYVE(kinase;enzyme;transcription_factor;known_drug_target;Alzheimer_evidence);TNPO3(Alzheimer_evidence);MT-ND1(enzyme;Alzheimer_evidence);NDUFB4(Alzheimer_evidence);COX7C(enzyme;Alzheimer_evidence);ESR2(receptor;known_drug_target;Alzheimer_evidence);HTR1B(receptor;known_drug_target;Alzheimer_evidence);GAK(kinase;enzyme;known_drug_target;Alzheimer_evidence);VARS2(enzyme;Alzheimer_evidence);CXXC1(transcription_factor;Alzheimer_evidence);TRRAP(kinase;enzyme;known_drug_target;Alzheimer_evidence);EXOC2(Alzheimer_evidence);KMT2C(enzyme;known_drug_target;Alzheimer_evidence);ATM(kinase;enzyme;known_drug_target;Alzheimer_evidence);L3MBTL3(transcription_factor;known_drug_target;Alzheimer_evidence);SMARCC1(Alzheimer_evidence);NFATC2(Alzheimer_evidence);MPDZ(Alzheimer_evidence);EED(known_drug_target;Alzheimer_evidence);UBA1(enzyme;Alzheimer_evidence);GLRX2(Alzheimer_evidence);RASA1(Alzheimer_evidence);RGPD8(Alzheimer_evidence)	10
