source_id	target_id	frequency	source_name	target_name	source_raw	target_raw
2	1	0.4	ENSG00000198743_SMA	ENSG00000198743_VH	ENSG00000198743_SMA	ENSG00000198743_VH
3	1	0.002	ENSG00000170836_VH	ENSG00000198743_VH	ENSG00000170836_VH	ENSG00000198743_VH
4	1	0.383	ENSG00000231721_SMA	ENSG00000198743_VH	ENSG00000231721_SMA	ENSG00000198743_VH
5	1	0.458	ENSG00000134294_VH	ENSG00000198743_VH	ENSG00000134294_VH	ENSG00000198743_VH
6	1	0.266	ENSG00000090060_VH	ENSG00000198743_VH	ENSG00000090060_VH	ENSG00000198743_VH
7	1	0.011	ENSG00000163320_VH	ENSG00000198743_VH	ENSG00000163320_VH	ENSG00000198743_VH
8	1	0.175	ENSG00000122884_VH	ENSG00000198743_VH	ENSG00000122884_VH	ENSG00000198743_VH
9	1	0.215	ENSG00000159873_VH	ENSG00000198743_VH	ENSG00000159873_VH	ENSG00000198743_VH
10	1	0.209	ENSG00000121892_VH	ENSG00000198743_VH	ENSG00000121892_VH	ENSG00000198743_VH
11	1	0.058	ENSG00000168807_VH	ENSG00000198743_VH	ENSG00000168807_VH	ENSG00000198743_VH
12	1	0.033	ENSG00000075420_VH	ENSG00000198743_VH	ENSG00000075420_VH	ENSG00000198743_VH
13	1	0.021	ENSG00000137393_VH	ENSG00000198743_VH	ENSG00000137393_VH	ENSG00000198743_VH
14	1	0.007	ENSG00000133789_VH	ENSG00000198743_VH	ENSG00000133789_VH	ENSG00000198743_VH
15	1	0.013	ENSG00000166446_VH	ENSG00000198743_VH	ENSG00000166446_VH	ENSG00000198743_VH
16	1	0.083	ENSG00000138018_SMA	ENSG00000198743_VH	ENSG00000138018_SMA	ENSG00000198743_VH
17	1	0.054	ENSG00000119844_SMA	ENSG00000198743_VH	ENSG00000119844_SMA	ENSG00000198743_VH
18	1	0.01	ENSG00000152402_SMA	ENSG00000198743_VH	ENSG00000152402_SMA	ENSG00000198743_VH
19	1	0.011	ENSG00000051382_SMA	ENSG00000198743_VH	ENSG00000051382_SMA	ENSG00000198743_VH
20	1	0.216	ENSG00000170456_SMA	ENSG00000198743_VH	ENSG00000170456_SMA	ENSG00000198743_VH
21	1	0.004	ENSG00000178662_SMA	ENSG00000198743_VH	ENSG00000178662_SMA	ENSG00000198743_VH
22	1	0.002	ENSG00000146267_SMA	ENSG00000198743_VH	ENSG00000146267_SMA	ENSG00000198743_VH
23	1	0.002	ENSG00000159082_SMA	ENSG00000198743_VH	ENSG00000159082_SMA	ENSG00000198743_VH
24	1	0.008	ENSG00000166206_SMA	ENSG00000198743_VH	ENSG00000166206_SMA	ENSG00000198743_VH
25	1	0.002	ENSG00000008086_SMA	ENSG00000198743_VH	ENSG00000008086_SMA	ENSG00000198743_VH
1	2	0.6	ENSG00000198743_VH	ENSG00000198743_SMA	ENSG00000198743_VH	ENSG00000198743_SMA
3	2	0.268	ENSG00000170836_VH	ENSG00000198743_SMA	ENSG00000170836_VH	ENSG00000198743_SMA
4	2	0.459	ENSG00000231721_SMA	ENSG00000198743_SMA	ENSG00000231721_SMA	ENSG00000198743_SMA
5	2	0.004	ENSG00000134294_VH	ENSG00000198743_SMA	ENSG00000134294_VH	ENSG00000198743_SMA
6	2	0.01	ENSG00000090060_VH	ENSG00000198743_SMA	ENSG00000090060_VH	ENSG00000198743_SMA
7	2	0.002	ENSG00000163320_VH	ENSG00000198743_SMA	ENSG00000163320_VH	ENSG00000198743_SMA
8	2	0.001	ENSG00000122884_VH	ENSG00000198743_SMA	ENSG00000122884_VH	ENSG00000198743_SMA
9	2	0.001	ENSG00000159873_VH	ENSG00000198743_SMA	ENSG00000159873_VH	ENSG00000198743_SMA
10	2	0.002	ENSG00000121892_VH	ENSG00000198743_SMA	ENSG00000121892_VH	ENSG00000198743_SMA
12	2	0.001	ENSG00000075420_VH	ENSG00000198743_SMA	ENSG00000075420_VH	ENSG00000198743_SMA
13	2	0.005	ENSG00000137393_VH	ENSG00000198743_SMA	ENSG00000137393_VH	ENSG00000198743_SMA
14	2	0.022	ENSG00000133789_VH	ENSG00000198743_SMA	ENSG00000133789_VH	ENSG00000198743_SMA
15	2	0.002	ENSG00000166446_VH	ENSG00000198743_SMA	ENSG00000166446_VH	ENSG00000198743_SMA
16	2	0.547	ENSG00000138018_SMA	ENSG00000198743_SMA	ENSG00000138018_SMA	ENSG00000198743_SMA
17	2	0.094	ENSG00000119844_SMA	ENSG00000198743_SMA	ENSG00000119844_SMA	ENSG00000198743_SMA
18	2	0.033	ENSG00000152402_SMA	ENSG00000198743_SMA	ENSG00000152402_SMA	ENSG00000198743_SMA
