node_id	raw_name	pretty_name	is_phenotype
1	ENSG00000112406_QUAD	ENSG00000112406_QUAD	0
2	ENSG00000184007_QUAD	ENSG00000184007_QUAD	0
3	ENSG00000100811_QUAD	ENSG00000100811_QUAD	0
4	ENSG00000143321_QUAD	ENSG00000143321_QUAD	0
5	ENSG00000176407_QUAD	ENSG00000176407_QUAD	0
6	ENSG00000198743_VH	ENSG00000198743_VH	0
7	ENSG00000095787_VH	ENSG00000095787_VH	0
8	ENSG00000279207_VH	ENSG00000279207_VH	0
9	ENSG00000170836_VH	ENSG00000170836_VH	0
10	ENSG00000134294_VH	ENSG00000134294_VH	0
11	ENSG00000113384_VH	ENSG00000113384_VH	0
12	ENSG00000116406_VH	ENSG00000116406_VH	0
13	ENSG00000186063_VH	ENSG00000186063_VH	0
14	ENSG00000145907_VH	ENSG00000145907_VH	0
15	ENSG00000161813_VH	ENSG00000161813_VH	0
16	ENSG00000147133_QUAD	ENSG00000147133_QUAD	0
17	ENSG00000158987_QUAD	ENSG00000158987_QUAD	0
18	ENSG00000189221_SMA	ENSG00000189221_SMA	0
19	ENSG00000265972_SMA	ENSG00000265972_SMA	0
20	ENSG00000253352_QUAD	ENSG00000253352_QUAD	0
21	ENSG00000198919_QUAD	ENSG00000198919_QUAD	0
22	ENSG00000275835_QUAD	ENSG00000275835_QUAD	0
23	ENSG00000197429_QUAD	ENSG00000197429_QUAD	0
24	ENSG00000101882_QUAD	ENSG00000101882_QUAD	0
25	ENSG00000119041_QUAD	ENSG00000119041_QUAD	0
26	ENSG00000075340_SMA	ENSG00000075340_SMA	0
27	ENSG00000013016_SMA	ENSG00000013016_SMA	0
28	ENSG00000047056_SMA	ENSG00000047056_SMA	0
29	ENSG00000241973_SMA	ENSG00000241973_SMA	0
30	ENSG00000130477_SMA	ENSG00000130477_SMA	0
31	ENSG00000231721_SMA	ENSG00000231721_SMA	0
32	ENSG00000127993_SMA	ENSG00000127993_SMA	0
33	ENSG00000226380_SMA	ENSG00000226380_SMA	0
34	ENSG00000127483_SMA	ENSG00000127483_SMA	0
35	ENSG00000070495_VH	ENSG00000070495_VH	0
36	ENSG00000090060_VH	ENSG00000090060_VH	0
37	ENSG00000110172_VH	ENSG00000110172_VH	0
38	ENSG00000090060_SMA	ENSG00000090060_SMA	0
39	ENSG00000122884_VH	ENSG00000122884_VH	0
40	ENSG00000082898_VH	ENSG00000082898_VH	0
41	PHENO_cogn_global	PHENO_cogn_global	1
