source_id	target_id	frequency	source_name	target_name	source_raw	target_raw
2	1	0.167	ENSG00000198743_SMA	ENSG00000198743_VH	ENSG00000198743_SMA	ENSG00000198743_VH
3	1	0.01	ENSG00000170836_VH	ENSG00000198743_VH	ENSG00000170836_VH	ENSG00000198743_VH
4	1	0.016	ENSG00000231721_SMA	ENSG00000198743_VH	ENSG00000231721_SMA	ENSG00000198743_VH
5	1	0.538	ENSG00000134294_VH	ENSG00000198743_VH	ENSG00000134294_VH	ENSG00000198743_VH
6	1	0.183	ENSG00000099622_VH	ENSG00000198743_VH	ENSG00000099622_VH	ENSG00000198743_VH
7	1	0.031	ENSG00000099622_SMA	ENSG00000198743_VH	ENSG00000099622_SMA	ENSG00000198743_VH
8	1	0.004	ENSG00000134146_SMA	ENSG00000198743_VH	ENSG00000134146_SMA	ENSG00000198743_VH
9	1	0.476	ENSG00000175305_VH	ENSG00000198743_VH	ENSG00000175305_VH	ENSG00000198743_VH
10	1	0.149	ENSG00000059588_SMA	ENSG00000198743_VH	ENSG00000059588_SMA	ENSG00000198743_VH
11	1	0.15	ENSG00000168807_VH	ENSG00000198743_VH	ENSG00000168807_VH	ENSG00000198743_VH
12	1	0.021	ENSG00000075420_VH	ENSG00000198743_VH	ENSG00000075420_VH	ENSG00000198743_VH
13	1	0.075	ENSG00000137393_VH	ENSG00000198743_VH	ENSG00000137393_VH	ENSG00000198743_VH
14	1	0.003	ENSG00000133789_VH	ENSG00000198743_VH	ENSG00000133789_VH	ENSG00000198743_VH
15	1	0.054	ENSG00000166446_VH	ENSG00000198743_VH	ENSG00000166446_VH	ENSG00000198743_VH
16	1	0.245	ENSG00000090060_VH	ENSG00000198743_VH	ENSG00000090060_VH	ENSG00000198743_VH
17	1	0.225	ENSG00000163320_VH	ENSG00000198743_VH	ENSG00000163320_VH	ENSG00000198743_VH
18	1	0.07	ENSG00000122884_VH	ENSG00000198743_VH	ENSG00000122884_VH	ENSG00000198743_VH
19	1	0.134	ENSG00000159873_VH	ENSG00000198743_VH	ENSG00000159873_VH	ENSG00000198743_VH
20	1	0.011	ENSG00000121892_VH	ENSG00000198743_VH	ENSG00000121892_VH	ENSG00000198743_VH
21	1	0.002	ENSG00000134001_QUAD	ENSG00000198743_VH	ENSG00000134001_QUAD	ENSG00000198743_VH
23	1	0.002	ENSG00000129084_QUAD	ENSG00000198743_VH	ENSG00000129084_QUAD	ENSG00000198743_VH
