node_id	raw_name	pretty_name	is_phenotype
1	ENSG00000198743_VH	ENSG00000198743_VH	0
2	ENSG00000198743_SMA	ENSG00000198743_SMA	0
3	ENSG00000170836_VH	ENSG00000170836_VH	0
4	ENSG00000231721_SMA	ENSG00000231721_SMA	0
5	ENSG00000134294_VH	ENSG00000134294_VH	0
6	ENSG00000099622_VH	ENSG00000099622_VH	0
7	ENSG00000099622_SMA	ENSG00000099622_SMA	0
8	ENSG00000134146_SMA	ENSG00000134146_SMA	0
9	ENSG00000175305_VH	ENSG00000175305_VH	0
10	ENSG00000059588_SMA	ENSG00000059588_SMA	0
11	ENSG00000168807_VH	ENSG00000168807_VH	0
12	ENSG00000075420_VH	ENSG00000075420_VH	0
13	ENSG00000137393_VH	ENSG00000137393_VH	0
14	ENSG00000133789_VH	ENSG00000133789_VH	0
15	ENSG00000166446_VH	ENSG00000166446_VH	0
16	ENSG00000090060_VH	ENSG00000090060_VH	0
17	ENSG00000163320_VH	ENSG00000163320_VH	0
18	ENSG00000122884_VH	ENSG00000122884_VH	0
19	ENSG00000159873_VH	ENSG00000159873_VH	0
20	ENSG00000121892_VH	ENSG00000121892_VH	0
21	ENSG00000134001_QUAD	ENSG00000134001_QUAD	0
22	ENSG00000109332_QUAD	ENSG00000109332_QUAD	0
23	ENSG00000129084_QUAD	ENSG00000129084_QUAD	0
24	ENSG00000144224_QUAD	ENSG00000144224_QUAD	0
25	ENSG00000166226_QUAD	ENSG00000166226_QUAD	0
26	ENSG00000082701_VH	ENSG00000082701_VH	0
27	ENSG00000133703_VH	ENSG00000133703_VH	0
28	ENSG00000198791_VH	ENSG00000198791_VH	0
29	ENSG00000111802_VH	ENSG00000111802_VH	0
30	ENSG00000088179_VH	ENSG00000088179_VH	0
31	PHENO_cogng_demog_slope	PHENO_cogng_demog_slope	1
