source_id	target_id	frequency	source_name	target_name	source_raw	target_raw
2	1	0.045	ENSG00000081386_VH	ENSG00000204789_VH	ENSG00000081386_VH	ENSG00000204789_VH
3	1	0.017	ENSG00000168566_VH	ENSG00000204789_VH	ENSG00000168566_VH	ENSG00000204789_VH
4	1	0.003	ENSG00000134283_VH	ENSG00000204789_VH	ENSG00000134283_VH	ENSG00000204789_VH
5	1	0.186	ENSG00000155744_VH	ENSG00000204789_VH	ENSG00000155744_VH	ENSG00000204789_VH
6	1	0.006	ENSG00000089195_QUAD	ENSG00000204789_VH	ENSG00000089195_QUAD	ENSG00000204789_VH
7	1	0.047	ENSG00000134697_QUAD	ENSG00000204789_VH	ENSG00000134697_QUAD	ENSG00000204789_VH
8	1	0.007	ENSG00000096063_QUAD	ENSG00000204789_VH	ENSG00000096063_QUAD	ENSG00000204789_VH
10	1	0.013	ENSG00000135821_QUAD	ENSG00000204789_VH	ENSG00000135821_QUAD	ENSG00000204789_VH
11	1	0.009	ENSG00000082701_VH	ENSG00000204789_VH	ENSG00000082701_VH	ENSG00000204789_VH
12	1	0.02	ENSG00000133703_VH	ENSG00000204789_VH	ENSG00000133703_VH	ENSG00000204789_VH
13	1	0.06	ENSG00000198791_VH	ENSG00000204789_VH	ENSG00000198791_VH	ENSG00000204789_VH
14	1	0.525	ENSG00000111802_VH	ENSG00000204789_VH	ENSG00000111802_VH	ENSG00000204789_VH
15	1	0.004	ENSG00000088179_VH	ENSG00000204789_VH	ENSG00000088179_VH	ENSG00000204789_VH
16	1	0.662	ENSG00000198743_VH	ENSG00000204789_VH	ENSG00000198743_VH	ENSG00000204789_VH
17	1	0.038	ENSG00000198743_SMA	ENSG00000204789_VH	ENSG00000198743_SMA	ENSG00000204789_VH
18	1	0.014	ENSG00000170836_VH	ENSG00000204789_VH	ENSG00000170836_VH	ENSG00000204789_VH
19	1	0.031	ENSG00000231721_SMA	ENSG00000204789_VH	ENSG00000231721_SMA	ENSG00000204789_VH
20	1	0.016	ENSG00000134294_VH	ENSG00000204789_VH	ENSG00000134294_VH	ENSG00000204789_VH
21	1	0.039	ENSG00000111530_VH	ENSG00000204789_VH	ENSG00000111530_VH	ENSG00000204789_VH
22	1	0.044	ENSG00000152332_VH	ENSG00000204789_VH	ENSG00000152332_VH	ENSG00000204789_VH
23	1	0.009	ENSG00000138138_VH	ENSG00000204789_VH	ENSG00000138138_VH	ENSG00000204789_VH
24	1	0.038	ENSG00000135932_VH	ENSG00000204789_VH	ENSG00000135932_VH	ENSG00000204789_VH
25	1	0.002	ENSG00000175073_VH	ENSG00000204789_VH	ENSG00000175073_VH	ENSG00000204789_VH
26	1	0.001	ENSG00000141503_VH	ENSG00000204789_VH	ENSG00000141503_VH	ENSG00000204789_VH
27	1	0.698	ENSG00000055070_VH	ENSG00000204789_VH	ENSG00000055070_VH	ENSG00000204789_VH
28	1	0.155	ENSG00000146535_VH	ENSG00000204789_VH	ENSG00000146535_VH	ENSG00000204789_VH
29	1	0.01	ENSG00000160408_VH	ENSG00000204789_VH	ENSG00000160408_VH	ENSG00000204789_VH
30	1	0.006	ENSG00000186716_VH	ENSG00000204789_VH	ENSG00000186716_VH	ENSG00000204789_VH
31	1	0.017	ENSG00000134001_QUAD	ENSG00000204789_VH	ENSG00000134001_QUAD	ENSG00000204789_VH
32	1	0.002	ENSG00000109332_QUAD	ENSG00000204789_VH	ENSG00000109332_QUAD	ENSG00000204789_VH
33	1	0.001	ENSG00000129084_QUAD	ENSG00000204789_VH	ENSG00000129084_QUAD	ENSG00000204789_VH
34	1	0.001	ENSG00000144224_QUAD	ENSG00000204789_VH	ENSG00000144224_QUAD	ENSG00000204789_VH
35	1	0.002	ENSG00000166226_QUAD	ENSG00000204789_VH	ENSG00000166226_QUAD	ENSG00000204789_VH
36	1	0.015	ENSG00000170417_QUAD	ENSG00000204789_VH	ENSG00000170417_QUAD	ENSG00000204789_VH
37	1	0.003	ENSG00000073711_QUAD	ENSG00000204789_VH	ENSG00000073711_QUAD	ENSG00000204789_VH
38	1	0.005	ENSG00000265142_QUAD	ENSG00000204789_VH	ENSG00000265142_QUAD	ENSG00000204789_VH
39	1	0.001	ENSG00000122477_QUAD	ENSG00000204789_VH	ENSG00000122477_QUAD	ENSG00000204789_VH
40	1	0.001	ENSG00000187715_QUAD	ENSG00000204789_VH	ENSG00000187715_QUAD	ENSG00000204789_VH
1	2	0.027	ENSG00000204789_VH	ENSG00000081386_VH	ENSG00000204789_VH	ENSG00000081386_VH
3	2	0.019	ENSG00000168566_VH	ENSG00000081386_VH	ENSG00000168566_VH	ENSG00000081386_VH
4	2	0.008	ENSG00000134283_VH	ENSG00000081386_VH	ENSG00000134283_VH	ENSG00000081386_VH
5	2	0.036	ENSG00000155744_VH	ENSG00000081386_VH	ENSG00000155744_VH	ENSG00000081386_VH
7	2	0.001	ENSG00000134697_QUAD	ENSG00000081386_VH	ENSG00000134697_QUAD	ENSG00000081386_VH
10	2	0.001	ENSG00000135821_QUAD	ENSG00000081386_VH	ENSG00000135821_QUAD	ENSG00000081386_VH
11	2	0.012	ENSG00000082701_VH	ENSG00000081386_VH	ENSG00000082701_VH	ENSG00000081386_VH
12	2	0.044	ENSG00000133703_VH	ENSG00000081386_VH	ENSG00000133703_VH	ENSG00000081386_VH
13	2	0.146	ENSG00000198791_VH	ENSG00000081386_VH	ENSG00000198791_VH	ENSG00000081386_VH
14	2	0.013	ENSG00000111802_VH	ENSG00000081386_VH	ENSG00000111802_VH	ENSG00000081386_VH
15	2	0.551	ENSG00000088179_VH	ENSG00000081386_VH	ENSG00000088179_VH	ENSG00000081386_VH
16	2	0.019	ENSG00000198743_VH	ENSG00000081386_VH	ENSG00000198743_VH	ENSG00000081386_VH
17	2	0.007	ENSG00000198743_SMA	ENSG00000081386_VH	ENSG00000198743_SMA	ENSG00000081386_VH
18	2	0.87	ENSG00000170836_VH	ENSG00000081386_VH	ENSG00000170836_VH	ENSG00000081386_VH
19	2	0.001	ENSG00000231721_SMA	ENSG00000081386_VH	ENSG00000231721_SMA	ENSG00000081386_VH
20	2	0.034	ENSG00000134294_VH	ENSG00000081386_VH	ENSG00000134294_VH	ENSG00000081386_VH
21	2	0.037	ENSG00000111530_VH	ENSG00000081386_VH	ENSG00000111530_VH	ENSG00000081386_VH
22	2	0.01	ENSG00000152332_VH	ENSG00000081386_VH	ENSG00000152332_VH	ENSG00000081386_VH
23	2	0.01	ENSG00000138138_VH	ENSG00000081386_VH	ENSG00000138138_VH	ENSG00000081386_VH
24	2	0.006	ENSG00000135932_VH	ENSG00000081386_VH	ENSG00000135932_VH	ENSG00000081386_VH
25	2	0.076	ENSG00000175073_VH	ENSG00000081386_VH	ENSG00000175073_VH	ENSG00000081386_VH
26	2	0.002	ENSG00000141503_VH	ENSG00000081386_VH	ENSG00000141503_VH	ENSG00000081386_VH
27	2	0.78	ENSG00000055070_VH	ENSG00000081386_VH	ENSG00000055070_VH	ENSG00000081386_VH
28	2	0.142	ENSG00000146535_VH	ENSG00000081386_VH	ENSG00000146535_VH	ENSG00000081386_VH
29	2	0.013	ENSG00000160408_VH	ENSG00000081386_VH	ENSG00000160408_VH	ENSG00000081386_VH
30	2	0.001	ENSG00000186716_VH	ENSG00000081386_VH	ENSG00000186716_VH	ENSG00000081386_VH
35	2	0.001	ENSG00000166226_QUAD	ENSG00000081386_VH	ENSG00000166226_QUAD	ENSG00000081386_VH
36	2	0.004	ENSG00000170417_QUAD	ENSG00000081386_VH	ENSG00000170417_QUAD	ENSG00000081386_VH
37	2	0.002	ENSG00000073711_QUAD	ENSG00000081386_VH	ENSG00000073711_QUAD	ENSG00000081386_VH
38	2	0.003	ENSG00000265142_QUAD	ENSG00000081386_VH	ENSG00000265142_QUAD	ENSG00000081386_VH
39	2	0.001	ENSG00000122477_QUAD	ENSG00000081386_VH	ENSG00000122477_QUAD	ENSG00000081386_VH
1	3	0.006	ENSG00000204789_VH	ENSG00000168566_VH	ENSG00000204789_VH	ENSG00000168566_VH
2	3	0.044	ENSG00000081386_VH	ENSG00000168566_VH	ENSG00000081386_VH	ENSG00000168566_VH
4	3	0.005	ENSG00000134283_VH	ENSG00000168566_VH	ENSG00000134283_VH	ENSG00000168566_VH
5	3	0.006	ENSG00000155744_VH	ENSG00000168566_VH	ENSG00000155744_VH	ENSG00000168566_VH
6	3	0.001	ENSG00000089195_QUAD	ENSG00000168566_VH	ENSG00000089195_QUAD	ENSG00000168566_VH
7	3	0.002	ENSG00000134697_QUAD	ENSG00000168566_VH	ENSG00000134697_QUAD	ENSG00000168566_VH
11	3	0.004	ENSG00000082701_VH	ENSG00000168566_VH	ENSG00000082701_VH	ENSG00000168566_VH
12	3	0.008	ENSG00000133703_VH	ENSG00000168566_VH	ENSG00000133703_VH	ENSG00000168566_VH
13	3	0.005	ENSG00000198791_VH	ENSG00000168566_VH	ENSG00000198791_VH	ENSG00000168566_VH
14	3	0.008	ENSG00000111802_VH	ENSG00000168566_VH	ENSG00000111802_VH	ENSG00000168566_VH
15	3	0.001	ENSG00000088179_VH	ENSG00000168566_VH	ENSG00000088179_VH	ENSG00000168566_VH
16	3	0.165	ENSG00000198743_VH	ENSG00000168566_VH	ENSG00000198743_VH	ENSG00000168566_VH
17	3	0.069	ENSG00000198743_SMA	ENSG00000168566_VH	ENSG00000198743_SMA	ENSG00000168566_VH
18	3	0.058	ENSG00000170836_VH	ENSG00000168566_VH	ENSG00000170836_VH	ENSG00000168566_VH
19	3	0.005	ENSG00000231721_SMA	ENSG00000168566_VH	ENSG00000231721_SMA	ENSG00000168566_VH
20	3	0.69	ENSG00000134294_VH	ENSG00000168566_VH	ENSG00000134294_VH	ENSG00000168566_VH
21	3	0.003	ENSG00000111530_VH	ENSG00000168566_VH	ENSG00000111530_VH	ENSG00000168566_VH
22	3	0.645	ENSG00000152332_VH	ENSG00000168566_VH	ENSG00000152332_VH	ENSG00000168566_VH
23	3	0.012	ENSG00000138138_VH	ENSG00000168566_VH	ENSG00000138138_VH	ENSG00000168566_VH
24	3	0.163	ENSG00000135932_VH	ENSG00000168566_VH	ENSG00000135932_VH	ENSG00000168566_VH
25	3	0.057	ENSG00000175073_VH	ENSG00000168566_VH	ENSG00000175073_VH	ENSG00000168566_VH
26	3	0.004	ENSG00000141503_VH	ENSG00000168566_VH	ENSG00000141503_VH	ENSG00000168566_VH
27	3	0.786	ENSG00000055070_VH	ENSG00000168566_VH	ENSG00000055070_VH	ENSG00000168566_VH
28	3	0.012	ENSG00000146535_VH	ENSG00000168566_VH	ENSG00000146535_VH	ENSG00000168566_VH
29	3	0.057	ENSG00000160408_VH	ENSG00000168566_VH	ENSG00000160408_VH	ENSG00000168566_VH
30	3	0.007	ENSG00000186716_VH	ENSG00000168566_VH	ENSG00000186716_VH	ENSG00000168566_VH
31	3	0.001	ENSG00000134001_QUAD	ENSG00000168566_VH	ENSG00000134001_QUAD	ENSG00000168566_VH
34	3	0.002	ENSG00000144224_QUAD	ENSG00000168566_VH	ENSG00000144224_QUAD	ENSG00000168566_VH
36	3	0.003	ENSG00000170417_QUAD	ENSG00000168566_VH	ENSG00000170417_QUAD	ENSG00000168566_VH
37	3	0.007	ENSG00000073711_QUAD	ENSG00000168566_VH	ENSG00000073711_QUAD	ENSG00000168566_VH
38	3	0.003	ENSG00000265142_QUAD	ENSG00000168566_VH	ENSG00000265142_QUAD	ENSG00000168566_VH
39	3	0.003	ENSG00000122477_QUAD	ENSG00000168566_VH	ENSG00000122477_QUAD	ENSG00000168566_VH
40	3	0.005	ENSG00000187715_QUAD	ENSG00000168566_VH	ENSG00000187715_QUAD	ENSG00000168566_VH
1	4	0.001	ENSG00000204789_VH	ENSG00000134283_VH	ENSG00000204789_VH	ENSG00000134283_VH
2	4	0.043	ENSG00000081386_VH	ENSG00000134283_VH	ENSG00000081386_VH	ENSG00000134283_VH
