source_id	target_id	frequency	source_name	target_name	source_raw	target_raw
2	1	0.042	ENSG00000198743_SMA	ENSG00000198743_VH	ENSG00000198743_SMA	ENSG00000198743_VH
3	1	0.016	ENSG00000170836_VH	ENSG00000198743_VH	ENSG00000170836_VH	ENSG00000198743_VH
4	1	0.075	ENSG00000231721_SMA	ENSG00000198743_VH	ENSG00000231721_SMA	ENSG00000198743_VH
5	1	0.33	ENSG00000134294_VH	ENSG00000198743_VH	ENSG00000134294_VH	ENSG00000198743_VH
6	1	0.333	ENSG00000090060_VH	ENSG00000198743_VH	ENSG00000090060_VH	ENSG00000198743_VH
7	1	0.133	ENSG00000163320_VH	ENSG00000198743_VH	ENSG00000163320_VH	ENSG00000198743_VH
8	1	0.263	ENSG00000122884_VH	ENSG00000198743_VH	ENSG00000122884_VH	ENSG00000198743_VH
9	1	0.067	ENSG00000159873_VH	ENSG00000198743_VH	ENSG00000159873_VH	ENSG00000198743_VH
10	1	0.053	ENSG00000121892_VH	ENSG00000198743_VH	ENSG00000121892_VH	ENSG00000198743_VH
11	1	0.216	ENSG00000168807_VH	ENSG00000198743_VH	ENSG00000168807_VH	ENSG00000198743_VH
12	1	0.005	ENSG00000075420_VH	ENSG00000198743_VH	ENSG00000075420_VH	ENSG00000198743_VH
13	1	0.007	ENSG00000137393_VH	ENSG00000198743_VH	ENSG00000137393_VH	ENSG00000198743_VH
14	1	0.007	ENSG00000133789_VH	ENSG00000198743_VH	ENSG00000133789_VH	ENSG00000198743_VH
15	1	0.018	ENSG00000166446_VH	ENSG00000198743_VH	ENSG00000166446_VH	ENSG00000198743_VH
16	1	0.015	ENSG00000104365_SMA	ENSG00000198743_VH	ENSG00000104365_SMA	ENSG00000198743_VH
17	1	0.049	ENSG00000233559_SMA	ENSG00000198743_VH	ENSG00000233559_SMA	ENSG00000198743_VH
18	1	0.003	ENSG00000246451_SMA	ENSG00000198743_VH	ENSG00000246451_SMA	ENSG00000198743_VH
19	1	0.005	ENSG00000154803_SMA	ENSG00000198743_VH	ENSG00000154803_SMA	ENSG00000198743_VH
20	1	0.022	ENSG00000198952_SMA	ENSG00000198743_VH	ENSG00000198952_SMA	ENSG00000198743_VH
21	1	0.013	ENSG00000196876_VH	ENSG00000198743_VH	ENSG00000196876_VH	ENSG00000198743_VH
22	1	0.004	ENSG00000114948_VH	ENSG00000198743_VH	ENSG00000114948_VH	ENSG00000198743_VH
23	1	0.019	ENSG00000132932_VH	ENSG00000198743_VH	ENSG00000132932_VH	ENSG00000198743_VH
24	1	0.01	ENSG00000163618_VH	ENSG00000198743_VH	ENSG00000163618_VH	ENSG00000198743_VH
25	1	0.016	ENSG00000065609_VH	ENSG00000198743_VH	ENSG00000065609_VH	ENSG00000198743_VH
26	1	0.018	ENSG00000100330_VH	ENSG00000198743_VH	ENSG00000100330_VH	ENSG00000198743_VH
27	1	0.031	ENSG00000172379_VH	ENSG00000198743_VH	ENSG00000172379_VH	ENSG00000198743_VH
28	1	0.036	ENSG00000126016_VH	ENSG00000198743_VH	ENSG00000126016_VH	ENSG00000198743_VH
29	1	0.012	ENSG00000171444_VH	ENSG00000198743_VH	ENSG00000171444_VH	ENSG00000198743_VH
30	1	0.129	ENSG00000186951_VH	ENSG00000198743_VH	ENSG00000186951_VH	ENSG00000198743_VH
31	1	0.087	ENSG00000075426_VH	ENSG00000198743_VH	ENSG00000075426_VH	ENSG00000198743_VH
32	1	0.017	ENSG00000067182_VH	ENSG00000198743_VH	ENSG00000067182_VH	ENSG00000198743_VH
33	1	0.078	ENSG00000077238_VH	ENSG00000198743_VH	ENSG00000077238_VH	ENSG00000198743_VH
34	1	0.06	ENSG00000101187_VH	ENSG00000198743_VH	ENSG00000101187_VH	ENSG00000198743_VH
35	1	0.013	ENSG00000143570_VH	ENSG00000198743_VH	ENSG00000143570_VH	ENSG00000198743_VH
36	1	0.004	ENSG00000172731_QUAD	ENSG00000198743_VH	ENSG00000172731_QUAD	ENSG00000198743_VH
38	1	0.018	ENSG00000140986_QUAD	ENSG00000198743_VH	ENSG00000140986_QUAD	ENSG00000198743_VH
39	1	0.003	ENSG00000164708_QUAD	ENSG00000198743_VH	ENSG00000164708_QUAD	ENSG00000198743_VH
40	1	0.004	ENSG00000198467_QUAD	ENSG00000198743_VH	ENSG00000198467_QUAD	ENSG00000198743_VH
1	2	0.958	ENSG00000198743_VH	ENSG00000198743_SMA	ENSG00000198743_VH	ENSG00000198743_SMA
3	2	0.046	ENSG00000170836_VH	ENSG00000198743_SMA	ENSG00000170836_VH	ENSG00000198743_SMA
4	2	0.859	ENSG00000231721_SMA	ENSG00000198743_SMA	ENSG00000231721_SMA	ENSG00000198743_SMA
5	2	0.009	ENSG00000134294_VH	ENSG00000198743_SMA	ENSG00000134294_VH	ENSG00000198743_SMA
6	2	0.002	ENSG00000090060_VH	ENSG00000198743_SMA	ENSG00000090060_VH	ENSG00000198743_SMA
7	2	0.002	ENSG00000163320_VH	ENSG00000198743_SMA	ENSG00000163320_VH	ENSG00000198743_SMA
9	2	0.002	ENSG00000159873_VH	ENSG00000198743_SMA	ENSG00000159873_VH	ENSG00000198743_SMA
10	2	0.004	ENSG00000121892_VH	ENSG00000198743_SMA	ENSG00000121892_VH	ENSG00000198743_SMA
11	2	0.002	ENSG00000168807_VH	ENSG00000198743_SMA	ENSG00000168807_VH	ENSG00000198743_SMA
12	2	0.002	ENSG00000075420_VH	ENSG00000198743_SMA	ENSG00000075420_VH	ENSG00000198743_SMA
13	2	0.01	ENSG00000137393_VH	ENSG00000198743_SMA	ENSG00000137393_VH	ENSG00000198743_SMA
14	2	0.036	ENSG00000133789_VH	ENSG00000198743_SMA	ENSG00000133789_VH	ENSG00000198743_SMA
15	2	0.022	ENSG00000166446_VH	ENSG00000198743_SMA	ENSG00000166446_VH	ENSG00000198743_SMA
16	2	0.002	ENSG00000104365_SMA	ENSG00000198743_SMA	ENSG00000104365_SMA	ENSG00000198743_SMA
17	2	0.004	ENSG00000233559_SMA	ENSG00000198743_SMA	ENSG00000233559_SMA	ENSG00000198743_SMA
18	2	0.001	ENSG00000246451_SMA	ENSG00000198743_SMA	ENSG00000246451_SMA	ENSG00000198743_SMA
20	2	0.001	ENSG00000198952_SMA	ENSG00000198743_SMA	ENSG00000198952_SMA	ENSG00000198743_SMA
21	2	0.003	ENSG00000196876_VH	ENSG00000198743_SMA	ENSG00000196876_VH	ENSG00000198743_SMA
22	2	0.002	ENSG00000114948_VH	ENSG00000198743_SMA	ENSG00000114948_VH	ENSG00000198743_SMA
23	2	0.003	ENSG00000132932_VH	ENSG00000198743_SMA	ENSG00000132932_VH	ENSG00000198743_SMA
24	2	0.006	ENSG00000163618_VH	ENSG00000198743_SMA	ENSG00000163618_VH	ENSG00000198743_SMA
25	2	0.001	ENSG00000065609_VH	ENSG00000198743_SMA	ENSG00000065609_VH	ENSG00000198743_SMA
26	2	0.06	ENSG00000100330_VH	ENSG00000198743_SMA	ENSG00000100330_VH	ENSG00000198743_SMA
27	2	0.504	ENSG00000172379_VH	ENSG00000198743_SMA	ENSG00000172379_VH	ENSG00000198743_SMA
28	2	0.051	ENSG00000126016_VH	ENSG00000198743_SMA	ENSG00000126016_VH	ENSG00000198743_SMA
29	2	0.239	ENSG00000171444_VH	ENSG00000198743_SMA	ENSG00000171444_VH	ENSG00000198743_SMA
30	2	0.032	ENSG00000186951_VH	ENSG00000198743_SMA	ENSG00000186951_VH	ENSG00000198743_SMA
31	2	0.008	ENSG00000075426_VH	ENSG00000198743_SMA	ENSG00000075426_VH	ENSG00000198743_SMA
32	2	0.005	ENSG00000067182_VH	ENSG00000198743_SMA	ENSG00000067182_VH	ENSG00000198743_SMA
33	2	0.004	ENSG00000077238_VH	ENSG00000198743_SMA	ENSG00000077238_VH	ENSG00000198743_SMA
34	2	0.017	ENSG00000101187_VH	ENSG00000198743_SMA	ENSG00000101187_VH	ENSG00000198743_SMA
35	2	0.001	ENSG00000143570_VH	ENSG00000198743_SMA	ENSG00000143570_VH	ENSG00000198743_SMA
37	2	0.001	ENSG00000177791_QUAD	ENSG00000198743_SMA	ENSG00000177791_QUAD	ENSG00000198743_SMA
1	3	0.036	ENSG00000198743_VH	ENSG00000170836_VH	ENSG00000198743_VH	ENSG00000170836_VH
2	3	0.327	ENSG00000198743_SMA	ENSG00000170836_VH	ENSG00000198743_SMA	ENSG00000170836_VH
4	3	0.007	ENSG00000231721_SMA	ENSG00000170836_VH	ENSG00000231721_SMA	ENSG00000170836_VH
5	3	0.463	ENSG00000134294_VH	ENSG00000170836_VH	ENSG00000134294_VH	ENSG00000170836_VH
6	3	0.253	ENSG00000090060_VH	ENSG00000170836_VH	ENSG00000090060_VH	ENSG00000170836_VH
7	3	0.062	ENSG00000163320_VH	ENSG00000170836_VH	ENSG00000163320_VH	ENSG00000170836_VH
8	3	0.006	ENSG00000122884_VH	ENSG00000170836_VH	ENSG00000122884_VH	ENSG00000170836_VH
9	3	0.042	ENSG00000159873_VH	ENSG00000170836_VH	ENSG00000159873_VH	ENSG00000170836_VH
10	3	0.352	ENSG00000121892_VH	ENSG00000170836_VH	ENSG00000121892_VH	ENSG00000170836_VH
11	3	0.001	ENSG00000168807_VH	ENSG00000170836_VH	ENSG00000168807_VH	ENSG00000170836_VH
12	3	0.013	ENSG00000075420_VH	ENSG00000170836_VH	ENSG00000075420_VH	ENSG00000170836_VH
13	3	0.003	ENSG00000137393_VH	ENSG00000170836_VH	ENSG00000137393_VH	ENSG00000170836_VH
