node_id	raw_name	pretty_name	is_phenotype
1	ENSG00000112406_QUAD	ENSG00000112406_QUAD	0
2	ENSG00000184007_QUAD	ENSG00000184007_QUAD	0
3	ENSG00000100811_QUAD	ENSG00000100811_QUAD	0
4	ENSG00000143321_QUAD	ENSG00000143321_QUAD	0
5	ENSG00000176407_QUAD	ENSG00000176407_QUAD	0
6	ENSG00000198743_VH	ENSG00000198743_VH	0
7	ENSG00000095787_VH	ENSG00000095787_VH	0
8	ENSG00000279207_VH	ENSG00000279207_VH	0
9	ENSG00000170836_VH	ENSG00000170836_VH	0
10	ENSG00000134294_VH	ENSG00000134294_VH	0
11	ENSG00000233559_SMA	ENSG00000233559_SMA	0
12	ENSG00000239306_SMA	ENSG00000239306_SMA	0
13	ENSG00000203709_SMA	ENSG00000203709_SMA	0
14	ENSG00000268362_SMA	ENSG00000268362_SMA	0
15	ENSG00000129646_SMA	ENSG00000129646_SMA	0
16	ENSG00000204514_SMA	ENSG00000204514_SMA	0
17	ENSG00000279425_SMA	ENSG00000279425_SMA	0
18	ENSG00000288884_SMA	ENSG00000288884_SMA	0
19	ENSG00000284624_SMA	ENSG00000284624_SMA	0
20	ENSG00000167978_SMA	ENSG00000167978_SMA	0
21	ENSG00000145623_QUAD	ENSG00000145623_QUAD	0
22	ENSG00000104635_QUAD	ENSG00000104635_QUAD	0
23	ENSG00000137801_QUAD	ENSG00000137801_QUAD	0
24	ENSG00000163660_QUAD	ENSG00000163660_QUAD	0
25	ENSG00000144802_QUAD	ENSG00000144802_QUAD	0
26	ENSG00000075426_VH	ENSG00000075426_VH	0
27	ENSG00000145623_VH	ENSG00000145623_VH	0
28	ENSG00000060138_VH	ENSG00000060138_VH	0
29	ENSG00000077238_VH	ENSG00000077238_VH	0
30	ENSG00000125810_VH	ENSG00000125810_VH	0
31	ENSG00000147133_QUAD	ENSG00000147133_QUAD	0
32	ENSG00000158987_QUAD	ENSG00000158987_QUAD	0
33	ENSG00000189221_SMA	ENSG00000189221_SMA	0
34	ENSG00000265972_SMA	ENSG00000265972_SMA	0
35	ENSG00000253352_QUAD	ENSG00000253352_QUAD	0
36	ENSG00000231721_SMA	ENSG00000231721_SMA	0
37	ENSG00000127993_SMA	ENSG00000127993_SMA	0
38	ENSG00000226380_SMA	ENSG00000226380_SMA	0
39	ENSG00000127483_SMA	ENSG00000127483_SMA	0
40	ENSG00000070495_VH	ENSG00000070495_VH	0
41	PHENO_pseudotime	PHENO_pseudotime	1
