source_id	target_id	frequency	source_name	target_name	source_raw	target_raw
2	1	0.904	ENSG00000104635_QUAD	ENSG00000145623_QUAD	ENSG00000104635_QUAD	ENSG00000145623_QUAD
3	1	0.327	ENSG00000137801_QUAD	ENSG00000145623_QUAD	ENSG00000137801_QUAD	ENSG00000145623_QUAD
4	1	0.023	ENSG00000163660_QUAD	ENSG00000145623_QUAD	ENSG00000163660_QUAD	ENSG00000145623_QUAD
5	1	0.267	ENSG00000144802_QUAD	ENSG00000145623_QUAD	ENSG00000144802_QUAD	ENSG00000145623_QUAD
6	1	0.895	ENSG00000100226_QUAD	ENSG00000145623_QUAD	ENSG00000100226_QUAD	ENSG00000145623_QUAD
7	1	0.009	ENSG00000134686_QUAD	ENSG00000145623_QUAD	ENSG00000134686_QUAD	ENSG00000145623_QUAD
8	1	0.017	ENSG00000111641_QUAD	ENSG00000145623_QUAD	ENSG00000111641_QUAD	ENSG00000145623_QUAD
9	1	0.004	ENSG00000148843_QUAD	ENSG00000145623_QUAD	ENSG00000148843_QUAD	ENSG00000145623_QUAD
10	1	0.002	ENSG00000141458_QUAD	ENSG00000145623_QUAD	ENSG00000141458_QUAD	ENSG00000145623_QUAD
11	1	0.013	ENSG00000054690_VH	ENSG00000145623_QUAD	ENSG00000054690_VH	ENSG00000145623_QUAD
12	1	0.001	ENSG00000204655_VH	ENSG00000145623_QUAD	ENSG00000204655_VH	ENSG00000145623_QUAD
13	1	0.011	ENSG00000101049_VH	ENSG00000145623_QUAD	ENSG00000101049_VH	ENSG00000145623_QUAD
14	1	0.005	ENSG00000118322_VH	ENSG00000145623_QUAD	ENSG00000118322_VH	ENSG00000145623_QUAD
15	1	0.015	ENSG00000026652_VH	ENSG00000145623_QUAD	ENSG00000026652_VH	ENSG00000145623_QUAD
16	1	0.012	ENSG00000075426_VH	ENSG00000145623_QUAD	ENSG00000075426_VH	ENSG00000145623_QUAD
17	1	0.002	ENSG00000145623_VH	ENSG00000145623_QUAD	ENSG00000145623_VH	ENSG00000145623_QUAD
18	1	0.037	ENSG00000060138_VH	ENSG00000145623_QUAD	ENSG00000060138_VH	ENSG00000145623_QUAD
