source_id	target_id	frequency	source_name	target_name	source_raw	target_raw
2	1	0.446	ENSG00000114948_VH	ENSG00000196876_VH	ENSG00000114948_VH	ENSG00000196876_VH
3	1	0.653	ENSG00000132932_VH	ENSG00000196876_VH	ENSG00000132932_VH	ENSG00000196876_VH
4	1	0.068	ENSG00000163618_VH	ENSG00000196876_VH	ENSG00000163618_VH	ENSG00000196876_VH
5	1	0.013	ENSG00000065609_VH	ENSG00000196876_VH	ENSG00000065609_VH	ENSG00000196876_VH
6	1	0.152	ENSG00000184368_VH	ENSG00000196876_VH	ENSG00000184368_VH	ENSG00000196876_VH
7	1	0.007	ENSG00000104435_VH	ENSG00000196876_VH	ENSG00000104435_VH	ENSG00000196876_VH
8	1	0.03	ENSG00000078018_VH	ENSG00000196876_VH	ENSG00000078018_VH	ENSG00000196876_VH
9	1	0.021	ENSG00000152932_VH	ENSG00000196876_VH	ENSG00000152932_VH	ENSG00000196876_VH
10	1	0.016	ENSG00000002746_VH	ENSG00000196876_VH	ENSG00000002746_VH	ENSG00000196876_VH
11	1	0.001	ENSG00000181072_VH	ENSG00000196876_VH	ENSG00000181072_VH	ENSG00000196876_VH
12	1	0.299	ENSG00000157064_VH	ENSG00000196876_VH	ENSG00000157064_VH	ENSG00000196876_VH
13	1	0.024	ENSG00000145526_VH	ENSG00000196876_VH	ENSG00000145526_VH	ENSG00000196876_VH
14	1	0.003	ENSG00000172348_VH	ENSG00000196876_VH	ENSG00000172348_VH	ENSG00000196876_VH
15	1	0.003	ENSG00000068615_VH	ENSG00000196876_VH	ENSG00000068615_VH	ENSG00000196876_VH
16	1	0.011	ENSG00000168824_VH	ENSG00000196876_VH	ENSG00000168824_VH	ENSG00000196876_VH
17	1	0.005	ENSG00000139970_VH	ENSG00000196876_VH	ENSG00000139970_VH	ENSG00000196876_VH
18	1	0.009	ENSG00000146267_VH	ENSG00000196876_VH	ENSG00000146267_VH	ENSG00000196876_VH
19	1	0.043	ENSG00000286214_VH	ENSG00000196876_VH	ENSG00000286214_VH	ENSG00000196876_VH
20	1	0.614	ENSG00000122012_VH	ENSG00000196876_VH	ENSG00000122012_VH	ENSG00000196876_VH
1	2	0.442	ENSG00000196876_VH	ENSG00000114948_VH	ENSG00000196876_VH	ENSG00000114948_VH
