source_id	target_id	frequency	source_name	target_name	source_raw	target_raw
2	1	0.004	ENSG00000116406_VH	ENSG00000113384_VH	ENSG00000116406_VH	ENSG00000113384_VH
3	1	0.633	ENSG00000186063_VH	ENSG00000113384_VH	ENSG00000186063_VH	ENSG00000113384_VH
4	1	0.306	ENSG00000145907_VH	ENSG00000113384_VH	ENSG00000145907_VH	ENSG00000113384_VH
5	1	0.001	ENSG00000161813_VH	ENSG00000113384_VH	ENSG00000161813_VH	ENSG00000113384_VH
6	1	0.017	ENSG00000121579_VH	ENSG00000113384_VH	ENSG00000121579_VH	ENSG00000113384_VH
7	1	0.024	ENSG00000153989_VH	ENSG00000113384_VH	ENSG00000153989_VH	ENSG00000113384_VH
8	1	0.911	ENSG00000146676_VH	ENSG00000113384_VH	ENSG00000146676_VH	ENSG00000113384_VH
10	1	0.024	ENSG00000152601_VH	ENSG00000113384_VH	ENSG00000152601_VH	ENSG00000113384_VH
12	1	0.661	ENSG00000137575_VH	ENSG00000113384_VH	ENSG00000137575_VH	ENSG00000113384_VH
14	1	0.01	ENSG00000151151_VH	ENSG00000113384_VH	ENSG00000151151_VH	ENSG00000113384_VH
15	1	0.022	ENSG00000114978_VH	ENSG00000113384_VH	ENSG00000114978_VH	ENSG00000113384_VH
16	1	0.005	ENSG00000109332_VH	ENSG00000113384_VH	ENSG00000109332_VH	ENSG00000113384_VH
17	1	0.283	ENSG00000117500_VH	ENSG00000113384_VH	ENSG00000117500_VH	ENSG00000113384_VH
19	1	0.004	ENSG00000139977_VH	ENSG00000113384_VH	ENSG00000139977_VH	ENSG00000113384_VH
20	1	0.032	ENSG00000008405_VH	ENSG00000113384_VH	ENSG00000008405_VH	ENSG00000113384_VH
3	2	0.013	ENSG00000186063_VH	ENSG00000116406_VH	ENSG00000186063_VH	ENSG00000116406_VH
4	2	0.004	ENSG00000145907_VH	ENSG00000116406_VH	ENSG00000145907_VH	ENSG00000116406_VH
5	2	0.003	ENSG00000161813_VH	ENSG00000116406_VH	ENSG00000161813_VH	ENSG00000116406_VH
6	2	0.04	ENSG00000121579_VH	ENSG00000116406_VH	ENSG00000121579_VH	ENSG00000116406_VH
7	2	0.042	ENSG00000153989_VH	ENSG00000116406_VH	ENSG00000153989_VH	ENSG00000116406_VH
8	2	0.924	ENSG00000146676_VH	ENSG00000116406_VH	ENSG00000146676_VH	ENSG00000116406_VH
9	2	0.017	ENSG00000121892_VH	ENSG00000116406_VH	ENSG00000121892_VH	ENSG00000116406_VH
10	2	0.295	ENSG00000152601_VH	ENSG00000116406_VH	ENSG00000152601_VH	ENSG00000116406_VH
12	2	0.298	ENSG00000137575_VH	ENSG00000116406_VH	ENSG00000137575_VH	ENSG00000116406_VH
16	2	0.261	ENSG00000109332_VH	ENSG00000116406_VH	ENSG00000109332_VH	ENSG00000116406_VH
17	2	0.026	ENSG00000117500_VH	ENSG00000116406_VH	ENSG00000117500_VH	ENSG00000116406_VH
18	2	0.906	ENSG00000108256_VH	ENSG00000116406_VH	ENSG00000108256_VH	ENSG00000116406_VH
19	2	0.001	ENSG00000139977_VH	ENSG00000116406_VH	ENSG00000139977_VH	ENSG00000116406_VH
20	2	0.007	ENSG00000008405_VH	ENSG00000116406_VH	ENSG00000008405_VH	ENSG00000116406_VH
1	3	0.152	ENSG00000113384_VH	ENSG00000186063_VH	ENSG00000113384_VH	ENSG00000186063_VH
4	3	0.001	ENSG00000145907_VH	ENSG00000186063_VH	ENSG00000145907_VH	ENSG00000186063_VH
5	3	0.093	ENSG00000161813_VH	ENSG00000186063_VH	ENSG00000161813_VH	ENSG00000186063_VH
6	3	0.917	ENSG00000121579_VH	ENSG00000186063_VH	ENSG00000121579_VH	ENSG00000186063_VH
8	3	0.015	ENSG00000146676_VH	ENSG00000186063_VH	ENSG00000146676_VH	ENSG00000186063_VH
9	3	0.003	ENSG00000121892_VH	ENSG00000186063_VH	ENSG00000121892_VH	ENSG00000186063_VH
10	3	0.828	ENSG00000152601_VH	ENSG00000186063_VH	ENSG00000152601_VH	ENSG00000186063_VH
11	3	0.026	ENSG00000151135_VH	ENSG00000186063_VH	ENSG00000151135_VH	ENSG00000186063_VH
12	3	0.036	ENSG00000137575_VH	ENSG00000186063_VH	ENSG00000137575_VH	ENSG00000186063_VH
13	3	0.585	ENSG00000153879_VH	ENSG00000186063_VH	ENSG00000153879_VH	ENSG00000186063_VH
15	3	0.007	ENSG00000114978_VH	ENSG00000186063_VH	ENSG00000114978_VH	ENSG00000186063_VH
16	3	0.004	ENSG00000109332_VH	ENSG00000186063_VH	ENSG00000109332_VH	ENSG00000186063_VH
17	3	0.102	ENSG00000117500_VH	ENSG00000186063_VH	ENSG00000117500_VH	ENSG00000186063_VH
18	3	0.005	ENSG00000108256_VH	ENSG00000186063_VH	ENSG00000108256_VH	ENSG00000186063_VH
19	3	0.02	ENSG00000139977_VH	ENSG00000186063_VH	ENSG00000139977_VH	ENSG00000186063_VH
20	3	0.005	ENSG00000008405_VH	ENSG00000186063_VH	ENSG00000008405_VH	ENSG00000186063_VH
1	4	0.311	ENSG00000113384_VH	ENSG00000145907_VH	ENSG00000113384_VH	ENSG00000145907_VH
2	4	0.016	ENSG00000116406_VH	ENSG00000145907_VH	ENSG00000116406_VH	ENSG00000145907_VH
3	4	0.001	ENSG00000186063_VH	ENSG00000145907_VH	ENSG00000186063_VH	ENSG00000145907_VH
5	4	0.819	ENSG00000161813_VH	ENSG00000145907_VH	ENSG00000161813_VH	ENSG00000145907_VH
6	4	0.005	ENSG00000121579_VH	ENSG00000145907_VH	ENSG00000121579_VH	ENSG00000145907_VH
7	4	0.073	ENSG00000153989_VH	ENSG00000145907_VH	ENSG00000153989_VH	ENSG00000145907_VH
8	4	0.376	ENSG00000146676_VH	ENSG00000145907_VH	ENSG00000146676_VH	ENSG00000145907_VH
9	4	0.001	ENSG00000121892_VH	ENSG00000145907_VH	ENSG00000121892_VH	ENSG00000145907_VH
