node_id	raw_name	pretty_name	is_phenotype
1	ENSG00000113384_VH	ENSG00000113384_VH	0
2	ENSG00000116406_VH	ENSG00000116406_VH	0
3	ENSG00000186063_VH	ENSG00000186063_VH	0
4	ENSG00000145907_VH	ENSG00000145907_VH	0
5	ENSG00000161813_VH	ENSG00000161813_VH	0
6	ENSG00000121579_VH	ENSG00000121579_VH	0
7	ENSG00000153989_VH	ENSG00000153989_VH	0
8	ENSG00000146676_VH	ENSG00000146676_VH	0
9	ENSG00000121892_VH	ENSG00000121892_VH	0
10	ENSG00000152601_VH	ENSG00000152601_VH	0
11	ENSG00000151135_VH	ENSG00000151135_VH	0
12	ENSG00000137575_VH	ENSG00000137575_VH	0
13	ENSG00000153879_VH	ENSG00000153879_VH	0
14	ENSG00000151151_VH	ENSG00000151151_VH	0
15	ENSG00000114978_VH	ENSG00000114978_VH	0
16	ENSG00000109332_VH	ENSG00000109332_VH	0
17	ENSG00000117500_VH	ENSG00000117500_VH	0
18	ENSG00000108256_VH	ENSG00000108256_VH	0
19	ENSG00000139977_VH	ENSG00000139977_VH	0
20	ENSG00000008405_VH	ENSG00000008405_VH	0
21	PHENO_cogn_global	PHENO_cogn_global	1
