source_id	target_id	frequency	source_name	target_name	source_raw	target_raw
2	1	0.004	ENSG00000184007_QUAD	ENSG00000112406_QUAD	ENSG00000184007_QUAD	ENSG00000112406_QUAD
3	1	0.707	ENSG00000100811_QUAD	ENSG00000112406_QUAD	ENSG00000100811_QUAD	ENSG00000112406_QUAD
5	1	0.05	ENSG00000176407_QUAD	ENSG00000112406_QUAD	ENSG00000176407_QUAD	ENSG00000112406_QUAD
6	1	0.872	ENSG00000100441_QUAD	ENSG00000112406_QUAD	ENSG00000100441_QUAD	ENSG00000112406_QUAD
7	1	0.017	ENSG00000100612_QUAD	ENSG00000112406_QUAD	ENSG00000100612_QUAD	ENSG00000112406_QUAD
8	1	0.002	ENSG00000141034_QUAD	ENSG00000112406_QUAD	ENSG00000141034_QUAD	ENSG00000112406_QUAD
9	1	0.06	ENSG00000132155_QUAD	ENSG00000112406_QUAD	ENSG00000132155_QUAD	ENSG00000112406_QUAD
10	1	0.007	ENSG00000164543_QUAD	ENSG00000112406_QUAD	ENSG00000164543_QUAD	ENSG00000112406_QUAD
11	1	0.02	ENSG00000116199_QUAD	ENSG00000112406_QUAD	ENSG00000116199_QUAD	ENSG00000112406_QUAD
12	1	0.007	ENSG00000140265_QUAD	ENSG00000112406_QUAD	ENSG00000140265_QUAD	ENSG00000112406_QUAD
13	1	0.866	ENSG00000163320_QUAD	ENSG00000112406_QUAD	ENSG00000163320_QUAD	ENSG00000112406_QUAD
15	1	0.058	ENSG00000164576_QUAD	ENSG00000112406_QUAD	ENSG00000164576_QUAD	ENSG00000112406_QUAD
16	1	0.038	ENSG00000110851_QUAD	ENSG00000112406_QUAD	ENSG00000110851_QUAD	ENSG00000112406_QUAD
17	1	0.002	ENSG00000064419_QUAD	ENSG00000112406_QUAD	ENSG00000064419_QUAD	ENSG00000112406_QUAD
18	1	0.005	ENSG00000070367_QUAD	ENSG00000112406_QUAD	ENSG00000070367_QUAD	ENSG00000112406_QUAD
19	1	0.001	ENSG00000101084_QUAD	ENSG00000112406_QUAD	ENSG00000101084_QUAD	ENSG00000112406_QUAD
20	1	0.006	ENSG00000146676_QUAD	ENSG00000112406_QUAD	ENSG00000146676_QUAD	ENSG00000112406_QUAD
1	2	0.012	ENSG00000112406_QUAD	ENSG00000184007_QUAD	ENSG00000112406_QUAD	ENSG00000184007_QUAD
3	2	0.035	ENSG00000100811_QUAD	ENSG00000184007_QUAD	ENSG00000100811_QUAD	ENSG00000184007_QUAD
4	2	0.269	ENSG00000143321_QUAD	ENSG00000184007_QUAD	ENSG00000143321_QUAD	ENSG00000184007_QUAD
5	2	0.611	ENSG00000176407_QUAD	ENSG00000184007_QUAD	ENSG00000176407_QUAD	ENSG00000184007_QUAD
6	2	0.008	ENSG00000100441_QUAD	ENSG00000184007_QUAD	ENSG00000100441_QUAD	ENSG00000184007_QUAD
7	2	0.103	ENSG00000100612_QUAD	ENSG00000184007_QUAD	ENSG00000100612_QUAD	ENSG00000184007_QUAD
8	2	0.014	ENSG00000141034_QUAD	ENSG00000184007_QUAD	ENSG00000141034_QUAD	ENSG00000184007_QUAD
9	2	0.01	ENSG00000132155_QUAD	ENSG00000184007_QUAD	ENSG00000132155_QUAD	ENSG00000184007_QUAD
