gene_id	tissue	gene_tissue	kME	abs_kME	kME_pval
ENSG00000178662	SMA	ENSG00000178662_SMA	0.9702214781824301	0.9702214781824301	5.2363918125779945e-225
ENSG00000146267	SMA	ENSG00000146267_SMA	0.9643251536496038	0.9643251536496038	4.865595947579767e-211
ENSG00000159082	SMA	ENSG00000159082_SMA	0.9640560520544289	0.9640560520544289	1.8501649942385027e-210
ENSG00000166206	SMA	ENSG00000166206_SMA	0.9582413158605618	0.9582413158605618	6.662855178366911e-199
ENSG00000008086	SMA	ENSG00000008086_SMA	0.9576675668136778	0.9576675668136778	7.474246837629959e-198
ENSG00000183023	SMA	ENSG00000183023_SMA	0.9572617624323008	0.9572617624323008	4.049538264109381e-197
ENSG00000109339	SMA	ENSG00000109339_SMA	0.953879074315342	0.953879074315342	2.888654558999538e-191
ENSG00000145087	SMA	ENSG00000145087_SMA	0.9534205224242982	0.9534205224242982	1.660110697568892e-190
ENSG00000177570	SMA	ENSG00000177570_SMA	0.9533512321464845	0.9533512321464845	2.1588731375582572e-190
ENSG00000175175	SMA	ENSG00000175175_SMA	0.9513563247540568	0.9513563247540568	3.519763626616604e-187
ENSG00000145362	SMA	ENSG00000145362_SMA	0.9509683805229047	0.9509683805229047	1.4304889088849524e-186
ENSG00000196876	SMA	ENSG00000196876_SMA	0.9499905327709616	0.9499905327709616	4.664166066297741e-185
ENSG00000186479	SMA	ENSG00000186479_SMA	0.9495849952789907	0.9495849952789907	1.9385700428166186e-184
ENSG00000183775	SMA	ENSG00000183775_SMA	0.9464428061481397	0.9464428061481397	8.218927783604858e-180
ENSG00000138311	SMA	ENSG00000138311_SMA	0.9442064322803148	0.9442064322803148	1.0994410664853836e-176
ENSG00000102468	SMA	ENSG00000102468_SMA	0.9434790085175807	0.9434790085175807	1.0723307475167054e-175
ENSG00000149970	SMA	ENSG00000149970_SMA	0.9423247458706432	0.9423247458706432	3.743613736799607e-174
ENSG00000078018	SMA	ENSG00000078018_SMA	0.9422972071737997	0.9422972071737997	4.071115927823626e-174
ENSG00000184672	SMA	ENSG00000184672_SMA	0.9412851671826054	0.9412851671826054	8.628555931836517e-173
ENSG00000134343	SMA	ENSG00000134343_SMA	0.9411003041410602	0.9411003041410602	1.4984506956976697e-172
