source_id	target_id	frequency	source_name	target_name	source_raw	target_raw
2	1	0.945	ENSG00000172379_VH	ENSG00000100330_VH	ENSG00000172379_VH	ENSG00000100330_VH
3	1	0.001	ENSG00000126016_VH	ENSG00000100330_VH	ENSG00000126016_VH	ENSG00000100330_VH
4	1	0.078	ENSG00000171444_VH	ENSG00000100330_VH	ENSG00000171444_VH	ENSG00000100330_VH
5	1	0.038	ENSG00000186951_VH	ENSG00000100330_VH	ENSG00000186951_VH	ENSG00000100330_VH
6	1	0.037	ENSG00000078549_VH	ENSG00000100330_VH	ENSG00000078549_VH	ENSG00000100330_VH
7	1	0.002	ENSG00000171475_VH	ENSG00000100330_VH	ENSG00000171475_VH	ENSG00000100330_VH
9	1	0.005	ENSG00000174306_VH	ENSG00000100330_VH	ENSG00000174306_VH	ENSG00000100330_VH
10	1	0.005	ENSG00000240184_VH	ENSG00000100330_VH	ENSG00000240184_VH	ENSG00000100330_VH
11	1	0.949	ENSG00000134250_VH	ENSG00000100330_VH	ENSG00000134250_VH	ENSG00000100330_VH
12	1	0.37	ENSG00000136485_VH	ENSG00000100330_VH	ENSG00000136485_VH	ENSG00000100330_VH
13	1	0.011	ENSG00000174099_VH	ENSG00000100330_VH	ENSG00000174099_VH	ENSG00000100330_VH
14	1	0.004	ENSG00000184602_VH	ENSG00000100330_VH	ENSG00000184602_VH	ENSG00000100330_VH
16	1	0.001	ENSG00000171408_VH	ENSG00000100330_VH	ENSG00000171408_VH	ENSG00000100330_VH
17	1	0.179	ENSG00000133065_VH	ENSG00000100330_VH	ENSG00000133065_VH	ENSG00000100330_VH
19	1	0.235	ENSG00000170989_VH	ENSG00000100330_VH	ENSG00000170989_VH	ENSG00000100330_VH
20	1	0.004	ENSG00000221932_VH	ENSG00000100330_VH	ENSG00000221932_VH	ENSG00000100330_VH
1	2	0.054	ENSG00000100330_VH	ENSG00000172379_VH	ENSG00000100330_VH	ENSG00000172379_VH
3	2	0.006	ENSG00000126016_VH	ENSG00000172379_VH	ENSG00000126016_VH	ENSG00000172379_VH
4	2	0.007	ENSG00000171444_VH	ENSG00000172379_VH	ENSG00000171444_VH	ENSG00000172379_VH
