gene_id	tissue	gene_tissue	kME	abs_kME	kME_pval
ENSG00000100330	VH	ENSG00000100330_VH	-0.9591076768160609	0.9591076768160609	1.6219262067168086e-200
ENSG00000172379	VH	ENSG00000172379_VH	-0.9529289843466306	0.9529289843466306	1.0610803617208305e-189
ENSG00000126016	VH	ENSG00000126016_VH	-0.9373584413861924	0.9373584413861924	7.367908920851083e-168
ENSG00000171444	VH	ENSG00000171444_VH	-0.929858981372419	0.929858981372419	2.8494152736158457e-159
ENSG00000186951	VH	ENSG00000186951_VH	-0.9284583044055192	0.9284583044055192	8.96621216877601e-158
ENSG00000078549	VH	ENSG00000078549_VH	-0.9281229115466596	0.9281229115466596	2.026508196045783e-157
ENSG00000171475	VH	ENSG00000171475_VH	-0.9273073632982901	0.9273073632982901	1.4479774982885786e-156
ENSG00000153944	VH	ENSG00000153944_VH	-0.9256609839979336	0.9256609839979336	7.158574018519303e-155
ENSG00000174306	VH	ENSG00000174306_VH	-0.9243279679301573	0.9243279679301573	1.577898417906557e-153
ENSG00000240184	VH	ENSG00000240184_VH	-0.9240610470614413	0.9240610470614413	2.911294117811611e-153
ENSG00000134250	VH	ENSG00000134250_VH	-0.9238526383956399	0.9238526383956399	4.6892641188650387e-153
ENSG00000136485	VH	ENSG00000136485_VH	-0.9233600204200026	0.9233600204200026	1.439124511650953e-152
ENSG00000174099	VH	ENSG00000174099_VH	-0.9202671861872811	0.9202671861872811	1.3897302276772024e-149
ENSG00000184602	VH	ENSG00000184602_VH	-0.9184384996271466	0.9184384996271466	7.102374922971252e-148
ENSG00000164976	VH	ENSG00000164976_VH	-0.9181999555266381	0.9181999555266381	1.1784446115511587e-147
ENSG00000171408	VH	ENSG00000171408_VH	-0.9162603108630298	0.9162603108630298	6.837193887834327e-146
ENSG00000133065	VH	ENSG00000133065_VH	-0.915037108073684	0.915037108073684	8.417604072614836e-145
ENSG00000131381	VH	ENSG00000131381_VH	-0.9143576427971616	0.9143576427971616	3.3400406041640237e-144
ENSG00000170989	VH	ENSG00000170989_VH	-0.9137329002296317	0.9137329002296317	1.1741707335804044e-143
ENSG00000221932	VH	ENSG00000221932_VH	-0.9128197088965793	0.9128197088965793	7.250671525730557e-143
