node_id	raw_name	pretty_name	is_phenotype
1	ENSG00000100330_VH	ENSG00000100330_VH	0
2	ENSG00000172379_VH	ENSG00000172379_VH	0
3	ENSG00000126016_VH	ENSG00000126016_VH	0
4	ENSG00000171444_VH	ENSG00000171444_VH	0
5	ENSG00000186951_VH	ENSG00000186951_VH	0
6	ENSG00000078549_VH	ENSG00000078549_VH	0
7	ENSG00000171475_VH	ENSG00000171475_VH	0
8	ENSG00000153944_VH	ENSG00000153944_VH	0
9	ENSG00000174306_VH	ENSG00000174306_VH	0
10	ENSG00000240184_VH	ENSG00000240184_VH	0
11	ENSG00000134250_VH	ENSG00000134250_VH	0
12	ENSG00000136485_VH	ENSG00000136485_VH	0
13	ENSG00000174099_VH	ENSG00000174099_VH	0
14	ENSG00000184602_VH	ENSG00000184602_VH	0
15	ENSG00000164976_VH	ENSG00000164976_VH	0
16	ENSG00000171408_VH	ENSG00000171408_VH	0
17	ENSG00000133065_VH	ENSG00000133065_VH	0
18	ENSG00000131381_VH	ENSG00000131381_VH	0
19	ENSG00000170989_VH	ENSG00000170989_VH	0
20	ENSG00000221932_VH	ENSG00000221932_VH	0
21	PHENO_sqrt_parksc_demog_slope	PHENO_sqrt_parksc_demog_slope	1
