source_id	target_id	frequency	source_name	target_name	source_raw	target_raw
2	1	0.034	ENSG00000161203_SMA	ENSG00000128739_SMA	ENSG00000161203_SMA	ENSG00000128739_SMA
3	1	0.049	ENSG00000100138_SMA	ENSG00000128739_SMA	ENSG00000100138_SMA	ENSG00000128739_SMA
4	1	0.001	ENSG00000101474_SMA	ENSG00000128739_SMA	ENSG00000101474_SMA	ENSG00000128739_SMA
5	1	0.797	ENSG00000111669_SMA	ENSG00000128739_SMA	ENSG00000111669_SMA	ENSG00000128739_SMA
6	1	0.807	ENSG00000144834_SMA	ENSG00000128739_SMA	ENSG00000144834_SMA	ENSG00000128739_SMA
8	1	0.012	ENSG00000102003_SMA	ENSG00000128739_SMA	ENSG00000102003_SMA	ENSG00000128739_SMA
9	1	0.048	ENSG00000168000_SMA	ENSG00000128739_SMA	ENSG00000168000_SMA	ENSG00000128739_SMA
10	1	0.042	ENSG00000171314_SMA	ENSG00000128739_SMA	ENSG00000171314_SMA	ENSG00000128739_SMA
11	1	0.001	ENSG00000131473_SMA	ENSG00000128739_SMA	ENSG00000131473_SMA	ENSG00000128739_SMA
13	1	0.801	ENSG00000182013_SMA	ENSG00000128739_SMA	ENSG00000182013_SMA	ENSG00000128739_SMA
14	1	0.08	ENSG00000142686_SMA	ENSG00000128739_SMA	ENSG00000142686_SMA	ENSG00000128739_SMA
16	1	0.005	ENSG00000152556_SMA	ENSG00000128739_SMA	ENSG00000152556_SMA	ENSG00000128739_SMA
17	1	0.009	ENSG00000122705_SMA	ENSG00000128739_SMA	ENSG00000122705_SMA	ENSG00000128739_SMA
18	1	0.001	ENSG00000112514_SMA	ENSG00000128739_SMA	ENSG00000112514_SMA	ENSG00000128739_SMA
19	1	0.001	ENSG00000197043_SMA	ENSG00000128739_SMA	ENSG00000197043_SMA	ENSG00000128739_SMA
20	1	0.011	ENSG00000170091_SMA	ENSG00000128739_SMA	ENSG00000170091_SMA	ENSG00000128739_SMA
1	2	0.943	ENSG00000128739_SMA	ENSG00000161203_SMA	ENSG00000128739_SMA	ENSG00000161203_SMA
3	2	0.001	ENSG00000100138_SMA	ENSG00000161203_SMA	ENSG00000100138_SMA	ENSG00000161203_SMA
4	2	0.001	ENSG00000101474_SMA	ENSG00000161203_SMA	ENSG00000101474_SMA	ENSG00000161203_SMA
5	2	0.94	ENSG00000111669_SMA	ENSG00000161203_SMA	ENSG00000111669_SMA	ENSG00000161203_SMA
6	2	0.008	ENSG00000144834_SMA	ENSG00000161203_SMA	ENSG00000144834_SMA	ENSG00000161203_SMA
7	2	0.006	ENSG00000111674_SMA	ENSG00000161203_SMA	ENSG00000111674_SMA	ENSG00000161203_SMA
8	2	0.001	ENSG00000102003_SMA	ENSG00000161203_SMA	ENSG00000102003_SMA	ENSG00000161203_SMA
9	2	0.028	ENSG00000168000_SMA	ENSG00000161203_SMA	ENSG00000168000_SMA	ENSG00000161203_SMA
10	2	0.004	ENSG00000171314_SMA	ENSG00000161203_SMA	ENSG00000171314_SMA	ENSG00000161203_SMA
11	2	0.005	ENSG00000131473_SMA	ENSG00000161203_SMA	ENSG00000131473_SMA	ENSG00000161203_SMA
13	2	0.01	ENSG00000182013_SMA	ENSG00000161203_SMA	ENSG00000182013_SMA	ENSG00000161203_SMA
14	2	0.009	ENSG00000142686_SMA	ENSG00000161203_SMA	ENSG00000142686_SMA	ENSG00000161203_SMA
15	2	0.001	ENSG00000101365_SMA	ENSG00000161203_SMA	ENSG00000101365_SMA	ENSG00000161203_SMA
16	2	0.006	ENSG00000152556_SMA	ENSG00000161203_SMA	ENSG00000152556_SMA	ENSG00000161203_SMA
18	2	0.001	ENSG00000112514_SMA	ENSG00000161203_SMA	ENSG00000112514_SMA	ENSG00000161203_SMA
19	2	0.965	ENSG00000197043_SMA	ENSG00000161203_SMA	ENSG00000197043_SMA	ENSG00000161203_SMA
20	2	0.001	ENSG00000170091_SMA	ENSG00000161203_SMA	ENSG00000170091_SMA	ENSG00000161203_SMA
1	3	0.005	ENSG00000128739_SMA	ENSG00000100138_SMA	ENSG00000128739_SMA	ENSG00000100138_SMA
2	3	0.227	ENSG00000161203_SMA	ENSG00000100138_SMA	ENSG00000161203_SMA	ENSG00000100138_SMA
4	3	0.016	ENSG00000101474_SMA	ENSG00000100138_SMA	ENSG00000101474_SMA	ENSG00000100138_SMA
5	3	0.395	ENSG00000111669_SMA	ENSG00000100138_SMA	ENSG00000111669_SMA	ENSG00000100138_SMA
6	3	0.109	ENSG00000144834_SMA	ENSG00000100138_SMA	ENSG00000144834_SMA	ENSG00000100138_SMA
7	3	0.513	ENSG00000111674_SMA	ENSG00000100138_SMA	ENSG00000111674_SMA	ENSG00000100138_SMA
8	3	0.004	ENSG00000102003_SMA	ENSG00000100138_SMA	ENSG00000102003_SMA	ENSG00000100138_SMA
9	3	0.102	ENSG00000168000_SMA	ENSG00000100138_SMA	ENSG00000168000_SMA	ENSG00000100138_SMA
10	3	0.734	ENSG00000171314_SMA	ENSG00000100138_SMA	ENSG00000171314_SMA	ENSG00000100138_SMA
11	3	0.007	ENSG00000131473_SMA	ENSG00000100138_SMA	ENSG00000131473_SMA	ENSG00000100138_SMA
13	3	0.014	ENSG00000182013_SMA	ENSG00000100138_SMA	ENSG00000182013_SMA	ENSG00000100138_SMA
14	3	0.01	ENSG00000142686_SMA	ENSG00000100138_SMA	ENSG00000142686_SMA	ENSG00000100138_SMA
15	3	0.004	ENSG00000101365_SMA	ENSG00000100138_SMA	ENSG00000101365_SMA	ENSG00000100138_SMA
