node_id	raw_name	pretty_name	is_phenotype
1	ENSG00000168807_VH	ENSG00000168807_VH	0
2	ENSG00000075420_VH	ENSG00000075420_VH	0
3	ENSG00000137393_VH	ENSG00000137393_VH	0
4	ENSG00000133789_VH	ENSG00000133789_VH	0
5	ENSG00000166446_VH	ENSG00000166446_VH	0
6	ENSG00000065882_VH	ENSG00000065882_VH	0
7	ENSG00000037749_VH	ENSG00000037749_VH	0
8	ENSG00000137693_VH	ENSG00000137693_VH	0
9	ENSG00000120889_VH	ENSG00000120889_VH	0
10	ENSG00000083168_VH	ENSG00000083168_VH	0
11	ENSG00000120833_VH	ENSG00000120833_VH	0
12	ENSG00000177425_VH	ENSG00000177425_VH	0
13	ENSG00000155508_VH	ENSG00000155508_VH	0
14	ENSG00000065308_VH	ENSG00000065308_VH	0
15	ENSG00000102755_VH	ENSG00000102755_VH	0
16	ENSG00000111145_VH	ENSG00000111145_VH	0
17	ENSG00000162618_VH	ENSG00000162618_VH	0
18	ENSG00000239264_VH	ENSG00000239264_VH	0
19	ENSG00000135917_VH	ENSG00000135917_VH	0
20	ENSG00000157557_VH	ENSG00000157557_VH	0
21	PHENO_cogng_demog_slope	PHENO_cogng_demog_slope	1
