source_id	target_id	frequency	source_name	target_name	source_raw	target_raw
2	1	0.017	M1132	M1080	ME_M1132	ME_M1080
3	1	0.067	M1135	M1080	ME_M1135	ME_M1080
4	1	0.003	M1157	M1080	ME_M1157	ME_M1080
5	1	0.292	M1159	M1080	ME_M1159	ME_M1080
6	1	0.589	M1160	M1080	ME_M1160	ME_M1080
7	1	0.024	M1220	M1080	ME_M1220	ME_M1080
8	1	0.024	M147	M1080	ME_M147	ME_M1080
9	1	0.09	M148	M1080	ME_M148	ME_M1080
10	1	0.009	M151	M1080	ME_M151	ME_M1080
11	1	0.004	M154	M1080	ME_M154	ME_M1080
12	1	0.013	M1599	M1080	ME_M1599	ME_M1080
13	1	0.013	M163	M1080	ME_M163	ME_M1080
14	1	0.037	M167	M1080	ME_M167	ME_M1080
15	1	0.026	M1753	M1080	ME_M1753	ME_M1080
16	1	0.024	M1755	M1080	ME_M1755	ME_M1080
17	1	0.675	M1762	M1080	ME_M1762	ME_M1080
18	1	0.048	M1770	M1080	ME_M1770	ME_M1080
20	1	0.008	M1970	M1080	ME_M1970	ME_M1080
21	1	0.009	M1974	M1080	ME_M1974	ME_M1080
23	1	0.002	M1989	M1080	ME_M1989	ME_M1080
24	1	0.016	M2044	M1080	ME_M2044	ME_M1080
25	1	0.525	M2046	M1080	ME_M2046	ME_M1080
26	1	0.013	M2048	M1080	ME_M2048	ME_M1080
28	1	0.001	M30	M1080	ME_M30	ME_M1080
29	1	0.018	M423	M1080	ME_M423	ME_M1080
30	1	0.006	M427	M1080	ME_M427	ME_M1080
31	1	0.053	M430	M1080	ME_M430	ME_M1080
32	1	0.19	M449	M1080	ME_M449	ME_M1080
33	1	0.007	M504	M1080	ME_M504	ME_M1080
34	1	0.011	M506	M1080	ME_M506	ME_M1080
35	1	0.006	M509	M1080	ME_M509	ME_M1080
36	1	0.011	M511	M1080	ME_M511	ME_M1080
37	1	0.01	M56	M1080	ME_M56	ME_M1080
38	1	0.005	M6	M1080	ME_M6	ME_M1080
39	1	0.003	M67	M1080	ME_M67	ME_M1080
40	1	0.004	M786	M1080	ME_M786	ME_M1080
1	2	0.01	M1080	M1132	ME_M1080	ME_M1132
3	2	0.175	M1135	M1132	ME_M1135	ME_M1132
4	2	0.142	M1157	M1132	ME_M1157	ME_M1132
5	2	0.08	M1159	M1132	ME_M1159	ME_M1132
6	2	0.063	M1160	M1132	ME_M1160	ME_M1132
7	2	0.014	M1220	M1132	ME_M1220	ME_M1132
8	2	0.017	M147	M1132	ME_M147	ME_M1132
9	2	0.005	M148	M1132	ME_M148	ME_M1132
10	2	0.002	M151	M1132	ME_M151	ME_M1132
12	2	0.024	M1599	M1132	ME_M1599	ME_M1132
13	2	0.005	M163	M1132	ME_M163	ME_M1132
14	2	0.012	M167	M1132	ME_M167	ME_M1132
15	2	0.012	M1753	M1132	ME_M1753	ME_M1132
16	2	0.005	M1755	M1132	ME_M1755	ME_M1132
17	2	0.011	M1762	M1132	ME_M1762	ME_M1132
18	2	0.058	M1770	M1132	ME_M1770	ME_M1132
19	2	0.001	M1779	M1132	ME_M1779	ME_M1132
20	2	0.008	M1970	M1132	ME_M1970	ME_M1132
21	2	0.538	M1974	M1132	ME_M1974	ME_M1132
22	2	0.002	M1987	M1132	ME_M1987	ME_M1132
23	2	0.004	M1989	M1132	ME_M1989	ME_M1132
24	2	0.008	M2044	M1132	ME_M2044	ME_M1132
25	2	0.417	M2046	M1132	ME_M2046	ME_M1132
26	2	0.065	M2048	M1132	ME_M2048	ME_M1132
28	2	0.007	M30	M1132	ME_M30	ME_M1132
29	2	0.148	M423	M1132	ME_M423	ME_M1132
30	2	0.136	M427	M1132	ME_M427	ME_M1132
31	2	0.032	M430	M1132	ME_M430	ME_M1132
32	2	0.02	M449	M1132	ME_M449	ME_M1132
33	2	0.072	M504	M1132	ME_M504	ME_M1132
34	2	0.497	M506	M1132	ME_M506	ME_M1132
35	2	0.076	M509	M1132	ME_M509	ME_M1132
36	2	0.019	M511	M1132	ME_M511	ME_M1132
37	2	0.014	M56	M1132	ME_M56	ME_M1132
38	2	0.018	M6	M1132	ME_M6	ME_M1132
39	2	0.001	M67	M1132	ME_M67	ME_M1132
40	2	0.098	M786	M1132	ME_M786	ME_M1132
1	3	0.019	M1080	M1135	ME_M1080	ME_M1135
2	3	0.812	M1132	M1135	ME_M1132	ME_M1135
4	3	0.02	M1157	M1135	ME_M1157	ME_M1135
5	3	0.251	M1159	M1135	ME_M1159	ME_M1135
6	3	0.586	M1160	M1135	ME_M1160	ME_M1135
7	3	0.033	M1220	M1135	ME_M1220	ME_M1135
8	3	0.048	M147	M1135	ME_M147	ME_M1135
9	3	0.018	M148	M1135	ME_M148	ME_M1135
10	3	0.001	M151	M1135	ME_M151	ME_M1135
11	3	0.001	M154	M1135	ME_M154	ME_M1135
12	3	0.007	M1599	M1135	ME_M1599	ME_M1135
13	3	0.01	M163	M1135	ME_M163	ME_M1135
14	3	0.019	M167	M1135	ME_M167	ME_M1135
15	3	0.004	M1753	M1135	ME_M1753	ME_M1135
16	3	0.012	M1755	M1135	ME_M1755	ME_M1135
17	3	0.018	M1762	M1135	ME_M1762	ME_M1135
18	3	0.021	M1770	M1135	ME_M1770	ME_M1135
20	3	0.011	M1970	M1135	ME_M1970	ME_M1135
21	3	0.255	M1974	M1135	ME_M1974	ME_M1135
22	3	0.001	M1987	M1135	ME_M1987	ME_M1135
24	3	0.005	M2044	M1135	ME_M2044	ME_M1135
25	3	0.033	M2046	M1135	ME_M2046	ME_M1135
26	3	0.404	M2048	M1135	ME_M2048	ME_M1135
28	3	0.02	M30	M1135	ME_M30	ME_M1135
29	3	0.006	M423	M1135	ME_M423	ME_M1135
30	3	0.016	M427	M1135	ME_M427	ME_M1135
31	3	0.028	M430	M1135	ME_M430	ME_M1135
32	3	0.017	M449	M1135	ME_M449	ME_M1135
33	3	0.005	M504	M1135	ME_M504	ME_M1135
34	3	0.025	M506	M1135	ME_M506	ME_M1135
35	3	0.058	M509	M1135	ME_M509	ME_M1135
36	3	0.011	M511	M1135	ME_M511	ME_M1135
37	3	0.007	M56	M1135	ME_M56	ME_M1135
38	3	0.014	M6	M1135	ME_M6	ME_M1135
40	3	0.009	M786	M1135	ME_M786	ME_M1135
1	4	0.014	M1080	M1157	ME_M1080	ME_M1157
2	4	0.03	M1132	M1157	ME_M1132	ME_M1157
3	4	0.058	M1135	M1157	ME_M1135	ME_M1157
5	4	0.1	M1159	M1157	ME_M1159	ME_M1157
6	4	0.11	M1160	M1157	ME_M1160	ME_M1157
7	4	0.061	M1220	M1157	ME_M1220	ME_M1157
8	4	0.075	M147	M1157	ME_M147	ME_M1157
9	4	0.064	M148	M1157	ME_M148	ME_M1157
10	4	0.001	M151	M1157	ME_M151	ME_M1157
11	4	0.004	M154	M1157	ME_M154	ME_M1157
12	4	0.218	M1599	M1157	ME_M1599	ME_M1157
13	4	0.166	M163	M1157	ME_M163	ME_M1157
14	4	0.287	M167	M1157	ME_M167	ME_M1157
15	4	0.019	M1753	M1157	ME_M1753	ME_M1157
16	4	0.007	M1755	M1157	ME_M1755	ME_M1157
17	4	0.008	M1762	M1157	ME_M1762	ME_M1157
18	4	0.389	M1770	M1157	ME_M1770	ME_M1157
20	4	0.002	M1970	M1157	ME_M1970	ME_M1157
21	4	0.006	M1974	M1157	ME_M1974	ME_M1157
22	4	0.001	M1987	M1157	ME_M1987	ME_M1157
23	4	0.001	M1989	M1157	ME_M1989	ME_M1157
24	4	0.006	M2044	M1157	ME_M2044	ME_M1157
25	4	0.004	M2046	M1157	ME_M2046	ME_M1157
26	4	0.005	M2048	M1157	ME_M2048	ME_M1157
27	4	0.003	M24	M1157	ME_M24	ME_M1157
28	4	0.003	M30	M1157	ME_M30	ME_M1157
29	4	0.028	M423	M1157	ME_M423	ME_M1157
30	4	0.071	M427	M1157	ME_M427	ME_M1157
31	4	0.209	M430	M1157	ME_M430	ME_M1157
32	4	0.019	M449	M1157	ME_M449	ME_M1157
33	4	0.028	M504	M1157	ME_M504	ME_M1157
34	4	0.018	M506	M1157	ME_M506	ME_M1157
35	4	0.111	M509	M1157	ME_M509	ME_M1157
36	4	0.56	M511	M1157	ME_M511	ME_M1157
37	4	0.05	M56	M1157	ME_M56	ME_M1157
38	4	0.006	M6	M1157	ME_M6	ME_M1157
39	4	0.002	M67	M1157	ME_M67	ME_M1157
40	4	0.009	M786	M1157	ME_M786	ME_M1157
1	5	0.04	M1080	M1159	ME_M1080	ME_M1159
2	5	0.031	M1132	M1159	ME_M1132	ME_M1159
3	5	0.033	M1135	M1159	ME_M1135	ME_M1159
4	5	0.038	M1157	M1159	ME_M1157	ME_M1159
6	5	0.729	M1160	M1159	ME_M1160	ME_M1159
7	5	0.051	M1220	M1159	ME_M1220	ME_M1159
8	5	0.022	M147	M1159	ME_M147	ME_M1159
9	5	0.031	M148	M1159	ME_M148	ME_M1159
10	5	0.002	M151	M1159	ME_M151	ME_M1159
11	5	0.005	M154	M1159	ME_M154	ME_M1159
12	5	0.37	M1599	M1159	ME_M1599	ME_M1159
13	5	0.067	M163	M1159	ME_M163	ME_M1159
14	5	0.054	M167	M1159	ME_M167	ME_M1159
15	5	0.036	M1753	M1159	ME_M1753	ME_M1159
16	5	0.061	M1755	M1159	ME_M1755	ME_M1159
17	5	0.075	M1762	M1159	ME_M1762	ME_M1159
18	5	0.057	M1770	M1159	ME_M1770	ME_M1159
20	5	0.008	M1970	M1159	ME_M1970	ME_M1159
21	5	0.013	M1974	M1159	ME_M1974	ME_M1159
22	5	0.001	M1987	M1159	ME_M1987	ME_M1159
23	5	0.002	M1989	M1159	ME_M1989	ME_M1159
24	5	0.67	M2044	M1159	ME_M2044	ME_M1159
25	5	0.043	M2046	M1159	ME_M2046	ME_M1159
26	5	0.037	M2048	M1159	ME_M2048	ME_M1159
28	5	0.009	M30	M1159	ME_M30	ME_M1159
