source_id	target_id	frequency	source_name	target_name	source_raw	target_raw
3	1	0.001	M140	M0	ME_M140	ME_M0
6	1	0.001	M160	M0	ME_M160	ME_M0
10	1	0.001	M286	M0	ME_M286	ME_M0
11	1	0.156	M311	M0	ME_M311	ME_M0
12	1	0.018	M323	M0	ME_M323	ME_M0
13	1	0.006	M324	M0	ME_M324	ME_M0
14	1	0.006	M338	M0	ME_M338	ME_M0
15	1	0.004	M341	M0	ME_M341	ME_M0
16	1	0.013	M345	M0	ME_M345	ME_M0
17	1	0.001	M346	M0	ME_M346	ME_M0
18	1	0.003	M351	M0	ME_M351	ME_M0
19	1	0.002	M355	M0	ME_M355	ME_M0
20	1	0.281	M36	M0	ME_M36	ME_M0
21	1	0.001	M365	M0	ME_M365	ME_M0
22	1	0.005	M366	M0	ME_M366	ME_M0
23	1	0.003	M367	M0	ME_M367	ME_M0
24	1	0.007	M37	M0	ME_M37	ME_M0
25	1	0.003	M449	M0	ME_M449	ME_M0
26	1	0.005	M454	M0	ME_M454	ME_M0
27	1	0.011	M455	M0	ME_M455	ME_M0
28	1	0.079	M466	M0	ME_M466	ME_M0
29	1	0.294	M479	M0	ME_M479	ME_M0
30	1	0.121	M486	M0	ME_M486	ME_M0
31	1	0.086	M487	M0	ME_M487	ME_M0
32	1	0.2	M507	M0	ME_M507	ME_M0
33	1	0.17	M508	M0	ME_M508	ME_M0
34	1	0.37	M513	M0	ME_M513	ME_M0
36	1	0.083	M544	M0	ME_M544	ME_M0
37	1	0.285	M551	M0	ME_M551	ME_M0
38	1	0.004	M565	M0	ME_M565	ME_M0
39	1	0.046	M6	M0	ME_M6	ME_M0
40	1	0.657	M9	M0	ME_M9	ME_M0
3	2	0.012	M140	M137	ME_M140	ME_M137
4	2	0.008	M145	M137	ME_M145	ME_M137
5	2	0.254	M159	M137	ME_M159	ME_M137
6	2	0.115	M160	M137	ME_M160	ME_M137
7	2	0.533	M275	M137	ME_M275	ME_M137
8	2	0.042	M282	M137	ME_M282	ME_M137
9	2	0.021	M283	M137	ME_M283	ME_M137
10	2	0.391	M286	M137	ME_M286	ME_M137
11	2	0.146	M311	M137	ME_M311	ME_M137
12	2	0.021	M323	M137	ME_M323	ME_M137
13	2	0.032	M324	M137	ME_M324	ME_M137
14	2	0.037	M338	M137	ME_M338	ME_M137
15	2	0.012	M341	M137	ME_M341	ME_M137
16	2	0.03	M345	M137	ME_M345	ME_M137
17	2	0.005	M346	M137	ME_M346	ME_M137
18	2	0.051	M351	M137	ME_M351	ME_M137
19	2	0.059	M355	M137	ME_M355	ME_M137
20	2	0.167	M36	M137	ME_M36	ME_M137
21	2	0.066	M365	M137	ME_M365	ME_M137
22	2	0.095	M366	M137	ME_M366	ME_M137
23	2	0.021	M367	M137	ME_M367	ME_M137
24	2	0.428	M37	M137	ME_M37	ME_M137
25	2	0.002	M449	M137	ME_M449	ME_M137
26	2	0.014	M454	M137	ME_M454	ME_M137
27	2	0.114	M455	M137	ME_M455	ME_M137
28	2	0.042	M466	M137	ME_M466	ME_M137
29	2	0.003	M479	M137	ME_M479	ME_M137
30	2	0.03	M486	M137	ME_M486	ME_M137
31	2	0.02	M487	M137	ME_M487	ME_M137
33	2	0.001	M508	M137	ME_M508	ME_M137
34	2	0.003	M513	M137	ME_M513	ME_M137
36	2	0.004	M544	M137	ME_M544	ME_M137
37	2	0.001	M551	M137	ME_M551	ME_M137
38	2	0.004	M565	M137	ME_M565	ME_M137
39	2	0.005	M6	M137	ME_M6	ME_M137
40	2	0.002	M9	M137	ME_M9	ME_M137
1	3	0.001	M0	M140	ME_M0	ME_M140
2	3	0.045	M137	M140	ME_M137	ME_M140
4	3	0.376	M145	M140	ME_M145	ME_M140
5	3	0.063	M159	M140	ME_M159	ME_M140
6	3	0.013	M160	M140	ME_M160	ME_M140
7	3	0.004	M275	M140	ME_M275	ME_M140
8	3	0.001	M282	M140	ME_M282	ME_M140
9	3	0.06	M283	M140	ME_M283	ME_M140
10	3	0.006	M286	M140	ME_M286	ME_M140
11	3	0.095	M311	M140	ME_M311	ME_M140
12	3	0.102	M323	M140	ME_M323	ME_M140
13	3	0.009	M324	M140	ME_M324	ME_M140
14	3	0.09	M338	M140	ME_M338	ME_M140
15	3	0.124	M341	M140	ME_M341	ME_M140
16	3	0.025	M345	M140	ME_M345	ME_M140
17	3	0.057	M346	M140	ME_M346	ME_M140
18	3	0.004	M351	M140	ME_M351	ME_M140
19	3	0.587	M355	M140	ME_M355	ME_M140
20	3	0.012	M36	M140	ME_M36	ME_M140
21	3	0.044	M365	M140	ME_M365	ME_M140
22	3	0.183	M366	M140	ME_M366	ME_M140
23	3	0.056	M367	M140	ME_M367	ME_M140
24	3	0.022	M37	M140	ME_M37	ME_M140
25	3	0.163	M449	M140	ME_M449	ME_M140
26	3	0.042	M454	M140	ME_M454	ME_M140
27	3	0.077	M455	M140	ME_M455	ME_M140
28	3	0.248	M466	M140	ME_M466	ME_M140
29	3	0.006	M479	M140	ME_M479	ME_M140
30	3	0.112	M486	M140	ME_M486	ME_M140
31	3	0.018	M487	M140	ME_M487	ME_M140
33	3	0.002	M508	M140	ME_M508	ME_M140
34	3	0.002	M513	M140	ME_M513	ME_M140
35	3	0.002	M515	M140	ME_M515	ME_M140
36	3	0.017	M544	M140	ME_M544	ME_M140
37	3	0.006	M551	M140	ME_M551	ME_M140
38	3	0.006	M565	M140	ME_M565	ME_M140
39	3	0.012	M6	M140	ME_M6	ME_M140
40	3	0.02	M9	M140	ME_M9	ME_M140
1	4	0.002	M0	M145	ME_M0	ME_M145
2	4	0.15	M137	M145	ME_M137	ME_M145
3	4	0.188	M140	M145	ME_M140	ME_M145
5	4	0.253	M159	M145	ME_M159	ME_M145
6	4	0.031	M160	M145	ME_M160	ME_M145
7	4	0.008	M275	M145	ME_M275	ME_M145
8	4	0.116	M282	M145	ME_M282	ME_M145
9	4	0.035	M283	M145	ME_M283	ME_M145
10	4	0.056	M286	M145	ME_M286	ME_M145
11	4	0.075	M311	M145	ME_M311	ME_M145
12	4	0.008	M323	M145	ME_M323	ME_M145
13	4	0.025	M324	M145	ME_M324	ME_M145
14	4	0.764	M338	M145	ME_M338	ME_M145
15	4	0.023	M341	M145	ME_M341	ME_M145
16	4	0.099	M345	M145	ME_M345	ME_M145
17	4	0.83	M346	M145	ME_M346	ME_M145
18	4	0.024	M351	M145	ME_M351	ME_M145
19	4	0.026	M355	M145	ME_M355	ME_M145
20	4	0.004	M36	M145	ME_M36	ME_M145
21	4	0.02	M365	M145	ME_M365	ME_M145
22	4	0.003	M366	M145	ME_M366	ME_M145
23	4	0.007	M367	M145	ME_M367	ME_M145
24	4	0.003	M37	M145	ME_M37	ME_M145
25	4	0.017	M449	M145	ME_M449	ME_M145
26	4	0.007	M454	M145	ME_M454	ME_M145
27	4	0.004	M455	M145	ME_M455	ME_M145
28	4	0.004	M466	M145	ME_M466	ME_M145
30	4	0.055	M486	M145	ME_M486	ME_M145
31	4	0.004	M487	M145	ME_M487	ME_M145
34	4	0.001	M513	M145	ME_M513	ME_M145
36	4	0.022	M544	M145	ME_M544	ME_M145
37	4	0.001	M551	M145	ME_M551	ME_M145
38	4	0.015	M565	M145	ME_M565	ME_M145
40	4	0.006	M9	M145	ME_M9	ME_M145
1	5	0.002	M0	M159	ME_M0	ME_M159
2	5	0.36	M137	M159	ME_M137	ME_M159
3	5	0.073	M140	M159	ME_M140	ME_M159
4	5	0.024	M145	M159	ME_M145	ME_M159
6	5	0.368	M160	M159	ME_M160	ME_M159
7	5	0.237	M275	M159	ME_M275	ME_M159
8	5	0.024	M282	M159	ME_M282	ME_M159
9	5	0.57	M283	M159	ME_M283	ME_M159
10	5	0.077	M286	M159	ME_M286	ME_M159
11	5	0.011	M311	M159	ME_M311	ME_M159
12	5	0.043	M323	M159	ME_M323	ME_M159
13	5	0.042	M324	M159	ME_M324	ME_M159
14	5	0.052	M338	M159	ME_M338	ME_M159
15	5	0.041	M341	M159	ME_M341	ME_M159
16	5	0.001	M345	M159	ME_M345	ME_M159
17	5	0.015	M346	M159	ME_M346	ME_M159
18	5	0.014	M351	M159	ME_M351	ME_M159
19	5	0.337	M355	M159	ME_M355	ME_M159
20	5	0.063	M36	M159	ME_M36	ME_M159
21	5	0.034	M365	M159	ME_M365	ME_M159
22	5	0.04	M366	M159	ME_M366	ME_M159
23	5	0.079	M367	M159	ME_M367	ME_M159
24	5	0.074	M37	M159	ME_M37	ME_M159
25	5	0.005	M449	M159	ME_M449	ME_M159
26	5	0.006	M454	M159	ME_M454	ME_M159
27	5	0.054	M455	M159	ME_M455	ME_M159
28	5	0.024	M466	M159	ME_M466	ME_M159
29	5	0.007	M479	M159	ME_M479	ME_M159
30	5	0.031	M486	M159	ME_M486	ME_M159
31	5	0.022	M487	M159	ME_M487	ME_M159
32	5	0.001	M507	M159	ME_M507	ME_M159
34	5	0.002	M513	M159	ME_M513	ME_M159
36	5	0.042	M544	M159	ME_M544	ME_M159
38	5	0.028	M565	M159	ME_M565	ME_M159
39	5	0.003	M6	M159	ME_M6	ME_M159
40	5	0.008	M9	M159	ME_M9	ME_M159
2	6	0.146	M137	M160	ME_M137	ME_M160
3	6	0.003	M140	M160	ME_M140	ME_M160
4	6	0.003	M145	M160	ME_M145	ME_M160
5	6	0.585	M159	M160	ME_M159	ME_M160
7	6	0.255	M275	M160	ME_M275	ME_M160
8	6	0.236	M282	M160	ME_M282	ME_M160
9	6	0.142	M283	M160	ME_M283	ME_M160
10	6	0.039	M286	M160	ME_M286	ME_M160
11	6	0.004	M311	M160	ME_M311	ME_M160
12	6	0.039	M323	M160	ME_M323	ME_M160
13	6	0.029	M324	M160	ME_M324	ME_M160
14	6	0.063	M338	M160	ME_M338	ME_M160
15	6	0.019	M341	M160	ME_M341	ME_M160
16	6	0.004	M345	M160	ME_M345	ME_M160
17	6	0.016	M346	M160	ME_M346	ME_M160
18	6	0.005	M351	M160	ME_M351	ME_M160
19	6	0.256	M355	M160	ME_M355	ME_M160
20	6	0.09	M36	M160	ME_M36	ME_M160
21	6	0.026	M365	M160	ME_M365	ME_M160
22	6	0.027	M366	M160	ME_M366	ME_M160
23	6	0.032	M367	M160	ME_M367	ME_M160
24	6	0.457	M37	M160	ME_M37	ME_M160
25	6	0.028	M449	M160	ME_M449	ME_M160
26	6	0.004	M454	M160	ME_M454	ME_M160
27	6	0.101	M455	M160	ME_M455	ME_M160
28	6	0.027	M466	M160	ME_M466	ME_M160
29	6	0.001	M479	M160	ME_M479	ME_M160
30	6	0.06	M486	M160	ME_M486	ME_M160
31	6	0.007	M487	M160	ME_M487	ME_M160
34	6	0.003	M513	M160	ME_M513	ME_M160
35	6	0.001	M515	M160	ME_M515	ME_M160
36	6	0.06	M544	M160	ME_M544	ME_M160
38	6	0.004	M565	M160	ME_M565	ME_M160
39	6	0.002	M6	M160	ME_M6	ME_M160
40	6	0.002	M9	M160	ME_M9	ME_M160
2	7	0.211	M137	M275	ME_M137	ME_M275
3	7	0.02	M140	M275	ME_M140	ME_M275
4	7	0.021	M145	M275	ME_M145	ME_M275
5	7	0.435	M159	M275	ME_M159	ME_M275
6	7	0.609	M160	M275	ME_M160	ME_M275
8	7	0.14	M282	M275	ME_M282	ME_M275
9	7	0.579	M283	M275	ME_M283	ME_M275
10	7	0.125	M286	M275	ME_M286	ME_M275
11	7	0.003	M311	M275	ME_M311	ME_M275
12	7	0.003	M323	M275	ME_M323	ME_M275
13	7	0.003	M324	M275	ME_M324	ME_M275
14	7	0.003	M338	M275	ME_M338	ME_M275
15	7	0.008	M341	M275	ME_M341	ME_M275
16	7	0.002	M345	M275	ME_M345	ME_M275
17	7	0.005	M346	M275	ME_M346	ME_M275
18	7	0.013	M351	M275	ME_M351	ME_M275
19	7	0.017	M355	M275	ME_M355	ME_M275
20	7	0.037	M36	M275	ME_M36	ME_M275
21	7	0.002	M365	M275	ME_M365	ME_M275
22	7	0.003	M366	M275	ME_M366	ME_M275
23	7	0.005	M367	M275	ME_M367	ME_M275
24	7	0.093	M37	M275	ME_M37	ME_M275
25	7	0.008	M449	M275	ME_M449	ME_M275
26	7	0.012	M454	M275	ME_M454	ME_M275
27	7	0.157	M455	M275	ME_M455	ME_M275
28	7	0.087	M466	M275	ME_M466	ME_M275
29	7	0.005	M479	M275	ME_M479	ME_M275
30	7	0.053	M486	M275	ME_M486	ME_M275
31	7	0.046	M487	M275	ME_M487	ME_M275
34	7	0.001	M513	M275	ME_M513	ME_M275
36	7	0.038	M544	M275	ME_M544	ME_M275
37	7	0.001	M551	M275	ME_M551	ME_M275
38	7	0.055	M565	M275	ME_M565	ME_M275
39	7	0.003	M6	M275	ME_M6	ME_M275
1	8	0.001	M0	M282	ME_M0	ME_M282
2	8	0.449	M137	M282	ME_M137	ME_M282
3	8	0.001	M140	M282	ME_M140	ME_M282
4	8	0.002	M145	M282	ME_M145	ME_M282
5	8	0.001	M159	M282	ME_M159	ME_M282
6	8	0.467	M160	M282	ME_M160	ME_M282
7	8	0.169	M275	M282	ME_M275	ME_M282
9	8	0.529	M283	M282	ME_M283	ME_M282
10	8	0.486	M286	M282	ME_M286	ME_M282
12	8	0.22	M323	M282	ME_M323	ME_M282
13	8	0.006	M324	M282	ME_M324	ME_M282
14	8	0.001	M338	M282	ME_M338	ME_M282
15	8	0.02	M341	M282	ME_M341	ME_M282
16	8	0.002	M345	M282	ME_M345	ME_M282
17	8	0.007	M346	M282	ME_M346	ME_M282
18	8	0.004	M351	M282	ME_M351	ME_M282
19	8	0.009	M355	M282	ME_M355	ME_M282
20	8	0.011	M36	M282	ME_M36	ME_M282
21	8	0.008	M365	M282	ME_M365	ME_M282
22	8	0.004	M366	M282	ME_M366	ME_M282
23	8	0.018	M367	M282	ME_M367	ME_M282
24	8	0.017	M37	M282	ME_M37	ME_M282
25	8	0.002	M449	M282	ME_M449	ME_M282
26	8	0.016	M454	M282	ME_M454	ME_M282
27	8	0.046	M455	M282	ME_M455	ME_M282
28	8	0.014	M466	M282	ME_M466	ME_M282
29	8	0.003	M479	M282	ME_M479	ME_M282
30	8	0.081	M486	M282	ME_M486	ME_M282
31	8	0.019	M487	M282	ME_M487	ME_M282
32	8	0.001	M507	M282	ME_M507	ME_M282
34	8	0.005	M513	M282	ME_M513	ME_M282
36	8	0.304	M544	M282	ME_M544	ME_M282
37	8	0.001	M551	M282	ME_M551	ME_M282
38	8	0.005	M565	M282	ME_M565	ME_M282
39	8	0.002	M6	M282	ME_M6	ME_M282
40	8	0.004	M9	M282	ME_M9	ME_M282
1	9	0.005	M0	M283	ME_M0	ME_M283
2	9	0.053	M137	M283	ME_M137	ME_M283
3	9	0.063	M140	M283	ME_M140	ME_M283
4	9	0.007	M145	M283	ME_M145	ME_M283
5	9	0.404	M159	M283	ME_M159	ME_M283
6	9	0.178	M160	M283	ME_M160	ME_M283
7	9	0.419	M275	M283	ME_M275	ME_M283
