node_id	raw_name	pretty_name	is_phenotype
1	ME_M1080	M1080	0
2	ME_M1132	M1132	0
3	ME_M1135	M1135	0
4	ME_M1157	M1157	0
5	ME_M1159	M1159	0
6	ME_M1160	M1160	0
7	ME_M1220	M1220	0
8	ME_M147	M147	0
9	ME_M148	M148	0
10	ME_M151	M151	0
11	ME_M154	M154	0
12	ME_M1599	M1599	0
13	ME_M163	M163	0
14	ME_M167	M167	0
15	ME_M1753	M1753	0
16	ME_M1755	M1755	0
17	ME_M1762	M1762	0
18	ME_M1770	M1770	0
19	ME_M1779	M1779	0
20	ME_M1970	M1970	0
21	ME_M1974	M1974	0
22	ME_M1987	M1987	0
23	ME_M1989	M1989	0
24	ME_M2044	M2044	0
25	ME_M2046	M2046	0
26	ME_M2048	M2048	0
27	ME_M24	M24	0
28	ME_M30	M30	0
29	ME_M423	M423	0
30	ME_M427	M427	0
31	ME_M430	M430	0
32	ME_M449	M449	0
33	ME_M504	M504	0
34	ME_M506	M506	0
35	ME_M509	M509	0
36	ME_M511	M511	0
37	ME_M56	M56	0
38	ME_M6	M6	0
39	ME_M67	M67	0
40	ME_M786	M786	0
41	PHENO_pseudotime	PHENO_pseudotime	1
