Gene	r_cogn_global	p_cogn_global	r_pseudotime	p_pseudotime	r_cogng_demog_slope	p_cogng_demog_slope	r_motor10_demog_slope	p_motor10_demog_slope	r_sqrt_parksc_demog_slope	p_sqrt_parksc_demog_slope	max_abs_r	module_id	module_type	cluster_size	selected
ME_M1005	0.11123580400866381	0.16545671308152707	-0.09256373339504934	0.24889835396625368	0.0853862321606211	0.28765497322400135	0.08217124467983514	0.306257527826515	0.046456500912148285	0.5634270038447895	0.11123580400866381	1005	CT	42	False
ME_M1006	0.030037255275475898	0.7088191769643047	-0.027883166945665006	0.7288538224281129	-0.0038307516521385414	0.9620224497552272	0.08695411498668543	0.27886262540338025	0.02308556755767733	0.7741214553842897	0.08695411498668543	1006	TS	41	False
ME_M1007	0.08874843938793653	0.26902479648351807	-0.07884476984755664	0.32631834990164366	0.051840827453591046	0.5190524251152894	0.04321063395095869	0.5910243740424242	0.016258597400037378	0.8398345964072454	0.08874843938793653	1007	TS	67	False
ME_M1008	0.06359480546216796	0.42878389432916625	-0.03072790412095286	0.7024368543587033	0.00844195224419049	0.9164282212143168	0.067890862563655	0.3981959349450096	0.041527942563435165	0.6055692211285861	0.067890862563655	1008	TS	58	False
ME_M1037	-0.03262958566757591	0.6849715260063114	0.011956837703619438	0.8818480927706086	-0.041184092942034	0.6085608122027947	0.09226626846603662	0.2504290045155043	0.020437234784077565	0.7994507412240932	0.09226626846603662	1037	CT	47	False
ME_M1044	-0.10357597634098001	0.1967358176820939	0.08337512578879758	0.29920120959094043	-0.10464241225246512	0.19214091949879766	0.053031535848417466	0.5094863698252536	0.04429607297533854	0.5817273075602659	0.10464241225246512	1044	CT	36	False
ME_M1046	-0.055301778320317435	0.49150396665918866	0.018639528133262903	0.8167660556597756	-0.0029780072123913696	0.9704720715575668	0.10046054820221964	0.2106144220042619	0.0476919295002871	0.5530871155390736	0.10046054820221964	1046	TS	47	False
ME_M1047	-0.07481860465498885	0.35170404918725023	0.026449084023686592	0.7422952897424996	-0.056831510811702	0.47958013277333683	0.05919097469850071	0.4614994278526024	0.01193528190936756	0.8820595525894573	0.07481860465498885	1047	TS	62	False
ME_M1048	-0.004801206758166025	0.9524116526961706	-0.031207207642185687	0.6980197341975928	0.043365812600445725	0.589691090937453	0.08665018223845794	0.28055271111377394	0.01573020394460112	0.8449733970346408	0.08665018223845794	1048	TS	59	False
ME_M1049	-0.10772900060010046	0.1792831166836468	0.07016639899729668	0.38253569676199495	-0.07438571527167548	0.35450535730224675	0.035945794760457575	0.65491490148773	0.032967880119976374	0.6818816548210522	0.10772900060010046	1049	TS	35	False
