phenotype	module	edge_freq
cogn_global	M1779	0.597
cogn_global	M1762	0.382
cogn_global	M1755	0.209
cogn_global	M1970	0.108
cogn_global	M151	0.106
cogn_global	M6	0.09
cogn_global	M1770	0.083
cogn_global	M1753	0.062
cogn_global	M2044	0.05
cogn_global	M167	0.046
cogn_global	M2046	0.044
cogn_global	M67	0.043
cogn_global	M427	0.041
cogn_global	M1989	0.039
cogn_global	M1080	0.038
cogn_global	M148	0.037
cogn_global	M30	0.036
cogn_global	M1987	0.036
cogn_global	M24	0.035
cogn_global	M2048	0.034
cogn_global	M506	0.034
cogn_global	M430	0.034
cogn_global	M423	0.034
cogn_global	M449	0.033
cogn_global	M56	0.033
cogn_global	M147	0.031
cogn_global	M1220	0.031
cogn_global	M511	0.03
cogn_global	M1159	0.029
cogn_global	M504	0.029
cogn_global	M163	0.027
cogn_global	M1135	0.026
cogn_global	M786	0.026
cogn_global	M154	0.026
cogn_global	M1599	0.026
cogn_global	M509	0.025
cogn_global	M1974	0.024
cogn_global	M1157	0.021
cogn_global	M1132	0.02
cogn_global	M1160	0.018
pseudotime	M1779	0.854
pseudotime	M1762	0.136
pseudotime	M1599	0.104
pseudotime	M1157	0.09
pseudotime	M1987	0.082
pseudotime	M2044	0.08
pseudotime	M1970	0.065
pseudotime	M1770	0.06
pseudotime	M67	0.053
pseudotime	M509	0.051
pseudotime	M167	0.05
pseudotime	M151	0.049
pseudotime	M1989	0.047
pseudotime	M786	0.045
pseudotime	M1220	0.045
pseudotime	M1159	0.043
pseudotime	M427	0.043
pseudotime	M148	0.042
pseudotime	M511	0.042
pseudotime	M1135	0.041
pseudotime	M30	0.038
pseudotime	M504	0.036
pseudotime	M2048	0.033
pseudotime	M430	0.033
pseudotime	M1755	0.033
pseudotime	M6	0.032
pseudotime	M1080	0.032
pseudotime	M1160	0.031
pseudotime	M1753	0.031
pseudotime	M506	0.029
pseudotime	M56	0.029
pseudotime	M147	0.028
pseudotime	M163	0.028
pseudotime	M2046	0.028
pseudotime	M423	0.028
pseudotime	M24	0.027
pseudotime	M1974	0.026
pseudotime	M1132	0.025
pseudotime	M449	0.024
pseudotime	M154	0.022
cogng_demog_slope	M1779	0.757
cogng_demog_slope	M1762	0.243
cogng_demog_slope	M151	0.197
cogng_demog_slope	M154	0.188
cogng_demog_slope	M148	0.098
cogng_demog_slope	M2044	0.062
cogng_demog_slope	M67	0.06
cogng_demog_slope	M1970	0.051
cogng_demog_slope	M1987	0.051
cogng_demog_slope	M167	0.048
cogng_demog_slope	M163	0.042
cogng_demog_slope	M1220	0.042
cogng_demog_slope	M1080	0.039
cogng_demog_slope	M1599	0.038
cogng_demog_slope	M1770	0.037
cogng_demog_slope	M1755	0.037
cogng_demog_slope	M2046	0.037
cogng_demog_slope	M1135	0.036
cogng_demog_slope	M1132	0.036
cogng_demog_slope	M511	0.036
cogng_demog_slope	M449	0.035
cogng_demog_slope	M1157	0.034
cogng_demog_slope	M506	0.032
cogng_demog_slope	M504	0.032
cogng_demog_slope	M147	0.031
cogng_demog_slope	M6	0.031
cogng_demog_slope	M1753	0.03
cogng_demog_slope	M1159	0.029
cogng_demog_slope	M786	0.029
cogng_demog_slope	M509	0.029
cogng_demog_slope	M56	0.029
cogng_demog_slope	M24	0.029
cogng_demog_slope	M423	0.026
cogng_demog_slope	M1974	0.025
cogng_demog_slope	M2048	0.024
cogng_demog_slope	M1989	0.023
cogng_demog_slope	M30	0.023
cogng_demog_slope	M1160	0.022
cogng_demog_slope	M427	0.02
cogng_demog_slope	M430	0.017
motor10_demog_slope	M1762	0.247
motor10_demog_slope	M151	0.131
motor10_demog_slope	M1970	0.127
motor10_demog_slope	M427	0.123
motor10_demog_slope	M1770	0.081
motor10_demog_slope	M1755	0.074
motor10_demog_slope	M511	0.064
motor10_demog_slope	M1753	0.061
