gene_symbol	ensembl_id	ensembl_gene_id_base	tissue	source_module	phenotype	edge_frequency	run_type	hgnc_symbol	hgnc_name	protein_name	target_categories	therapeutic_target_score	open_targets_ad_score	open_targets_ad_datasources	is_kinase	is_gPCR	is_ion_channel	is_nuclear_receptor	is_transporter	is_enzyme	is_receptor	is_transcription_factor	is_known_drug_target	has_ad_evidence
TNPO3	ENSG00000064419	ENSG00000064419	QUAD	M1779	cogn_global	0.999	per_module	TNPO3	transportin 3		Alzheimer_evidence	1	0.4630322273845584	crispr_screen:0.7599134970145264;europepmc:0.034787151196664985	False	False	False	False	False	False	False	False	False	True
GTF3C3	ENSG00000119041	ENSG00000119041	QUAD	M151	cogn_global	0.971	per_module	GTF3C3	general transcription factor IIIC subunit 3		transcription_factor	1	0.0		False	False	False	False	False	False	False	True	False	False
NUS1	ENSG00000153989	ENSG00000153989	VH	M1755	cogn_global	0.885	per_module	NUS1	NUS1 dehydrodolichyl diphosphate synthase subunit		enzyme	1	0.0		False	False	False	False	False	True	False	False	False	False
HDGF	ENSG00000143321	ENSG00000143321	QUAD	M1779	cogn_global	0.851	per_module	HDGF	heparin binding growth factor		Alzheimer_evidence	1	0.016293749182341	europepmc:0.1340099008501817	False	False	False	False	False	False	False	False	False	True
PDK4	ENSG00000004799	ENSG00000004799	SMA	M1970	cogn_global	0.833	per_module	PDK4	pyruvate dehydrogenase kinase 4		kinase;enzyme;known_drug_target;Alzheimer_evidence	4	0.0515617973951688	europepmc:0.39863451883917433;expression_atlas:0.10176675400018889	True	False	False	False	False	True	False	False	True	True
RNF19A	ENSG00000034677	ENSG00000034677	VH	M1970	cogn_global	0.784	per_module	RNF19A	ring finger protein 19A, RBR E3 ubiquitin protein ligase		enzyme;Alzheimer_evidence	2	0.0604190076434296	europepmc:0.49692339885393105	False	False	False	False	False	True	False	False	False	True
PPM1D	ENSG00000170836	ENSG00000170836	VH	M1762	cogn_global	0.754	per_module	PPM1D	protein phosphatase, Mg2+/Mn2+ dependent 1D		enzyme;known_drug_target;Alzheimer_evidence	3	0.2795246398741848	crispr_screen:0.3663273437906858;gwas_credible_sets:0.35874713244381035;europepmc:0.17022062333125393	False	False	False	False	False	True	False	False	True	True
GOLPH3	ENSG00000113384	ENSG00000113384	VH	M1755	cogn_global	0.723	per_module	GOLPH3	golgi phosphoprotein 3		Alzheimer_evidence	1	0.0543154905998188	gwas_credible_sets:0.08744507395049099;europepmc:0.037995674850726316	False	False	False	False	False	False	False	False	False	True
ZSCAN29	ENSG00000140265	ENSG00000140265	QUAD	M1779	cogn_global	0.688	per_module	ZSCAN29	zinc finger and SCAN domain containing 29		transcription_factor	1	0.0		False	False	False	False	False	False	False	True	False	False
DEK	ENSG00000124795	ENSG00000124795	VH	M1762	cogn_global	0.613	per_module	DEK	DEK proto-oncogene		Alzheimer_evidence	1	0.0589494953114127	europepmc:0.4848372178462395	False	False	False	False	False	False	False	False	False	True
GTF3C3	ENSG00000119041	ENSG00000119041	QUAD	cross_cogn_global	cogn_global	0.591	cross_module	GTF3C3	general transcription factor IIIC subunit 3		transcription_factor	1	0.0		False	False	False	False	False	False	False	True	False	False
G3BP1	ENSG00000145907	ENSG00000145907	VH	M1755	cogn_global	0.566	per_module	G3BP1	G3BP stress granule assembly factor 1		Alzheimer_evidence	1	0.0335707665402056	europepmc:0.27610680913103275	False	False	False	False	False	False	False	False	False	True
HDGF	ENSG00000143321	ENSG00000143321	QUAD	cross_cogn_global	cogn_global	0.544	cross_module	HDGF	heparin binding growth factor		Alzheimer_evidence	1	0.016293749182341	europepmc:0.1340099008501817	False	False	False	False	False	False	False	False	False	True
ENSG00000279207	ENSG00000279207	ENSG00000279207	VH	M1762	cogn_global	0.426	per_module					0	0.0		False	False	False	False	False	False	False	False	False	False
PCBD2	ENSG00000132570	ENSG00000132570	QUAD	M151	cogn_global	0.316	per_module	PCBD2	pterin-4 alpha-carbinolamine dehydratase 2		enzyme	1	0.0		False	False	False	False	False	True	False	False	False	False
TAF1	ENSG00000147133	ENSG00000147133	QUAD	M1970	cogn_global	0.311	per_module	TAF1	TATA-box binding protein associated factor 1		transcription_factor;known_drug_target;Alzheimer_evidence	3	0.290841940945942	crispr_screen:0.47462246497174854;europepmc:0.07580886707257772	False	False	False	False	False	False	False	True	True	True
SLC38A2	ENSG00000134294	ENSG00000134294	VH	M1762	cogn_global	0.305	per_module	SLC38A2	solute carrier family 38 member 2		transporter;known_drug_target;Alzheimer_evidence	3	0.0223931034410613	europepmc:0.17693720172751137;expression_atlas:0.028950288744827444	False	False	False	False	True	False	False	False	True	True
TUG1	ENSG00000253352	ENSG00000253352	QUAD	M1970	cogn_global	0.283	per_module	TUG1	taurine up-regulated 1		Alzheimer_evidence	1	0.0423005380849864	europepmc:0.27959011647171866;gwas_credible_sets:0.054652599377584495	False	False	False	False	False	False	False	False	False	True
LARP4	ENSG00000161813	ENSG00000161813	VH	cross_cogn_global	cogn_global	0.273	cross_module	LARP4	La ribonucleoprotein 4		Alzheimer_evidence	1	0.24302126388497	gwas_credible_sets:0.39807971603898396;europepmc:0.03343619386863916	False	False	False	False	False	False	False	False	False	True
AIDA	ENSG00000186063	ENSG00000186063	VH	cross_cogn_global	cogn_global	0.242	cross_module	AIDA	axin interactor, dorsalization associated			0	0.0		False	False	False	False	False	False	False	False	False	False
PDS5A	ENSG00000121892	ENSG00000121892	VH	M1755	cogn_global	0.226	per_module	PDS5A	PDS5 cohesin associated factor A			0	0.0		False	False	False	False	False	False	False	False	False	False
PDS5B	ENSG00000083642	ENSG00000083642	VH	M1762	cogn_global	0.203	per_module	PDS5B	PDS5 cohesin associated factor B		Alzheimer_evidence	1	0.0256173612152979	europepmc:0.2106930699673461	False	False	False	False	False	False	False	False	False	True
PLA2G12A	ENSG00000123739	ENSG00000123739	QUAD	M151	cogn_global	0.181	per_module	PLA2G12A	phospholipase A2 group XIIA		enzyme;known_drug_target	2	0.0		False	False	False	False	False	True	False	False	True	False
