source_id	target_id	frequency	source_name	target_name	source_raw	target_raw
2	1	0.141	ENSG00000125520.13_AC	ENSG00000198830.10_AC	ENSG00000125520.13_AC	ENSG00000198830.10_AC
3	1	0.099	ENSG00000198830.10_MFBA9BA46	ENSG00000198830.10_AC	ENSG00000198830.10_MFBA9BA46	ENSG00000198830.10_AC
4	1	0.299	ENSG00000125534.9_AC	ENSG00000198830.10_AC	ENSG00000125534.9_AC	ENSG00000198830.10_AC
5	1	0.607	ENSG00000198830.10_PCGBA23	ENSG00000198830.10_AC	ENSG00000198830.10_PCGBA23	ENSG00000198830.10_AC
6	1	0.023	ENSG00000159658.10_PCGBA23	ENSG00000198830.10_AC	ENSG00000159658.10_PCGBA23	ENSG00000198830.10_AC
7	1	0.215	ENSG00000055070.16_PCGBA23	ENSG00000198830.10_AC	ENSG00000055070.16_PCGBA23	ENSG00000198830.10_AC
8	1	0.007	ENSG00000112531.16_PCGBA23	ENSG00000198830.10_AC	ENSG00000112531.16_PCGBA23	ENSG00000198830.10_AC
9	1	0.012	ENSG00000180370.10_PCGBA23	ENSG00000198830.10_AC	ENSG00000180370.10_PCGBA23	ENSG00000198830.10_AC
10	1	0.167	ENSG00000137076.20_PCGBA23	ENSG00000198830.10_AC	ENSG00000137076.20_PCGBA23	ENSG00000198830.10_AC
15	1	0.002	ENSG00000166411.13_MFBA9BA46	ENSG00000198830.10_AC	ENSG00000166411.13_MFBA9BA46	ENSG00000198830.10_AC
16	1	0.049	ENSG00000085719.12_PCGBA23	ENSG00000198830.10_AC	ENSG00000085719.12_PCGBA23	ENSG00000198830.10_AC
17	1	0.134	ENSG00000073712.14_PCGBA23	ENSG00000198830.10_AC	ENSG00000073712.14_PCGBA23	ENSG00000198830.10_AC
18	1	0.035	ENSG00000139644.12_PCGBA23	ENSG00000198830.10_AC	ENSG00000139644.12_PCGBA23	ENSG00000198830.10_AC
19	1	0.007	ENSG00000188647.12_PCGBA23	ENSG00000198830.10_AC	ENSG00000188647.12_PCGBA23	ENSG00000198830.10_AC
20	1	0.037	ENSG00000164292.12_PCGBA23	ENSG00000198830.10_AC	ENSG00000164292.12_PCGBA23	ENSG00000198830.10_AC
21	1	0.007	ENSG00000185432.11_PCGBA23	ENSG00000198830.10_AC	ENSG00000185432.11_PCGBA23	ENSG00000198830.10_AC
22	1	0.01	ENSG00000186951.16_PCGBA23	ENSG00000198830.10_AC	ENSG00000186951.16_PCGBA23	ENSG00000198830.10_AC
23	1	0.006	ENSG00000152661.7_PCGBA23	ENSG00000198830.10_AC	ENSG00000152661.7_PCGBA23	ENSG00000198830.10_AC
24	1	0.126	ENSG00000078114.18_PCGBA23	ENSG00000198830.10_AC	ENSG00000078114.18_PCGBA23	ENSG00000198830.10_AC
25	1	0.072	ENSG00000134250.19_PCGBA23	ENSG00000198830.10_AC	ENSG00000134250.19_PCGBA23	ENSG00000198830.10_AC
26	1	0.026	ENSG00000160818.16_AC	ENSG00000198830.10_AC	ENSG00000160818.16_AC	ENSG00000198830.10_AC
27	1	0.015	ENSG00000090263.15_AC	ENSG00000198830.10_AC	ENSG00000090263.15_AC	ENSG00000198830.10_AC
29	1	0.008	ENSG00000106263.17_AC	ENSG00000198830.10_AC	ENSG00000106263.17_AC	ENSG00000198830.10_AC
30	1	0.108	ENSG00000167112.9_AC	ENSG00000198830.10_AC	ENSG00000167112.9_AC	ENSG00000198830.10_AC
31	1	0.008	ENSG00000141873.10_PCGBA23	ENSG00000198830.10_AC	ENSG00000141873.10_PCGBA23	ENSG00000198830.10_AC
32	1	0.007	ENSG00000130204.12_PCGBA23	ENSG00000198830.10_AC	ENSG00000130204.12_PCGBA23	ENSG00000198830.10_AC
33	1	0.002	ENSG00000154127.9_PCGBA23	ENSG00000198830.10_AC	ENSG00000154127.9_PCGBA23	ENSG00000198830.10_AC
34	1	0.006	ENSG00000109917.10_PCGBA23	ENSG00000198830.10_AC	ENSG00000109917.10_PCGBA23	ENSG00000198830.10_AC
35	1	0.137	ENSG00000128564.6_PCGBA23	ENSG00000198830.10_AC	ENSG00000128564.6_PCGBA23	ENSG00000198830.10_AC
36	1	0.056	ENSG00000104381.12_AC	ENSG00000198830.10_AC	ENSG00000104381.12_AC	ENSG00000198830.10_AC
37	1	0.052	ENSG00000109180.14_AC	ENSG00000198830.10_AC	ENSG00000109180.14_AC	ENSG00000198830.10_AC
38	1	0.063	ENSG00000087470.17_AC	ENSG00000198830.10_AC	ENSG00000087470.17_AC	ENSG00000198830.10_AC
39	1	0.009	ENSG00000004059.10_AC	ENSG00000198830.10_AC	ENSG00000004059.10_AC	ENSG00000198830.10_AC
40	1	0.002	ENSG00000116353.15_AC	ENSG00000198830.10_AC	ENSG00000116353.15_AC	ENSG00000198830.10_AC
1	2	0.846	ENSG00000198830.10_AC	ENSG00000125520.13_AC	ENSG00000198830.10_AC	ENSG00000125520.13_AC
3	2	0.015	ENSG00000198830.10_MFBA9BA46	ENSG00000125520.13_AC	ENSG00000198830.10_MFBA9BA46	ENSG00000125520.13_AC
4	2	0.82	ENSG00000125534.9_AC	ENSG00000125520.13_AC	ENSG00000125534.9_AC	ENSG00000125520.13_AC
5	2	0.103	ENSG00000198830.10_PCGBA23	ENSG00000125520.13_AC	ENSG00000198830.10_PCGBA23	ENSG00000125520.13_AC
6	2	0.027	ENSG00000159658.10_PCGBA23	ENSG00000125520.13_AC	ENSG00000159658.10_PCGBA23	ENSG00000125520.13_AC
7	2	0.024	ENSG00000055070.16_PCGBA23	ENSG00000125520.13_AC	ENSG00000055070.16_PCGBA23	ENSG00000125520.13_AC
8	2	0.007	ENSG00000112531.16_PCGBA23	ENSG00000125520.13_AC	ENSG00000112531.16_PCGBA23	ENSG00000125520.13_AC
9	2	0.049	ENSG00000180370.10_PCGBA23	ENSG00000125520.13_AC	ENSG00000180370.10_PCGBA23	ENSG00000125520.13_AC
10	2	0.021	ENSG00000137076.20_PCGBA23	ENSG00000125520.13_AC	ENSG00000137076.20_PCGBA23	ENSG00000125520.13_AC
12	2	0.001	ENSG00000105726.16_PCGBA23	ENSG00000125520.13_AC	ENSG00000105726.16_PCGBA23	ENSG00000125520.13_AC
16	2	0.007	ENSG00000085719.12_PCGBA23	ENSG00000125520.13_AC	ENSG00000085719.12_PCGBA23	ENSG00000125520.13_AC
17	2	0.016	ENSG00000073712.14_PCGBA23	ENSG00000125520.13_AC	ENSG00000073712.14_PCGBA23	ENSG00000125520.13_AC
18	2	0.01	ENSG00000139644.12_PCGBA23	ENSG00000125520.13_AC	ENSG00000139644.12_PCGBA23	ENSG00000125520.13_AC
19	2	0.028	ENSG00000188647.12_PCGBA23	ENSG00000125520.13_AC	ENSG00000188647.12_PCGBA23	ENSG00000125520.13_AC
21	2	0.002	ENSG00000185432.11_PCGBA23	ENSG00000125520.13_AC	ENSG00000185432.11_PCGBA23	ENSG00000125520.13_AC
22	2	0.005	ENSG00000186951.16_PCGBA23	ENSG00000125520.13_AC	ENSG00000186951.16_PCGBA23	ENSG00000125520.13_AC
23	2	0.014	ENSG00000152661.7_PCGBA23	ENSG00000125520.13_AC	ENSG00000152661.7_PCGBA23	ENSG00000125520.13_AC
24	2	0.003	ENSG00000078114.18_PCGBA23	ENSG00000125520.13_AC	ENSG00000078114.18_PCGBA23	ENSG00000125520.13_AC
25	2	0.003	ENSG00000134250.19_PCGBA23	ENSG00000125520.13_AC	ENSG00000134250.19_PCGBA23	ENSG00000125520.13_AC
26	2	0.001	ENSG00000160818.16_AC	ENSG00000125520.13_AC	ENSG00000160818.16_AC	ENSG00000125520.13_AC
27	2	0.005	ENSG00000090263.15_AC	ENSG00000125520.13_AC	ENSG00000090263.15_AC	ENSG00000125520.13_AC
30	2	0.004	ENSG00000167112.9_AC	ENSG00000125520.13_AC	ENSG00000167112.9_AC	ENSG00000125520.13_AC
31	2	0.165	ENSG00000141873.10_PCGBA23	ENSG00000125520.13_AC	ENSG00000141873.10_PCGBA23	ENSG00000125520.13_AC
34	2	0.067	ENSG00000109917.10_PCGBA23	ENSG00000125520.13_AC	ENSG00000109917.10_PCGBA23	ENSG00000125520.13_AC
35	2	0.001	ENSG00000128564.6_PCGBA23	ENSG00000125520.13_AC	ENSG00000128564.6_PCGBA23	ENSG00000125520.13_AC
36	2	0.468	ENSG00000104381.12_AC	ENSG00000125520.13_AC	ENSG00000104381.12_AC	ENSG00000125520.13_AC
37	2	0.064	ENSG00000109180.14_AC	ENSG00000125520.13_AC	ENSG00000109180.14_AC	ENSG00000125520.13_AC
38	2	0.056	ENSG00000087470.17_AC	ENSG00000125520.13_AC	ENSG00000087470.17_AC	ENSG00000125520.13_AC
40	2	0.011	ENSG00000116353.15_AC	ENSG00000125520.13_AC	ENSG00000116353.15_AC	ENSG00000125520.13_AC
1	3	0.797	ENSG00000198830.10_AC	ENSG00000198830.10_MFBA9BA46	ENSG00000198830.10_AC	ENSG00000198830.10_MFBA9BA46
2	3	0.028	ENSG00000125520.13_AC	ENSG00000198830.10_MFBA9BA46	ENSG00000125520.13_AC	ENSG00000198830.10_MFBA9BA46
4	3	0.045	ENSG00000125534.9_AC	ENSG00000198830.10_MFBA9BA46	ENSG00000125534.9_AC	ENSG00000198830.10_MFBA9BA46
5	3	0.913	ENSG00000198830.10_PCGBA23	ENSG00000198830.10_MFBA9BA46	ENSG00000198830.10_PCGBA23	ENSG00000198830.10_MFBA9BA46
6	3	0.247	ENSG00000159658.10_PCGBA23	ENSG00000198830.10_MFBA9BA46	ENSG00000159658.10_PCGBA23	ENSG00000198830.10_MFBA9BA46
7	3	0.013	ENSG00000055070.16_PCGBA23	ENSG00000198830.10_MFBA9BA46	ENSG00000055070.16_PCGBA23	ENSG00000198830.10_MFBA9BA46
8	3	0.119	ENSG00000112531.16_PCGBA23	ENSG00000198830.10_MFBA9BA46	ENSG00000112531.16_PCGBA23	ENSG00000198830.10_MFBA9BA46
9	3	0.036	ENSG00000180370.10_PCGBA23	ENSG00000198830.10_MFBA9BA46	ENSG00000180370.10_PCGBA23	ENSG00000198830.10_MFBA9BA46
10	3	0.122	ENSG00000137076.20_PCGBA23	ENSG00000198830.10_MFBA9BA46	ENSG00000137076.20_PCGBA23	ENSG00000198830.10_MFBA9BA46
11	3	0.006	ENSG00000142606.15_AC	ENSG00000198830.10_MFBA9BA46	ENSG00000142606.15_AC	ENSG00000198830.10_MFBA9BA46
12	3	0.003	ENSG00000105726.16_PCGBA23	ENSG00000198830.10_MFBA9BA46	ENSG00000105726.16_PCGBA23	ENSG00000198830.10_MFBA9BA46
13	3	0.003	ENSG00000159692.15_MFBA9BA46	ENSG00000198830.10_MFBA9BA46	ENSG00000159692.15_MFBA9BA46	ENSG00000198830.10_MFBA9BA46
15	3	0.199	ENSG00000166411.13_MFBA9BA46	ENSG00000198830.10_MFBA9BA46	ENSG00000166411.13_MFBA9BA46	ENSG00000198830.10_MFBA9BA46
16	3	0.013	ENSG00000085719.12_PCGBA23	ENSG00000198830.10_MFBA9BA46	ENSG00000085719.12_PCGBA23	ENSG00000198830.10_MFBA9BA46
17	3	0.016	ENSG00000073712.14_PCGBA23	ENSG00000198830.10_MFBA9BA46	ENSG00000073712.14_PCGBA23	ENSG00000198830.10_MFBA9BA46
18	3	0.011	ENSG00000139644.12_PCGBA23	ENSG00000198830.10_MFBA9BA46	ENSG00000139644.12_PCGBA23	ENSG00000198830.10_MFBA9BA46
19	3	0.011	ENSG00000188647.12_PCGBA23	ENSG00000198830.10_MFBA9BA46	ENSG00000188647.12_PCGBA23	ENSG00000198830.10_MFBA9BA46
20	3	0.009	ENSG00000164292.12_PCGBA23	ENSG00000198830.10_MFBA9BA46	ENSG00000164292.12_PCGBA23	ENSG00000198830.10_MFBA9BA46
21	3	0.01	ENSG00000185432.11_PCGBA23	ENSG00000198830.10_MFBA9BA46	ENSG00000185432.11_PCGBA23	ENSG00000198830.10_MFBA9BA46
22	3	0.012	ENSG00000186951.16_PCGBA23	ENSG00000198830.10_MFBA9BA46	ENSG00000186951.16_PCGBA23	ENSG00000198830.10_MFBA9BA46
23	3	0.007	ENSG00000152661.7_PCGBA23	ENSG00000198830.10_MFBA9BA46	ENSG00000152661.7_PCGBA23	ENSG00000198830.10_MFBA9BA46
24	3	0.014	ENSG00000078114.18_PCGBA23	ENSG00000198830.10_MFBA9BA46	ENSG00000078114.18_PCGBA23	ENSG00000198830.10_MFBA9BA46
25	3	0.02	ENSG00000134250.19_PCGBA23	ENSG00000198830.10_MFBA9BA46	ENSG00000134250.19_PCGBA23	ENSG00000198830.10_MFBA9BA46
26	3	0.001	ENSG00000160818.16_AC	ENSG00000198830.10_MFBA9BA46	ENSG00000160818.16_AC	ENSG00000198830.10_MFBA9BA46
27	3	0.009	ENSG00000090263.15_AC	ENSG00000198830.10_MFBA9BA46	ENSG00000090263.15_AC	ENSG00000198830.10_MFBA9BA46
29	3	0.005	ENSG00000106263.17_AC	ENSG00000198830.10_MFBA9BA46	ENSG00000106263.17_AC	ENSG00000198830.10_MFBA9BA46
30	3	0.002	ENSG00000167112.9_AC	ENSG00000198830.10_MFBA9BA46	ENSG00000167112.9_AC	ENSG00000198830.10_MFBA9BA46
31	3	0.036	ENSG00000141873.10_PCGBA23	ENSG00000198830.10_MFBA9BA46	ENSG00000141873.10_PCGBA23	ENSG00000198830.10_MFBA9BA46
32	3	0.01	ENSG00000130204.12_PCGBA23	ENSG00000198830.10_MFBA9BA46	ENSG00000130204.12_PCGBA23	ENSG00000198830.10_MFBA9BA46
33	3	0.002	ENSG00000154127.9_PCGBA23	ENSG00000198830.10_MFBA9BA46	ENSG00000154127.9_PCGBA23	ENSG00000198830.10_MFBA9BA46
34	3	0.006	ENSG00000109917.10_PCGBA23	ENSG00000198830.10_MFBA9BA46	ENSG00000109917.10_PCGBA23	ENSG00000198830.10_MFBA9BA46
35	3	0.016	ENSG00000128564.6_PCGBA23	ENSG00000198830.10_MFBA9BA46	ENSG00000128564.6_PCGBA23	ENSG00000198830.10_MFBA9BA46
36	3	0.021	ENSG00000104381.12_AC	ENSG00000198830.10_MFBA9BA46	ENSG00000104381.12_AC	ENSG00000198830.10_MFBA9BA46
37	3	0.006	ENSG00000109180.14_AC	ENSG00000198830.10_MFBA9BA46	ENSG00000109180.14_AC	ENSG00000198830.10_MFBA9BA46
38	3	0.014	ENSG00000087470.17_AC	ENSG00000198830.10_MFBA9BA46	ENSG00000087470.17_AC	ENSG00000198830.10_MFBA9BA46
39	3	0.007	ENSG00000004059.10_AC	ENSG00000198830.10_MFBA9BA46	ENSG00000004059.10_AC	ENSG00000198830.10_MFBA9BA46
40	3	0.029	ENSG00000116353.15_AC	ENSG00000198830.10_MFBA9BA46	ENSG00000116353.15_AC	ENSG00000198830.10_MFBA9BA46
