node_id	raw_name	pretty_name	is_phenotype
1	ENSG00000198830.10_AC	ENSG00000198830.10_AC	0
2	ENSG00000125520.13_AC	ENSG00000125520.13_AC	0
3	ENSG00000198830.10_MFBA9BA46	ENSG00000198830.10_MFBA9BA46	0
4	ENSG00000125534.9_AC	ENSG00000125534.9_AC	0
5	ENSG00000198830.10_PCGBA23	ENSG00000198830.10_PCGBA23	0
6	ENSG00000159658.10_PCGBA23	ENSG00000159658.10_PCGBA23	0
7	ENSG00000055070.16_PCGBA23	ENSG00000055070.16_PCGBA23	0
8	ENSG00000112531.16_PCGBA23	ENSG00000112531.16_PCGBA23	0
9	ENSG00000180370.10_PCGBA23	ENSG00000180370.10_PCGBA23	0
10	ENSG00000137076.20_PCGBA23	ENSG00000137076.20_PCGBA23	0
11	ENSG00000142606.15_AC	ENSG00000142606.15_AC	0
12	ENSG00000105726.16_PCGBA23	ENSG00000105726.16_PCGBA23	0
13	ENSG00000159692.15_MFBA9BA46	ENSG00000159692.15_MFBA9BA46	0
14	ENSG00000150787.7_MFBA9BA46	ENSG00000150787.7_MFBA9BA46	0
15	ENSG00000166411.13_MFBA9BA46	ENSG00000166411.13_MFBA9BA46	0
16	ENSG00000085719.12_PCGBA23	ENSG00000085719.12_PCGBA23	0
17	ENSG00000073712.14_PCGBA23	ENSG00000073712.14_PCGBA23	0
18	ENSG00000139644.12_PCGBA23	ENSG00000139644.12_PCGBA23	0
19	ENSG00000188647.12_PCGBA23	ENSG00000188647.12_PCGBA23	0
20	ENSG00000164292.12_PCGBA23	ENSG00000164292.12_PCGBA23	0
21	ENSG00000185432.11_PCGBA23	ENSG00000185432.11_PCGBA23	0
22	ENSG00000186951.16_PCGBA23	ENSG00000186951.16_PCGBA23	0
23	ENSG00000152661.7_PCGBA23	ENSG00000152661.7_PCGBA23	0
24	ENSG00000078114.18_PCGBA23	ENSG00000078114.18_PCGBA23	0
25	ENSG00000134250.19_PCGBA23	ENSG00000134250.19_PCGBA23	0
26	ENSG00000160818.16_AC	ENSG00000160818.16_AC	0
27	ENSG00000090263.15_AC	ENSG00000090263.15_AC	0
28	ENSG00000105443.14_AC	ENSG00000105443.14_AC	0
29	ENSG00000106263.17_AC	ENSG00000106263.17_AC	0
30	ENSG00000167112.9_AC	ENSG00000167112.9_AC	0
31	ENSG00000141873.10_PCGBA23	ENSG00000141873.10_PCGBA23	0
32	ENSG00000130204.12_PCGBA23	ENSG00000130204.12_PCGBA23	0
33	ENSG00000154127.9_PCGBA23	ENSG00000154127.9_PCGBA23	0
34	ENSG00000109917.10_PCGBA23	ENSG00000109917.10_PCGBA23	0
35	ENSG00000128564.6_PCGBA23	ENSG00000128564.6_PCGBA23	0
36	ENSG00000104381.12_AC	ENSG00000104381.12_AC	0
37	ENSG00000109180.14_AC	ENSG00000109180.14_AC	0
38	ENSG00000087470.17_AC	ENSG00000087470.17_AC	0
39	ENSG00000004059.10_AC	ENSG00000004059.10_AC	0
40	ENSG00000116353.15_AC	ENSG00000116353.15_AC	0
41	PHENO_cogn_global	PHENO_cogn_global	1
