source_id	target_id	frequency	source_name	target_name	source_raw	target_raw
2	1	0.055	ENSG00000125520.13_AC	ENSG00000198830.10_AC	ENSG00000125520.13_AC	ENSG00000198830.10_AC
3	1	0.183	ENSG00000198830.10_MFBA9BA46	ENSG00000198830.10_AC	ENSG00000198830.10_MFBA9BA46	ENSG00000198830.10_AC
4	1	0.292	ENSG00000125534.9_AC	ENSG00000198830.10_AC	ENSG00000125534.9_AC	ENSG00000198830.10_AC
5	1	0.835	ENSG00000198830.10_PCGBA23	ENSG00000198830.10_AC	ENSG00000198830.10_PCGBA23	ENSG00000198830.10_AC
6	1	0.015	ENSG00000008277.14_PCGBA23	ENSG00000198830.10_AC	ENSG00000008277.14_PCGBA23	ENSG00000198830.10_AC
7	1	0.001	ENSG00000174996.11_PCGBA23	ENSG00000198830.10_AC	ENSG00000174996.11_PCGBA23	ENSG00000198830.10_AC
8	1	0.036	ENSG00000196542.8_PCGBA23	ENSG00000198830.10_AC	ENSG00000196542.8_PCGBA23	ENSG00000198830.10_AC
9	1	0.001	ENSG00000162694.13_PCGBA23	ENSG00000198830.10_AC	ENSG00000162694.13_PCGBA23	ENSG00000198830.10_AC
10	1	0.016	ENSG00000172350.9_PCGBA23	ENSG00000198830.10_AC	ENSG00000172350.9_PCGBA23	ENSG00000198830.10_AC
11	1	0.045	ENSG00000160818.16_AC	ENSG00000198830.10_AC	ENSG00000160818.16_AC	ENSG00000198830.10_AC
12	1	0.002	ENSG00000090263.15_AC	ENSG00000198830.10_AC	ENSG00000090263.15_AC	ENSG00000198830.10_AC
13	1	0.001	ENSG00000105443.14_AC	ENSG00000198830.10_AC	ENSG00000105443.14_AC	ENSG00000198830.10_AC
14	1	0.015	ENSG00000106263.17_AC	ENSG00000198830.10_AC	ENSG00000106263.17_AC	ENSG00000198830.10_AC
15	1	0.341	ENSG00000167112.9_AC	ENSG00000198830.10_AC	ENSG00000167112.9_AC	ENSG00000198830.10_AC
16	1	0.002	ENSG00000142606.15_AC	ENSG00000198830.10_AC	ENSG00000142606.15_AC	ENSG00000198830.10_AC
17	1	0.001	ENSG00000105726.16_PCGBA23	ENSG00000198830.10_AC	ENSG00000105726.16_PCGBA23	ENSG00000198830.10_AC
18	1	0.001	ENSG00000159692.15_MFBA9BA46	ENSG00000198830.10_AC	ENSG00000159692.15_MFBA9BA46	ENSG00000198830.10_AC
20	1	0.008	ENSG00000166411.13_MFBA9BA46	ENSG00000198830.10_AC	ENSG00000166411.13_MFBA9BA46	ENSG00000198830.10_AC
21	1	0.016	ENSG00000159658.10_PCGBA23	ENSG00000198830.10_AC	ENSG00000159658.10_PCGBA23	ENSG00000198830.10_AC
22	1	0.22	ENSG00000055070.16_PCGBA23	ENSG00000198830.10_AC	ENSG00000055070.16_PCGBA23	ENSG00000198830.10_AC
23	1	0.015	ENSG00000112531.16_PCGBA23	ENSG00000198830.10_AC	ENSG00000112531.16_PCGBA23	ENSG00000198830.10_AC
24	1	0.028	ENSG00000180370.10_PCGBA23	ENSG00000198830.10_AC	ENSG00000180370.10_PCGBA23	ENSG00000198830.10_AC
25	1	0.328	ENSG00000137076.20_PCGBA23	ENSG00000198830.10_AC	ENSG00000137076.20_PCGBA23	ENSG00000198830.10_AC
26	1	0.012	ENSG00000112294.12_PCGBA23	ENSG00000198830.10_AC	ENSG00000112294.12_PCGBA23	ENSG00000198830.10_AC
27	1	0.003	ENSG00000112294.12_MFBA9BA46	ENSG00000198830.10_AC	ENSG00000112294.12_MFBA9BA46	ENSG00000198830.10_AC
28	1	0.002	ENSG00000184985.16_PCGBA23	ENSG00000198830.10_AC	ENSG00000184985.16_PCGBA23	ENSG00000198830.10_AC
29	1	0.001	ENSG00000146729.9_PCGBA23	ENSG00000198830.10_AC	ENSG00000146729.9_PCGBA23	ENSG00000198830.10_AC
30	1	0.015	ENSG00000100714.15_PCGBA23	ENSG00000198830.10_AC	ENSG00000100714.15_PCGBA23	ENSG00000198830.10_AC
31	1	0.002	ENSG00000165121.11_AC	ENSG00000198830.10_AC	ENSG00000165121.11_AC	ENSG00000198830.10_AC
32	1	0.013	ENSG00000112511.17_AC	ENSG00000198830.10_AC	ENSG00000112511.17_AC	ENSG00000198830.10_AC
34	1	0.005	ENSG00000119778.14_AC	ENSG00000198830.10_AC	ENSG00000119778.14_AC	ENSG00000198830.10_AC
36	1	0.057	ENSG00000141873.10_PCGBA23	ENSG00000198830.10_AC	ENSG00000141873.10_PCGBA23	ENSG00000198830.10_AC
37	1	0.019	ENSG00000130204.12_PCGBA23	ENSG00000198830.10_AC	ENSG00000130204.12_PCGBA23	ENSG00000198830.10_AC
38	1	0.005	ENSG00000154127.9_PCGBA23	ENSG00000198830.10_AC	ENSG00000154127.9_PCGBA23	ENSG00000198830.10_AC
39	1	0.003	ENSG00000109917.10_PCGBA23	ENSG00000198830.10_AC	ENSG00000109917.10_PCGBA23	ENSG00000198830.10_AC
40	1	0.161	ENSG00000128564.6_PCGBA23	ENSG00000198830.10_AC	ENSG00000128564.6_PCGBA23	ENSG00000198830.10_AC
1	2	0.945	ENSG00000198830.10_AC	ENSG00000125520.13_AC	ENSG00000198830.10_AC	ENSG00000125520.13_AC
3	2	0.002	ENSG00000198830.10_MFBA9BA46	ENSG00000125520.13_AC	ENSG00000198830.10_MFBA9BA46	ENSG00000125520.13_AC
4	2	0.896	ENSG00000125534.9_AC	ENSG00000125520.13_AC	ENSG00000125534.9_AC	ENSG00000125520.13_AC
5	2	0.027	ENSG00000198830.10_PCGBA23	ENSG00000125520.13_AC	ENSG00000198830.10_PCGBA23	ENSG00000125520.13_AC
6	2	0.001	ENSG00000008277.14_PCGBA23	ENSG00000125520.13_AC	ENSG00000008277.14_PCGBA23	ENSG00000125520.13_AC
8	2	0.002	ENSG00000196542.8_PCGBA23	ENSG00000125520.13_AC	ENSG00000196542.8_PCGBA23	ENSG00000125520.13_AC
9	2	0.004	ENSG00000162694.13_PCGBA23	ENSG00000125520.13_AC	ENSG00000162694.13_PCGBA23	ENSG00000125520.13_AC
11	2	0.004	ENSG00000160818.16_AC	ENSG00000125520.13_AC	ENSG00000160818.16_AC	ENSG00000125520.13_AC
12	2	0.025	ENSG00000090263.15_AC	ENSG00000125520.13_AC	ENSG00000090263.15_AC	ENSG00000125520.13_AC
13	2	0.001	ENSG00000105443.14_AC	ENSG00000125520.13_AC	ENSG00000105443.14_AC	ENSG00000125520.13_AC
14	2	0.001	ENSG00000106263.17_AC	ENSG00000125520.13_AC	ENSG00000106263.17_AC	ENSG00000125520.13_AC
19	2	0.001	ENSG00000150787.7_MFBA9BA46	ENSG00000125520.13_AC	ENSG00000150787.7_MFBA9BA46	ENSG00000125520.13_AC
21	2	0.002	ENSG00000159658.10_PCGBA23	ENSG00000125520.13_AC	ENSG00000159658.10_PCGBA23	ENSG00000125520.13_AC
22	2	0.001	ENSG00000055070.16_PCGBA23	ENSG00000125520.13_AC	ENSG00000055070.16_PCGBA23	ENSG00000125520.13_AC
23	2	0.004	ENSG00000112531.16_PCGBA23	ENSG00000125520.13_AC	ENSG00000112531.16_PCGBA23	ENSG00000125520.13_AC
24	2	0.009	ENSG00000180370.10_PCGBA23	ENSG00000125520.13_AC	ENSG00000180370.10_PCGBA23	ENSG00000125520.13_AC
25	2	0.005	ENSG00000137076.20_PCGBA23	ENSG00000125520.13_AC	ENSG00000137076.20_PCGBA23	ENSG00000125520.13_AC
26	2	0.001	ENSG00000112294.12_PCGBA23	ENSG00000125520.13_AC	ENSG00000112294.12_PCGBA23	ENSG00000125520.13_AC
28	2	0.002	ENSG00000184985.16_PCGBA23	ENSG00000125520.13_AC	ENSG00000184985.16_PCGBA23	ENSG00000125520.13_AC
31	2	0.003	ENSG00000165121.11_AC	ENSG00000125520.13_AC	ENSG00000165121.11_AC	ENSG00000125520.13_AC
32	2	0.007	ENSG00000112511.17_AC	ENSG00000125520.13_AC	ENSG00000112511.17_AC	ENSG00000125520.13_AC
34	2	0.565	ENSG00000119778.14_AC	ENSG00000125520.13_AC	ENSG00000119778.14_AC	ENSG00000125520.13_AC
36	2	0.39	ENSG00000141873.10_PCGBA23	ENSG00000125520.13_AC	ENSG00000141873.10_PCGBA23	ENSG00000125520.13_AC
38	2	0.001	ENSG00000154127.9_PCGBA23	ENSG00000125520.13_AC	ENSG00000154127.9_PCGBA23	ENSG00000125520.13_AC
39	2	0.017	ENSG00000109917.10_PCGBA23	ENSG00000125520.13_AC	ENSG00000109917.10_PCGBA23	ENSG00000125520.13_AC
40	2	0.001	ENSG00000128564.6_PCGBA23	ENSG00000125520.13_AC	ENSG00000128564.6_PCGBA23	ENSG00000125520.13_AC
1	3	0.063	ENSG00000198830.10_AC	ENSG00000198830.10_MFBA9BA46	ENSG00000198830.10_AC	ENSG00000198830.10_MFBA9BA46
4	3	0.035	ENSG00000125534.9_AC	ENSG00000198830.10_MFBA9BA46	ENSG00000125534.9_AC	ENSG00000198830.10_MFBA9BA46
5	3	0.6	ENSG00000198830.10_PCGBA23	ENSG00000198830.10_MFBA9BA46	ENSG00000198830.10_PCGBA23	ENSG00000198830.10_MFBA9BA46
6	3	0.002	ENSG00000008277.14_PCGBA23	ENSG00000198830.10_MFBA9BA46	ENSG00000008277.14_PCGBA23	ENSG00000198830.10_MFBA9BA46
8	3	0.003	ENSG00000196542.8_PCGBA23	ENSG00000198830.10_MFBA9BA46	ENSG00000196542.8_PCGBA23	ENSG00000198830.10_MFBA9BA46
9	3	0.026	ENSG00000162694.13_PCGBA23	ENSG00000198830.10_MFBA9BA46	ENSG00000162694.13_PCGBA23	ENSG00000198830.10_MFBA9BA46
10	3	0.003	ENSG00000172350.9_PCGBA23	ENSG00000198830.10_MFBA9BA46	ENSG00000172350.9_PCGBA23	ENSG00000198830.10_MFBA9BA46
12	3	0.013	ENSG00000090263.15_AC	ENSG00000198830.10_MFBA9BA46	ENSG00000090263.15_AC	ENSG00000198830.10_MFBA9BA46
13	3	0.001	ENSG00000105443.14_AC	ENSG00000198830.10_MFBA9BA46	ENSG00000105443.14_AC	ENSG00000198830.10_MFBA9BA46
14	3	0.003	ENSG00000106263.17_AC	ENSG00000198830.10_MFBA9BA46	ENSG00000106263.17_AC	ENSG00000198830.10_MFBA9BA46
15	3	0.004	ENSG00000167112.9_AC	ENSG00000198830.10_MFBA9BA46	ENSG00000167112.9_AC	ENSG00000198830.10_MFBA9BA46
18	3	0.001	ENSG00000159692.15_MFBA9BA46	ENSG00000198830.10_MFBA9BA46	ENSG00000159692.15_MFBA9BA46	ENSG00000198830.10_MFBA9BA46
19	3	0.003	ENSG00000150787.7_MFBA9BA46	ENSG00000198830.10_MFBA9BA46	ENSG00000150787.7_MFBA9BA46	ENSG00000198830.10_MFBA9BA46
20	3	0.684	ENSG00000166411.13_MFBA9BA46	ENSG00000198830.10_MFBA9BA46	ENSG00000166411.13_MFBA9BA46	ENSG00000198830.10_MFBA9BA46
21	3	0.044	ENSG00000159658.10_PCGBA23	ENSG00000198830.10_MFBA9BA46	ENSG00000159658.10_PCGBA23	ENSG00000198830.10_MFBA9BA46
22	3	0.003	ENSG00000055070.16_PCGBA23	ENSG00000198830.10_MFBA9BA46	ENSG00000055070.16_PCGBA23	ENSG00000198830.10_MFBA9BA46
23	3	0.029	ENSG00000112531.16_PCGBA23	ENSG00000198830.10_MFBA9BA46	ENSG00000112531.16_PCGBA23	ENSG00000198830.10_MFBA9BA46
24	3	0.133	ENSG00000180370.10_PCGBA23	ENSG00000198830.10_MFBA9BA46	ENSG00000180370.10_PCGBA23	ENSG00000198830.10_MFBA9BA46
25	3	0.531	ENSG00000137076.20_PCGBA23	ENSG00000198830.10_MFBA9BA46	ENSG00000137076.20_PCGBA23	ENSG00000198830.10_MFBA9BA46
26	3	0.223	ENSG00000112294.12_PCGBA23	ENSG00000198830.10_MFBA9BA46	ENSG00000112294.12_PCGBA23	ENSG00000198830.10_MFBA9BA46
27	3	0.039	ENSG00000112294.12_MFBA9BA46	ENSG00000198830.10_MFBA9BA46	ENSG00000112294.12_MFBA9BA46	ENSG00000198830.10_MFBA9BA46
