source_id	target_id	frequency	source_name	target_name	source_raw	target_raw
2	1	0.344	ENSG00000100242.15_AC	ENSG00000005893.15_AC	ENSG00000100242.15_AC	ENSG00000005893.15_AC
3	1	0.355	ENSG00000130962.17_AC	ENSG00000005893.15_AC	ENSG00000130962.17_AC	ENSG00000005893.15_AC
4	1	0.341	ENSG00000082996.19_AC	ENSG00000005893.15_AC	ENSG00000082996.19_AC	ENSG00000005893.15_AC
5	1	0.075	ENSG00000137478.14_AC	ENSG00000005893.15_AC	ENSG00000137478.14_AC	ENSG00000005893.15_AC
6	1	0.002	ENSG00000079156.16_PCGBA23	ENSG00000005893.15_AC	ENSG00000079156.16_PCGBA23	ENSG00000005893.15_AC
7	1	0.002	ENSG00000110042.7_PCGBA23	ENSG00000005893.15_AC	ENSG00000110042.7_PCGBA23	ENSG00000005893.15_AC
8	1	0.007	ENSG00000198963.10_PCGBA23	ENSG00000005893.15_AC	ENSG00000198963.10_PCGBA23	ENSG00000005893.15_AC
9	1	0.022	ENSG00000163590.13_PCGBA23	ENSG00000005893.15_AC	ENSG00000163590.13_PCGBA23	ENSG00000005893.15_AC
10	1	0.003	ENSG00000183597.15_PCGBA23	ENSG00000005893.15_AC	ENSG00000183597.15_PCGBA23	ENSG00000005893.15_AC
11	1	0.005	ENSG00000185432.11_PCGBA23	ENSG00000005893.15_AC	ENSG00000185432.11_PCGBA23	ENSG00000005893.15_AC
12	1	0.004	ENSG00000186951.16_PCGBA23	ENSG00000005893.15_AC	ENSG00000186951.16_PCGBA23	ENSG00000005893.15_AC
13	1	0.002	ENSG00000152661.7_PCGBA23	ENSG00000005893.15_AC	ENSG00000152661.7_PCGBA23	ENSG00000005893.15_AC
14	1	0.004	ENSG00000078114.18_PCGBA23	ENSG00000005893.15_AC	ENSG00000078114.18_PCGBA23	ENSG00000005893.15_AC
15	1	0.005	ENSG00000134250.19_PCGBA23	ENSG00000005893.15_AC	ENSG00000134250.19_PCGBA23	ENSG00000005893.15_AC
16	1	0.002	ENSG00000050820.16_AC	ENSG00000005893.15_AC	ENSG00000050820.16_AC	ENSG00000005893.15_AC
17	1	0.001	ENSG00000185252.18_AC	ENSG00000005893.15_AC	ENSG00000185252.18_AC	ENSG00000005893.15_AC
18	1	0.185	ENSG00000123395.14_AC	ENSG00000005893.15_AC	ENSG00000123395.14_AC	ENSG00000005893.15_AC
19	1	0.19	ENSG00000160714.9_AC	ENSG00000005893.15_AC	ENSG00000160714.9_AC	ENSG00000005893.15_AC
20	1	0.466	ENSG00000163444.11_AC	ENSG00000005893.15_AC	ENSG00000163444.11_AC	ENSG00000005893.15_AC
21	1	0.031	ENSG00000134516.15_PCGBA23	ENSG00000005893.15_AC	ENSG00000134516.15_PCGBA23	ENSG00000005893.15_AC
22	1	0.008	ENSG00000165025.14_PCGBA23	ENSG00000005893.15_AC	ENSG00000165025.14_PCGBA23	ENSG00000005893.15_AC
23	1	0.075	ENSG00000171860.4_PCGBA23	ENSG00000005893.15_AC	ENSG00000171860.4_PCGBA23	ENSG00000005893.15_AC
24	1	0.005	ENSG00000123338.12_PCGBA23	ENSG00000005893.15_AC	ENSG00000123338.12_PCGBA23	ENSG00000005893.15_AC
25	1	0.092	ENSG00000011600.11_PCGBA23	ENSG00000005893.15_AC	ENSG00000011600.11_PCGBA23	ENSG00000005893.15_AC
26	1	0.024	ENSG00000159658.10_PCGBA23	ENSG00000005893.15_AC	ENSG00000159658.10_PCGBA23	ENSG00000005893.15_AC
27	1	0.13	ENSG00000055070.16_PCGBA23	ENSG00000005893.15_AC	ENSG00000055070.16_PCGBA23	ENSG00000005893.15_AC
