node_id	raw_name	pretty_name	is_phenotype
1	ENSG00000005893.15_AC	ENSG00000005893.15_AC	0
2	ENSG00000100242.15_AC	ENSG00000100242.15_AC	0
3	ENSG00000130962.17_AC	ENSG00000130962.17_AC	0
4	ENSG00000082996.19_AC	ENSG00000082996.19_AC	0
5	ENSG00000137478.14_AC	ENSG00000137478.14_AC	0
6	ENSG00000079156.16_PCGBA23	ENSG00000079156.16_PCGBA23	0
7	ENSG00000110042.7_PCGBA23	ENSG00000110042.7_PCGBA23	0
8	ENSG00000198963.10_PCGBA23	ENSG00000198963.10_PCGBA23	0
9	ENSG00000163590.13_PCGBA23	ENSG00000163590.13_PCGBA23	0
10	ENSG00000183597.15_PCGBA23	ENSG00000183597.15_PCGBA23	0
11	ENSG00000185432.11_PCGBA23	ENSG00000185432.11_PCGBA23	0
12	ENSG00000186951.16_PCGBA23	ENSG00000186951.16_PCGBA23	0
13	ENSG00000152661.7_PCGBA23	ENSG00000152661.7_PCGBA23	0
14	ENSG00000078114.18_PCGBA23	ENSG00000078114.18_PCGBA23	0
15	ENSG00000134250.19_PCGBA23	ENSG00000134250.19_PCGBA23	0
16	ENSG00000050820.16_AC	ENSG00000050820.16_AC	0
17	ENSG00000185252.18_AC	ENSG00000185252.18_AC	0
18	ENSG00000123395.14_AC	ENSG00000123395.14_AC	0
19	ENSG00000160714.9_AC	ENSG00000160714.9_AC	0
20	ENSG00000163444.11_AC	ENSG00000163444.11_AC	0
21	ENSG00000134516.15_PCGBA23	ENSG00000134516.15_PCGBA23	0
22	ENSG00000165025.14_PCGBA23	ENSG00000165025.14_PCGBA23	0
23	ENSG00000171860.4_PCGBA23	ENSG00000171860.4_PCGBA23	0
24	ENSG00000123338.12_PCGBA23	ENSG00000123338.12_PCGBA23	0
25	ENSG00000011600.11_PCGBA23	ENSG00000011600.11_PCGBA23	0
26	ENSG00000159658.10_PCGBA23	ENSG00000159658.10_PCGBA23	0
27	ENSG00000055070.16_PCGBA23	ENSG00000055070.16_PCGBA23	0
28	ENSG00000112531.16_PCGBA23	ENSG00000112531.16_PCGBA23	0
29	ENSG00000180370.10_PCGBA23	ENSG00000180370.10_PCGBA23	0
30	ENSG00000137076.20_PCGBA23	ENSG00000137076.20_PCGBA23	0
31	ENSG00000085719.12_PCGBA23	ENSG00000085719.12_PCGBA23	0
32	ENSG00000073712.14_PCGBA23	ENSG00000073712.14_PCGBA23	0
33	ENSG00000139644.12_PCGBA23	ENSG00000139644.12_PCGBA23	0
34	ENSG00000188647.12_PCGBA23	ENSG00000188647.12_PCGBA23	0
35	ENSG00000164292.12_PCGBA23	ENSG00000164292.12_PCGBA23	0
36	ENSG00000082458.11_PCGBA23	ENSG00000082458.11_PCGBA23	0
37	ENSG00000169891.17_PCGBA23	ENSG00000169891.17_PCGBA23	0
38	ENSG00000185774.14_PCGBA23	ENSG00000185774.14_PCGBA23	0
39	ENSG00000139174.11_PCGBA23	ENSG00000139174.11_PCGBA23	0
40	ENSG00000165943.4_PCGBA23	ENSG00000165943.4_PCGBA23	0
41	PHENO_motor10_demog_slope	PHENO_motor10_demog_slope	1
