source_id	target_id	frequency	source_name	target_name	source_raw	target_raw
2	1	0.063	ENSG00000090263.15_AC	ENSG00000160818.16_AC	ENSG00000090263.15_AC	ENSG00000160818.16_AC
3	1	0.015	ENSG00000105443.14_AC	ENSG00000160818.16_AC	ENSG00000105443.14_AC	ENSG00000160818.16_AC
4	1	0.02	ENSG00000106263.17_AC	ENSG00000160818.16_AC	ENSG00000106263.17_AC	ENSG00000160818.16_AC
5	1	0.246	ENSG00000167112.9_AC	ENSG00000160818.16_AC	ENSG00000167112.9_AC	ENSG00000160818.16_AC
9	1	0.003	ENSG00000157184.6_MFBA9BA46	ENSG00000160818.16_AC	ENSG00000157184.6_MFBA9BA46	ENSG00000160818.16_AC
10	1	0.407	ENSG00000109099.13_AC	ENSG00000160818.16_AC	ENSG00000109099.13_AC	ENSG00000160818.16_AC
11	1	0.005	ENSG00000107438.8_PCGBA23	ENSG00000160818.16_AC	ENSG00000107438.8_PCGBA23	ENSG00000160818.16_AC
12	1	0.111	ENSG00000107438.8_MFBA9BA46	ENSG00000160818.16_AC	ENSG00000107438.8_MFBA9BA46	ENSG00000160818.16_AC
14	1	0.001	ENSG00000137331.11_PCGBA23	ENSG00000160818.16_AC	ENSG00000137331.11_PCGBA23	ENSG00000160818.16_AC
15	1	0.001	ENSG00000243649.8_MFBA9BA46	ENSG00000160818.16_AC	ENSG00000243649.8_MFBA9BA46	ENSG00000160818.16_AC
16	1	0.1	ENSG00000112294.12_PCGBA23	ENSG00000160818.16_AC	ENSG00000112294.12_PCGBA23	ENSG00000160818.16_AC
17	1	0.669	ENSG00000112294.12_MFBA9BA46	ENSG00000160818.16_AC	ENSG00000112294.12_MFBA9BA46	ENSG00000160818.16_AC
18	1	0.003	ENSG00000184985.16_PCGBA23	ENSG00000160818.16_AC	ENSG00000184985.16_PCGBA23	ENSG00000160818.16_AC
19	1	0.023	ENSG00000146729.9_PCGBA23	ENSG00000160818.16_AC	ENSG00000146729.9_PCGBA23	ENSG00000160818.16_AC
20	1	0.001	ENSG00000100714.15_PCGBA23	ENSG00000160818.16_AC	ENSG00000100714.15_PCGBA23	ENSG00000160818.16_AC
21	1	0.001	ENSG00000146112.11_AC	ENSG00000160818.16_AC	ENSG00000146112.11_AC	ENSG00000160818.16_AC
22	1	0.001	ENSG00000077150.18_AC	ENSG00000160818.16_AC	ENSG00000077150.18_AC	ENSG00000160818.16_AC
23	1	0.001	ENSG00000196843.15_AC	ENSG00000160818.16_AC	ENSG00000196843.15_AC	ENSG00000160818.16_AC
24	1	0.005	ENSG00000161638.10_AC	ENSG00000160818.16_AC	ENSG00000161638.10_AC	ENSG00000160818.16_AC
26	1	0.002	ENSG00000159658.10_PCGBA23	ENSG00000160818.16_AC	ENSG00000159658.10_PCGBA23	ENSG00000160818.16_AC
28	1	0.008	ENSG00000112531.16_PCGBA23	ENSG00000160818.16_AC	ENSG00000112531.16_PCGBA23	ENSG00000160818.16_AC
29	1	0.003	ENSG00000180370.10_PCGBA23	ENSG00000160818.16_AC	ENSG00000180370.10_PCGBA23	ENSG00000160818.16_AC
30	1	0.029	ENSG00000137076.20_PCGBA23	ENSG00000160818.16_AC	ENSG00000137076.20_PCGBA23	ENSG00000160818.16_AC
31	1	0.52	ENSG00000017797.12_AC	ENSG00000160818.16_AC	ENSG00000017797.12_AC	ENSG00000160818.16_AC
32	1	0.042	ENSG00000163348.3_AC	ENSG00000160818.16_AC	ENSG00000163348.3_AC	ENSG00000160818.16_AC
33	1	0.2	ENSG00000140443.13_AC	ENSG00000160818.16_AC	ENSG00000140443.13_AC	ENSG00000160818.16_AC
35	1	0.005	ENSG00000179632.9_MFBA9BA46	ENSG00000160818.16_AC	ENSG00000179632.9_MFBA9BA46	ENSG00000160818.16_AC
36	1	0.328	ENSG00000119655.10_MFBA9BA46	ENSG00000160818.16_AC	ENSG00000119655.10_MFBA9BA46	ENSG00000160818.16_AC
37	1	0.032	ENSG00000143418.19_MFBA9BA46	ENSG00000160818.16_AC	ENSG00000143418.19_MFBA9BA46	ENSG00000160818.16_AC
38	1	0.037	ENSG00000124570.17_MFBA9BA46	ENSG00000160818.16_AC	ENSG00000124570.17_MFBA9BA46	ENSG00000160818.16_AC
39	1	0.001	ENSG00000112851.14_MFBA9BA46	ENSG00000160818.16_AC	ENSG00000112851.14_MFBA9BA46	ENSG00000160818.16_AC
40	1	0.005	ENSG00000102699.5_MFBA9BA46	ENSG00000160818.16_AC	ENSG00000102699.5_MFBA9BA46	ENSG00000160818.16_AC
1	2	0.929	ENSG00000160818.16_AC	ENSG00000090263.15_AC	ENSG00000160818.16_AC	ENSG00000090263.15_AC
3	2	0.006	ENSG00000105443.14_AC	ENSG00000090263.15_AC	ENSG00000105443.14_AC	ENSG00000090263.15_AC
4	2	0.003	ENSG00000106263.17_AC	ENSG00000090263.15_AC	ENSG00000106263.17_AC	ENSG00000090263.15_AC
5	2	0.481	ENSG00000167112.9_AC	ENSG00000090263.15_AC	ENSG00000167112.9_AC	ENSG00000090263.15_AC
6	2	0.004	ENSG00000135094.10_AC	ENSG00000090263.15_AC	ENSG00000135094.10_AC	ENSG00000090263.15_AC
7	2	0.001	ENSG00000135094.10_MFBA9BA46	ENSG00000090263.15_AC	ENSG00000135094.10_MFBA9BA46	ENSG00000090263.15_AC
9	2	0.031	ENSG00000157184.6_MFBA9BA46	ENSG00000090263.15_AC	ENSG00000157184.6_MFBA9BA46	ENSG00000090263.15_AC
10	2	0.855	ENSG00000109099.13_AC	ENSG00000090263.15_AC	ENSG00000109099.13_AC	ENSG00000090263.15_AC
11	2	0.012	ENSG00000107438.8_PCGBA23	ENSG00000090263.15_AC	ENSG00000107438.8_PCGBA23	ENSG00000090263.15_AC
12	2	0.01	ENSG00000107438.8_MFBA9BA46	ENSG00000090263.15_AC	ENSG00000107438.8_MFBA9BA46	ENSG00000090263.15_AC
16	2	0.001	ENSG00000112294.12_PCGBA23	ENSG00000090263.15_AC	ENSG00000112294.12_PCGBA23	ENSG00000090263.15_AC
18	2	0.002	ENSG00000184985.16_PCGBA23	ENSG00000090263.15_AC	ENSG00000184985.16_PCGBA23	ENSG00000090263.15_AC
21	2	0.1	ENSG00000146112.11_AC	ENSG00000090263.15_AC	ENSG00000146112.11_AC	ENSG00000090263.15_AC
22	2	0.221	ENSG00000077150.18_AC	ENSG00000090263.15_AC	ENSG00000077150.18_AC	ENSG00000090263.15_AC
23	2	0.008	ENSG00000196843.15_AC	ENSG00000090263.15_AC	ENSG00000196843.15_AC	ENSG00000090263.15_AC
24	2	0.015	ENSG00000161638.10_AC	ENSG00000090263.15_AC	ENSG00000161638.10_AC	ENSG00000090263.15_AC
25	2	0.128	ENSG00000139083.10_AC	ENSG00000090263.15_AC	ENSG00000139083.10_AC	ENSG00000090263.15_AC
27	2	0.001	ENSG00000055070.16_PCGBA23	ENSG00000090263.15_AC	ENSG00000055070.16_PCGBA23	ENSG00000090263.15_AC
31	2	0.007	ENSG00000017797.12_AC	ENSG00000090263.15_AC	ENSG00000017797.12_AC	ENSG00000090263.15_AC
32	2	0.002	ENSG00000163348.3_AC	ENSG00000090263.15_AC	ENSG00000163348.3_AC	ENSG00000090263.15_AC
35	2	0.069	ENSG00000179632.9_MFBA9BA46	ENSG00000090263.15_AC	ENSG00000179632.9_MFBA9BA46	ENSG00000090263.15_AC
36	2	0.002	ENSG00000119655.10_MFBA9BA46	ENSG00000090263.15_AC	ENSG00000119655.10_MFBA9BA46	ENSG00000090263.15_AC
37	2	0.029	ENSG00000143418.19_MFBA9BA46	ENSG00000090263.15_AC	ENSG00000143418.19_MFBA9BA46	ENSG00000090263.15_AC
38	2	0.008	ENSG00000124570.17_MFBA9BA46	ENSG00000090263.15_AC	ENSG00000124570.17_MFBA9BA46	ENSG00000090263.15_AC
39	2	0.002	ENSG00000112851.14_MFBA9BA46	ENSG00000090263.15_AC	ENSG00000112851.14_MFBA9BA46	ENSG00000090263.15_AC
40	2	0.023	ENSG00000102699.5_MFBA9BA46	ENSG00000090263.15_AC	ENSG00000102699.5_MFBA9BA46	ENSG00000090263.15_AC
1	3	0.241	ENSG00000160818.16_AC	ENSG00000105443.14_AC	ENSG00000160818.16_AC	ENSG00000105443.14_AC
2	3	0.019	ENSG00000090263.15_AC	ENSG00000105443.14_AC	ENSG00000090263.15_AC	ENSG00000105443.14_AC
4	3	0.545	ENSG00000106263.17_AC	ENSG00000105443.14_AC	ENSG00000106263.17_AC	ENSG00000105443.14_AC
5	3	0.599	ENSG00000167112.9_AC	ENSG00000105443.14_AC	ENSG00000167112.9_AC	ENSG00000105443.14_AC
6	3	0.002	ENSG00000135094.10_AC	ENSG00000105443.14_AC	ENSG00000135094.10_AC	ENSG00000105443.14_AC
8	3	0.016	ENSG00000135094.10_PCGBA23	ENSG00000105443.14_AC	ENSG00000135094.10_PCGBA23	ENSG00000105443.14_AC
