node_id	raw_name	pretty_name	is_phenotype
1	ME_M1308	M1308	0
2	ME_M1313	M1313	0
3	ME_M1317	M1317	0
4	ME_M1403	M1403	0
5	ME_M1405	M1405	0
6	ME_M144	M144	0
7	ME_M1460	M1460	0
8	ME_M1464	M1464	0
9	ME_M1505	M1505	0
10	ME_M1506	M1506	0
11	ME_M1508	M1508	0
12	ME_M1509	M1509	0
13	ME_M1510	M1510	0
14	ME_M1537	M1537	0
15	ME_M154	M154	0
16	ME_M1543	M1543	0
17	ME_M1557	M1557	0
18	ME_M158	M158	0
19	ME_M1599	M1599	0
20	ME_M1644	M1644	0
21	ME_M1649	M1649	0
22	ME_M1654	M1654	0
23	ME_M1849	M1849	0
24	ME_M190	M190	0
25	ME_M191	M191	0
26	ME_M1918	M1918	0
27	ME_M192	M192	0
28	ME_M1969	M1969	0
29	ME_M34	M34	0
30	ME_M376	M376	0
31	ME_M38	M38	0
32	ME_M635	M635	0
33	ME_M637	M637	0
34	ME_M66	M66	0
35	ME_M660	M660	0
36	ME_M68	M68	0
37	ME_M742	M742	0
38	ME_M744	M744	0
39	ME_M883	M883	0
40	ME_M93	M93	0
41	PHENO_motor10_demog_slope	PHENO_motor10_demog_slope	1
