source_id	target_id	frequency	source_name	target_name	source_raw	target_raw
2	1	0.002	M1313	M1308	ME_M1313	ME_M1308
3	1	0.017	M1317	M1308	ME_M1317	ME_M1308
4	1	0.012	M1403	M1308	ME_M1403	ME_M1308
5	1	0.01	M1405	M1308	ME_M1405	ME_M1308
6	1	0.026	M144	M1308	ME_M144	ME_M1308
7	1	0.027	M1460	M1308	ME_M1460	ME_M1308
8	1	0.239	M1464	M1308	ME_M1464	ME_M1308
9	1	0.419	M1505	M1308	ME_M1505	ME_M1308
10	1	0.01	M1506	M1308	ME_M1506	ME_M1308
11	1	0.013	M1508	M1308	ME_M1508	ME_M1308
12	1	0.036	M1509	M1308	ME_M1509	ME_M1308
13	1	0.039	M1510	M1308	ME_M1510	ME_M1308
14	1	0.008	M1537	M1308	ME_M1537	ME_M1308
15	1	0.004	M154	M1308	ME_M154	ME_M1308
16	1	0.004	M1543	M1308	ME_M1543	ME_M1308
17	1	0.864	M1557	M1308	ME_M1557	ME_M1308
18	1	0.012	M158	M1308	ME_M158	ME_M1308
19	1	0.006	M1599	M1308	ME_M1599	ME_M1308
20	1	0.058	M1644	M1308	ME_M1644	ME_M1308
21	1	0.003	M1649	M1308	ME_M1649	ME_M1308
22	1	0.018	M1654	M1308	ME_M1654	ME_M1308
23	1	0.002	M1849	M1308	ME_M1849	ME_M1308
24	1	0.011	M190	M1308	ME_M190	ME_M1308
25	1	0.004	M191	M1308	ME_M191	ME_M1308
26	1	0.038	M1918	M1308	ME_M1918	ME_M1308
27	1	0.025	M192	M1308	ME_M192	ME_M1308
28	1	0.269	M1969	M1308	ME_M1969	ME_M1308
29	1	0.019	M34	M1308	ME_M34	ME_M1308
30	1	0.01	M376	M1308	ME_M376	ME_M1308
31	1	0.046	M38	M1308	ME_M38	ME_M1308
32	1	0.03	M635	M1308	ME_M635	ME_M1308
33	1	0.008	M637	M1308	ME_M637	ME_M1308
34	1	0.014	M66	M1308	ME_M66	ME_M1308
35	1	0.004	M660	M1308	ME_M660	ME_M1308
36	1	0.124	M68	M1308	ME_M68	ME_M1308
37	1	0.005	M742	M1308	ME_M742	ME_M1308
38	1	0.004	M744	M1308	ME_M744	ME_M1308
39	1	0.012	M883	M1308	ME_M883	ME_M1308
40	1	0.375	M93	M1308	ME_M93	ME_M1308
1	2	0.003	M1308	M1313	ME_M1308	ME_M1313
3	2	0.023	M1317	M1313	ME_M1317	ME_M1313
4	2	0.011	M1403	M1313	ME_M1403	ME_M1313
5	2	0.053	M1405	M1313	ME_M1405	ME_M1313
6	2	0.229	M144	M1313	ME_M144	ME_M1313
7	2	0.008	M1460	M1313	ME_M1460	ME_M1313
8	2	0.553	M1464	M1313	ME_M1464	ME_M1313
