phenotype	module	edge_freq
cogn_global	M1918	0.829
cogn_global	M144	0.443
cogn_global	M1308	0.357
cogn_global	M158	0.21
cogn_global	M154	0.166
cogn_global	M1543	0.127
cogn_global	M1317	0.107
cogn_global	M1649	0.082
cogn_global	M660	0.054
cogn_global	M1460	0.043
cogn_global	M93	0.043
cogn_global	M1403	0.042
cogn_global	M742	0.039
cogn_global	M192	0.031
cogn_global	M1969	0.027
cogn_global	M1505	0.023
cogn_global	M637	0.02
cogn_global	M744	0.019
cogn_global	M68	0.019
cogn_global	M883	0.015
cogn_global	M1405	0.014
cogn_global	M1599	0.014
cogn_global	M1508	0.013
cogn_global	M1509	0.013
cogn_global	M376	0.012
cogn_global	M34	0.011
cogn_global	M1557	0.01
cogn_global	M1313	0.01
cogn_global	M1464	0.009
cogn_global	M66	0.009
cogn_global	M1506	0.009
cogn_global	M1510	0.009
cogn_global	M1644	0.008
cogn_global	M38	0.008
cogn_global	M1654	0.008
cogn_global	M1849	0.007
cogn_global	M190	0.007
cogn_global	M1537	0.006
cogn_global	M191	0.006
cogn_global	M635	0.005
pseudotime	M660	0.806
pseudotime	M158	0.205
pseudotime	M1460	0.195
pseudotime	M376	0.154
pseudotime	M1543	0.141
pseudotime	M1405	0.133
pseudotime	M144	0.133
pseudotime	M154	0.105
pseudotime	M1969	0.104
pseudotime	M192	0.084
pseudotime	M1508	0.077
pseudotime	M1599	0.065
pseudotime	M1918	0.063
pseudotime	M68	0.044
pseudotime	M1317	0.038
pseudotime	M1509	0.038
pseudotime	M637	0.035
pseudotime	M1654	0.03
pseudotime	M1505	0.029
pseudotime	M1510	0.026
pseudotime	M34	0.024
pseudotime	M1464	0.023
pseudotime	M883	0.021
pseudotime	M635	0.021
pseudotime	M1649	0.02
pseudotime	M1849	0.018
pseudotime	M190	0.017
pseudotime	M1644	0.017
pseudotime	M1403	0.016
pseudotime	M1308	0.015
pseudotime	M1537	0.015
pseudotime	M93	0.014
pseudotime	M742	0.014
pseudotime	M1557	0.014
pseudotime	M66	0.013
pseudotime	M1506	0.013
pseudotime	M191	0.012
pseudotime	M744	0.01
pseudotime	M1313	0.009
pseudotime	M38	0.006
cogng_demog_slope	M1918	0.737
cogng_demog_slope	M1460	0.389
cogng_demog_slope	M1543	0.279
cogng_demog_slope	M1308	0.259
cogng_demog_slope	M144	0.176
cogng_demog_slope	M1849	0.119
cogng_demog_slope	M742	0.106
cogng_demog_slope	M1317	0.098
cogng_demog_slope	M660	0.093
cogng_demog_slope	M154	0.07
cogng_demog_slope	M1509	0.049
cogng_demog_slope	M1403	0.044
cogng_demog_slope	M1510	0.043
cogng_demog_slope	M1405	0.04
cogng_demog_slope	M1508	0.035
cogng_demog_slope	M1464	0.034
cogng_demog_slope	M1649	0.032
cogng_demog_slope	M637	0.03
cogng_demog_slope	M158	0.029
cogng_demog_slope	M1969	0.029
cogng_demog_slope	M376	0.024
cogng_demog_slope	M1654	0.022
cogng_demog_slope	M1557	0.021
cogng_demog_slope	M744	0.018
cogng_demog_slope	M93	0.018
cogng_demog_slope	M1537	0.013
cogng_demog_slope	M68	0.013
cogng_demog_slope	M1506	0.013
cogng_demog_slope	M883	0.012
cogng_demog_slope	M635	0.011
cogng_demog_slope	M1505	0.011
cogng_demog_slope	M1644	0.009
cogng_demog_slope	M192	0.008
cogng_demog_slope	M38	0.007
cogng_demog_slope	M190	0.007
cogng_demog_slope	M1599	0.007
cogng_demog_slope	M66	0.005
cogng_demog_slope	M34	0.005
cogng_demog_slope	M191	0.004
cogng_demog_slope	M1313	0.003
motor10_demog_slope	M190	0.362
motor10_demog_slope	M1313	0.19
motor10_demog_slope	M154	0.167
motor10_demog_slope	M1537	0.11
motor10_demog_slope	M38	0.095
motor10_demog_slope	M144	0.09
motor10_demog_slope	M158	0.086
motor10_demog_slope	M1508	0.085
motor10_demog_slope	M1969	0.08
motor10_demog_slope	M1405	0.077
motor10_demog_slope	M1460	0.07
motor10_demog_slope	M1464	0.064
motor10_demog_slope	M34	0.058
motor10_demog_slope	M1599	0.055
motor10_demog_slope	M1308	0.053
motor10_demog_slope	M883	0.045
motor10_demog_slope	M1505	0.043
motor10_demog_slope	M191	0.043
motor10_demog_slope	M1506	0.043
motor10_demog_slope	M1918	0.041
motor10_demog_slope	M1317	0.038
motor10_demog_slope	M1403	0.036
motor10_demog_slope	M68	0.036
motor10_demog_slope	M637	0.034
motor10_demog_slope	M635	0.033
motor10_demog_slope	M1644	0.032
motor10_demog_slope	M1543	0.032
motor10_demog_slope	M1509	0.032
motor10_demog_slope	M1849	0.031
motor10_demog_slope	M660	0.031
motor10_demog_slope	M744	0.031
motor10_demog_slope	M1649	0.03
motor10_demog_slope	M192	0.029
motor10_demog_slope	M376	0.028
motor10_demog_slope	M1654	0.027
motor10_demog_slope	M1510	0.026
motor10_demog_slope	M66	0.026
motor10_demog_slope	M1557	0.025
motor10_demog_slope	M742	0.025
motor10_demog_slope	M93	0.016
sqrt_parksc_demog_slope	M1543	0.556
sqrt_parksc_demog_slope	M1969	0.286
sqrt_parksc_demog_slope	M66	0.235
sqrt_parksc_demog_slope	M1849	0.217
