source_id	target_id	frequency	source_name	target_name	source_raw	target_raw
2	1	0.09	ENSG00000125520.13_AC	ENSG00000198830.10_AC	ENSG00000125520.13_AC	ENSG00000198830.10_AC
3	1	0.247	ENSG00000198830.10_MFBA9BA46	ENSG00000198830.10_AC	ENSG00000198830.10_MFBA9BA46	ENSG00000198830.10_AC
4	1	0.3455	ENSG00000125534.9_AC	ENSG00000198830.10_AC	ENSG00000125534.9_AC	ENSG00000198830.10_AC
5	1	0.7955	ENSG00000198830.10_PCGBA23	ENSG00000198830.10_AC	ENSG00000198830.10_PCGBA23	ENSG00000198830.10_AC
6	1	0.005	ENSG00000198743.6_PCGBA23	ENSG00000198830.10_AC	ENSG00000198743.6_PCGBA23	ENSG00000198830.10_AC
7	1	0.042	ENSG00000134294.13_PCGBA23	ENSG00000198830.10_AC	ENSG00000134294.13_PCGBA23	ENSG00000198830.10_AC
8	1	0.003	ENSG00000163605.14_PCGBA23	ENSG00000198830.10_AC	ENSG00000163605.14_PCGBA23	ENSG00000198830.10_AC
9	1	0.0215	ENSG00000243927.5_PCGBA23	ENSG00000198830.10_AC	ENSG00000243927.5_PCGBA23	ENSG00000198830.10_AC
10	1	0.0035	ENSG00000168283.13_PCGBA23	ENSG00000198830.10_AC	ENSG00000168283.13_PCGBA23	ENSG00000198830.10_AC
11	1	0.0055	ENSG00000185432.11_PCGBA23	ENSG00000198830.10_AC	ENSG00000185432.11_PCGBA23	ENSG00000198830.10_AC
12	1	0.0105	ENSG00000186951.16_PCGBA23	ENSG00000198830.10_AC	ENSG00000186951.16_PCGBA23	ENSG00000198830.10_AC
13	1	0.0015	ENSG00000152661.7_PCGBA23	ENSG00000198830.10_AC	ENSG00000152661.7_PCGBA23	ENSG00000198830.10_AC
14	1	0.057	ENSG00000078114.18_PCGBA23	ENSG00000198830.10_AC	ENSG00000078114.18_PCGBA23	ENSG00000198830.10_AC
15	1	0.05	ENSG00000134250.19_PCGBA23	ENSG00000198830.10_AC	ENSG00000134250.19_PCGBA23	ENSG00000198830.10_AC
16	1	0.0165	ENSG00000159658.10_PCGBA23	ENSG00000198830.10_AC	ENSG00000159658.10_PCGBA23	ENSG00000198830.10_AC
17	1	0.1005	ENSG00000055070.16_PCGBA23	ENSG00000198830.10_AC	ENSG00000055070.16_PCGBA23	ENSG00000198830.10_AC
18	1	0.031	ENSG00000112531.16_PCGBA23	ENSG00000198830.10_AC	ENSG00000112531.16_PCGBA23	ENSG00000198830.10_AC
19	1	0.0165	ENSG00000180370.10_PCGBA23	ENSG00000198830.10_AC	ENSG00000180370.10_PCGBA23	ENSG00000198830.10_AC
20	1	0.032	ENSG00000137076.20_PCGBA23	ENSG00000198830.10_AC	ENSG00000137076.20_PCGBA23	ENSG00000198830.10_AC
25	1	0.0035	ENSG00000166411.13_MFBA9BA46	ENSG00000198830.10_AC	ENSG00000166411.13_MFBA9BA46	ENSG00000198830.10_AC
26	1	0.0015	ENSG00000141873.10_PCGBA23	ENSG00000198830.10_AC	ENSG00000141873.10_PCGBA23	ENSG00000198830.10_AC
27	1	0.003	ENSG00000130204.12_PCGBA23	ENSG00000198830.10_AC	ENSG00000130204.12_PCGBA23	ENSG00000198830.10_AC
28	1	0.001	ENSG00000154127.9_PCGBA23	ENSG00000198830.10_AC	ENSG00000154127.9_PCGBA23	ENSG00000198830.10_AC
29	1	0.003	ENSG00000109917.10_PCGBA23	ENSG00000198830.10_AC	ENSG00000109917.10_PCGBA23	ENSG00000198830.10_AC
