source_id	target_id	frequency	source_name	target_name	source_raw	target_raw
2	1	0.021	ENSG00000125520.13_AC	ENSG00000198830.10_AC	ENSG00000125520.13_AC	ENSG00000198830.10_AC
3	1	0.0525	ENSG00000198830.10_MFBA9BA46	ENSG00000198830.10_AC	ENSG00000198830.10_MFBA9BA46	ENSG00000198830.10_AC
4	1	0.0765	ENSG00000125534.9_AC	ENSG00000198830.10_AC	ENSG00000125534.9_AC	ENSG00000198830.10_AC
5	1	0.8235	ENSG00000198830.10_PCGBA23	ENSG00000198830.10_AC	ENSG00000198830.10_PCGBA23	ENSG00000198830.10_AC
6	1	0.006	ENSG00000160818.16_AC	ENSG00000198830.10_AC	ENSG00000160818.16_AC	ENSG00000198830.10_AC
7	1	0.0025	ENSG00000090263.15_AC	ENSG00000198830.10_AC	ENSG00000090263.15_AC	ENSG00000198830.10_AC
8	1	0.0025	ENSG00000105443.14_AC	ENSG00000198830.10_AC	ENSG00000105443.14_AC	ENSG00000198830.10_AC
10	1	0.024	ENSG00000167112.9_AC	ENSG00000198830.10_AC	ENSG00000167112.9_AC	ENSG00000198830.10_AC
11	1	0.004	ENSG00000198743.6_PCGBA23	ENSG00000198830.10_AC	ENSG00000198743.6_PCGBA23	ENSG00000198830.10_AC
12	1	0.019	ENSG00000134294.13_PCGBA23	ENSG00000198830.10_AC	ENSG00000134294.13_PCGBA23	ENSG00000198830.10_AC
13	1	0.0075	ENSG00000163605.14_PCGBA23	ENSG00000198830.10_AC	ENSG00000163605.14_PCGBA23	ENSG00000198830.10_AC
14	1	0.008	ENSG00000243927.5_PCGBA23	ENSG00000198830.10_AC	ENSG00000243927.5_PCGBA23	ENSG00000198830.10_AC
15	1	0.003	ENSG00000168283.13_PCGBA23	ENSG00000198830.10_AC	ENSG00000168283.13_PCGBA23	ENSG00000198830.10_AC
16	1	0.0005	ENSG00000142606.15_AC	ENSG00000198830.10_AC	ENSG00000142606.15_AC	ENSG00000198830.10_AC
17	1	0.0005	ENSG00000105726.16_PCGBA23	ENSG00000198830.10_AC	ENSG00000105726.16_PCGBA23	ENSG00000198830.10_AC
20	1	0.002	ENSG00000166411.13_MFBA9BA46	ENSG00000198830.10_AC	ENSG00000166411.13_MFBA9BA46	ENSG00000198830.10_AC
21	1	0.0015	ENSG00000050820.16_AC	ENSG00000198830.10_AC	ENSG00000050820.16_AC	ENSG00000198830.10_AC
22	1	0.0835	ENSG00000185252.18_AC	ENSG00000198830.10_AC	ENSG00000185252.18_AC	ENSG00000198830.10_AC
23	1	0.0395	ENSG00000123395.14_AC	ENSG00000198830.10_AC	ENSG00000123395.14_AC	ENSG00000198830.10_AC
24	1	0.0455	ENSG00000160714.9_AC	ENSG00000198830.10_AC	ENSG00000160714.9_AC	ENSG00000198830.10_AC
25	1	0.014	ENSG00000163444.11_AC	ENSG00000198830.10_AC	ENSG00000163444.11_AC	ENSG00000198830.10_AC
26	1	0.0065	ENSG00000141873.10_PCGBA23	ENSG00000198830.10_AC	ENSG00000141873.10_PCGBA23	ENSG00000198830.10_AC
27	1	0.002	ENSG00000130204.12_PCGBA23	ENSG00000198830.10_AC	ENSG00000130204.12_PCGBA23	ENSG00000198830.10_AC
28	1	0.002	ENSG00000154127.9_PCGBA23	ENSG00000198830.10_AC	ENSG00000154127.9_PCGBA23	ENSG00000198830.10_AC
29	1	0.002	ENSG00000109917.10_PCGBA23	ENSG00000198830.10_AC	ENSG00000109917.10_PCGBA23	ENSG00000198830.10_AC
30	1	0.016	ENSG00000128564.6_PCGBA23	ENSG00000198830.10_AC	ENSG00000128564.6_PCGBA23	ENSG00000198830.10_AC
31	1	0.0055	ENSG00000008277.14_PCGBA23	ENSG00000198830.10_AC	ENSG00000008277.14_PCGBA23	ENSG00000198830.10_AC
32	1	0.001	ENSG00000174996.11_PCGBA23	ENSG00000198830.10_AC	ENSG00000174996.11_PCGBA23	ENSG00000198830.10_AC
33	1	0.0195	ENSG00000196542.8_PCGBA23	ENSG00000198830.10_AC	ENSG00000196542.8_PCGBA23	ENSG00000198830.10_AC
34	1	0.0035	ENSG00000162694.13_PCGBA23	ENSG00000198830.10_AC	ENSG00000162694.13_PCGBA23	ENSG00000198830.10_AC
35	1	0.0115	ENSG00000172350.9_PCGBA23	ENSG00000198830.10_AC	ENSG00000172350.9_PCGBA23	ENSG00000198830.10_AC
36	1	0.005	ENSG00000135094.10_AC	ENSG00000198830.10_AC	ENSG00000135094.10_AC	ENSG00000198830.10_AC
37	1	0.0015	ENSG00000135094.10_MFBA9BA46	ENSG00000198830.10_AC	ENSG00000135094.10_MFBA9BA46	ENSG00000198830.10_AC
38	1	0.0035	ENSG00000135094.10_PCGBA23	ENSG00000198830.10_AC	ENSG00000135094.10_PCGBA23	ENSG00000198830.10_AC
39	1	0.0005	ENSG00000157184.6_MFBA9BA46	ENSG00000198830.10_AC	ENSG00000157184.6_MFBA9BA46	ENSG00000198830.10_AC
40	1	0.6045	ENSG00000109099.13_AC	ENSG00000198830.10_AC	ENSG00000109099.13_AC	ENSG00000198830.10_AC
41	1	0.002	ENSG00000174243.9_AC	ENSG00000198830.10_AC	ENSG00000174243.9_AC	ENSG00000198830.10_AC
42	1	0.0225	ENSG00000032444.15_AC	ENSG00000198830.10_AC	ENSG00000032444.15_AC	ENSG00000198830.10_AC
43	1	0.004	ENSG00000111602.11_AC	ENSG00000198830.10_AC	ENSG00000111602.11_AC	ENSG00000198830.10_AC
44	1	0.0255	ENSG00000163605.14_AC	ENSG00000198830.10_AC	ENSG00000163605.14_AC	ENSG00000198830.10_AC
45	1	0.022	ENSG00000125733.17_AC	ENSG00000198830.10_AC	ENSG00000125733.17_AC	ENSG00000198830.10_AC
46	1	0.012	ENSG00000159658.10_PCGBA23	ENSG00000198830.10_AC	ENSG00000159658.10_PCGBA23	ENSG00000198830.10_AC
47	1	0.144	ENSG00000055070.16_PCGBA23	ENSG00000198830.10_AC	ENSG00000055070.16_PCGBA23	ENSG00000198830.10_AC
48	1	0.023	ENSG00000112531.16_PCGBA23	ENSG00000198830.10_AC	ENSG00000112531.16_PCGBA23	ENSG00000198830.10_AC
49	1	0.5315	ENSG00000180370.10_PCGBA23	ENSG00000198830.10_AC	ENSG00000180370.10_PCGBA23	ENSG00000198830.10_AC
50	1	0.0455	ENSG00000137076.20_PCGBA23	ENSG00000198830.10_AC	ENSG00000137076.20_PCGBA23	ENSG00000198830.10_AC
1	2	0.9385	ENSG00000198830.10_AC	ENSG00000125520.13_AC	ENSG00000198830.10_AC	ENSG00000125520.13_AC
3	2	0.003	ENSG00000198830.10_MFBA9BA46	ENSG00000125520.13_AC	ENSG00000198830.10_MFBA9BA46	ENSG00000125520.13_AC
4	2	0.845	ENSG00000125534.9_AC	ENSG00000125520.13_AC	ENSG00000125534.9_AC	ENSG00000125520.13_AC
5	2	0.0155	ENSG00000198830.10_PCGBA23	ENSG00000125520.13_AC	ENSG00000198830.10_PCGBA23	ENSG00000125520.13_AC
6	2	0.0015	ENSG00000160818.16_AC	ENSG00000125520.13_AC	ENSG00000160818.16_AC	ENSG00000125520.13_AC
7	2	0.0395	ENSG00000090263.15_AC	ENSG00000125520.13_AC	ENSG00000090263.15_AC	ENSG00000125520.13_AC
8	2	0.0005	ENSG00000105443.14_AC	ENSG00000125520.13_AC	ENSG00000105443.14_AC	ENSG00000125520.13_AC
9	2	0.0005	ENSG00000106263.17_AC	ENSG00000125520.13_AC	ENSG00000106263.17_AC	ENSG00000125520.13_AC
10	2	0.009	ENSG00000167112.9_AC	ENSG00000125520.13_AC	ENSG00000167112.9_AC	ENSG00000125520.13_AC
11	2	0.0055	ENSG00000198743.6_PCGBA23	ENSG00000125520.13_AC	ENSG00000198743.6_PCGBA23	ENSG00000125520.13_AC
12	2	0.002	ENSG00000134294.13_PCGBA23	ENSG00000125520.13_AC	ENSG00000134294.13_PCGBA23	ENSG00000125520.13_AC
13	2	0.0005	ENSG00000163605.14_PCGBA23	ENSG00000125520.13_AC	ENSG00000163605.14_PCGBA23	ENSG00000125520.13_AC
14	2	0.0015	ENSG00000243927.5_PCGBA23	ENSG00000125520.13_AC	ENSG00000243927.5_PCGBA23	ENSG00000125520.13_AC
15	2	0.001	ENSG00000168283.13_PCGBA23	ENSG00000125520.13_AC	ENSG00000168283.13_PCGBA23	ENSG00000125520.13_AC
19	2	0.003	ENSG00000150787.7_MFBA9BA46	ENSG00000125520.13_AC	ENSG00000150787.7_MFBA9BA46	ENSG00000125520.13_AC
21	2	0.19	ENSG00000050820.16_AC	ENSG00000125520.13_AC	ENSG00000050820.16_AC	ENSG00000125520.13_AC
22	2	0.001	ENSG00000185252.18_AC	ENSG00000125520.13_AC	ENSG00000185252.18_AC	ENSG00000125520.13_AC
23	2	0.008	ENSG00000123395.14_AC	ENSG00000125520.13_AC	ENSG00000123395.14_AC	ENSG00000125520.13_AC
24	2	0.0745	ENSG00000160714.9_AC	ENSG00000125520.13_AC	ENSG00000160714.9_AC	ENSG00000125520.13_AC
25	2	0.3195	ENSG00000163444.11_AC	ENSG00000125520.13_AC	ENSG00000163444.11_AC	ENSG00000125520.13_AC
26	2	0.2955	ENSG00000141873.10_PCGBA23	ENSG00000125520.13_AC	ENSG00000141873.10_PCGBA23	ENSG00000125520.13_AC
27	2	0.0005	ENSG00000130204.12_PCGBA23	ENSG00000125520.13_AC	ENSG00000130204.12_PCGBA23	ENSG00000125520.13_AC
28	2	0.0005	ENSG00000154127.9_PCGBA23	ENSG00000125520.13_AC	ENSG00000154127.9_PCGBA23	ENSG00000125520.13_AC
29	2	0.091	ENSG00000109917.10_PCGBA23	ENSG00000125520.13_AC	ENSG00000109917.10_PCGBA23	ENSG00000125520.13_AC
30	2	0.0005	ENSG00000128564.6_PCGBA23	ENSG00000125520.13_AC	ENSG00000128564.6_PCGBA23	ENSG00000125520.13_AC
31	2	0.001	ENSG00000008277.14_PCGBA23	ENSG00000125520.13_AC	ENSG00000008277.14_PCGBA23	ENSG00000125520.13_AC
33	2	0.0015	ENSG00000196542.8_PCGBA23	ENSG00000125520.13_AC	ENSG00000196542.8_PCGBA23	ENSG00000125520.13_AC
34	2	0.001	ENSG00000162694.13_PCGBA23	ENSG00000125520.13_AC	ENSG00000162694.13_PCGBA23	ENSG00000125520.13_AC
35	2	0.0045	ENSG00000172350.9_PCGBA23	ENSG00000125520.13_AC	ENSG00000172350.9_PCGBA23	ENSG00000125520.13_AC
36	2	0.001	ENSG00000135094.10_AC	ENSG00000125520.13_AC	ENSG00000135094.10_AC	ENSG00000125520.13_AC
37	2	0.001	ENSG00000135094.10_MFBA9BA46	ENSG00000125520.13_AC	ENSG00000135094.10_MFBA9BA46	ENSG00000125520.13_AC
39	2	0.001	ENSG00000157184.6_MFBA9BA46	ENSG00000125520.13_AC	ENSG00000157184.6_MFBA9BA46	ENSG00000125520.13_AC
40	2	0.003	ENSG00000109099.13_AC	ENSG00000125520.13_AC	ENSG00000109099.13_AC	ENSG00000125520.13_AC
41	2	0.018	ENSG00000174243.9_AC	ENSG00000125520.13_AC	ENSG00000174243.9_AC	ENSG00000125520.13_AC
42	2	0.002	ENSG00000032444.15_AC	ENSG00000125520.13_AC	ENSG00000032444.15_AC	ENSG00000125520.13_AC
43	2	0.0075	ENSG00000111602.11_AC	ENSG00000125520.13_AC	ENSG00000111602.11_AC	ENSG00000125520.13_AC
44	2	0.0035	ENSG00000163605.14_AC	ENSG00000125520.13_AC	ENSG00000163605.14_AC	ENSG00000125520.13_AC
45	2	0.0075	ENSG00000125733.17_AC	ENSG00000125520.13_AC	ENSG00000125733.17_AC	ENSG00000125520.13_AC
46	2	0.0075	ENSG00000159658.10_PCGBA23	ENSG00000125520.13_AC	ENSG00000159658.10_PCGBA23	ENSG00000125520.13_AC
47	2	0.003	ENSG00000055070.16_PCGBA23	ENSG00000125520.13_AC	ENSG00000055070.16_PCGBA23	ENSG00000125520.13_AC
48	2	0.0115	ENSG00000112531.16_PCGBA23	ENSG00000125520.13_AC	ENSG00000112531.16_PCGBA23	ENSG00000125520.13_AC
49	2	0.023	ENSG00000180370.10_PCGBA23	ENSG00000125520.13_AC	ENSG00000180370.10_PCGBA23	ENSG00000125520.13_AC
50	2	0.002	ENSG00000137076.20_PCGBA23	ENSG00000125520.13_AC	ENSG00000137076.20_PCGBA23	ENSG00000125520.13_AC
1	3	0.111	ENSG00000198830.10_AC	ENSG00000198830.10_MFBA9BA46	ENSG00000198830.10_AC	ENSG00000198830.10_MFBA9BA46
2	3	0.001	ENSG00000125520.13_AC	ENSG00000198830.10_MFBA9BA46	ENSG00000125520.13_AC	ENSG00000198830.10_MFBA9BA46
4	3	0.0055	ENSG00000125534.9_AC	ENSG00000198830.10_MFBA9BA46	ENSG00000125534.9_AC	ENSG00000198830.10_MFBA9BA46
5	3	0.9015	ENSG00000198830.10_PCGBA23	ENSG00000198830.10_MFBA9BA46	ENSG00000198830.10_PCGBA23	ENSG00000198830.10_MFBA9BA46
7	3	0.0425	ENSG00000090263.15_AC	ENSG00000198830.10_MFBA9BA46	ENSG00000090263.15_AC	ENSG00000198830.10_MFBA9BA46
9	3	0.0005	ENSG00000106263.17_AC	ENSG00000198830.10_MFBA9BA46	ENSG00000106263.17_AC	ENSG00000198830.10_MFBA9BA46
11	3	0.0525	ENSG00000198743.6_PCGBA23	ENSG00000198830.10_MFBA9BA46	ENSG00000198743.6_PCGBA23	ENSG00000198830.10_MFBA9BA46
12	3	0.195	ENSG00000134294.13_PCGBA23	ENSG00000198830.10_MFBA9BA46	ENSG00000134294.13_PCGBA23	ENSG00000198830.10_MFBA9BA46
13	3	0.0065	ENSG00000163605.14_PCGBA23	ENSG00000198830.10_MFBA9BA46	ENSG00000163605.14_PCGBA23	ENSG00000198830.10_MFBA9BA46
14	3	0.01	ENSG00000243927.5_PCGBA23	ENSG00000198830.10_MFBA9BA46	ENSG00000243927.5_PCGBA23	ENSG00000198830.10_MFBA9BA46
15	3	0.116	ENSG00000168283.13_PCGBA23	ENSG00000198830.10_MFBA9BA46	ENSG00000168283.13_PCGBA23	ENSG00000198830.10_MFBA9BA46
18	3	0.0015	ENSG00000159692.15_MFBA9BA46	ENSG00000198830.10_MFBA9BA46	ENSG00000159692.15_MFBA9BA46	ENSG00000198830.10_MFBA9BA46
19	3	0.0015	ENSG00000150787.7_MFBA9BA46	ENSG00000198830.10_MFBA9BA46	ENSG00000150787.7_MFBA9BA46	ENSG00000198830.10_MFBA9BA46
20	3	0.593	ENSG00000166411.13_MFBA9BA46	ENSG00000198830.10_MFBA9BA46	ENSG00000166411.13_MFBA9BA46	ENSG00000198830.10_MFBA9BA46
22	3	0.001	ENSG00000185252.18_AC	ENSG00000198830.10_MFBA9BA46	ENSG00000185252.18_AC	ENSG00000198830.10_MFBA9BA46
23	3	0.0035	ENSG00000123395.14_AC	ENSG00000198830.10_MFBA9BA46	ENSG00000123395.14_AC	ENSG00000198830.10_MFBA9BA46
24	3	0.003	ENSG00000160714.9_AC	ENSG00000198830.10_MFBA9BA46	ENSG00000160714.9_AC	ENSG00000198830.10_MFBA9BA46
25	3	0.007	ENSG00000163444.11_AC	ENSG00000198830.10_MFBA9BA46	ENSG00000163444.11_AC	ENSG00000198830.10_MFBA9BA46
26	3	0.006	ENSG00000141873.10_PCGBA23	ENSG00000198830.10_MFBA9BA46	ENSG00000141873.10_PCGBA23	ENSG00000198830.10_MFBA9BA46
27	3	0.005	ENSG00000130204.12_PCGBA23	ENSG00000198830.10_MFBA9BA46	ENSG00000130204.12_PCGBA23	ENSG00000198830.10_MFBA9BA46
28	3	0.0005	ENSG00000154127.9_PCGBA23	ENSG00000198830.10_MFBA9BA46	ENSG00000154127.9_PCGBA23	ENSG00000198830.10_MFBA9BA46
29	3	0.0025	ENSG00000109917.10_PCGBA23	ENSG00000198830.10_MFBA9BA46	ENSG00000109917.10_PCGBA23	ENSG00000198830.10_MFBA9BA46
30	3	0.002	ENSG00000128564.6_PCGBA23	ENSG00000198830.10_MFBA9BA46	ENSG00000128564.6_PCGBA23	ENSG00000198830.10_MFBA9BA46
31	3	0.006	ENSG00000008277.14_PCGBA23	ENSG00000198830.10_MFBA9BA46	ENSG00000008277.14_PCGBA23	ENSG00000198830.10_MFBA9BA46
32	3	0.001	ENSG00000174996.11_PCGBA23	ENSG00000198830.10_MFBA9BA46	ENSG00000174996.11_PCGBA23	ENSG00000198830.10_MFBA9BA46
34	3	0.004	ENSG00000162694.13_PCGBA23	ENSG00000198830.10_MFBA9BA46	ENSG00000162694.13_PCGBA23	ENSG00000198830.10_MFBA9BA46
35	3	0.0035	ENSG00000172350.9_PCGBA23	ENSG00000198830.10_MFBA9BA46	ENSG00000172350.9_PCGBA23	ENSG00000198830.10_MFBA9BA46
36	3	0.002	ENSG00000135094.10_AC	ENSG00000198830.10_MFBA9BA46	ENSG00000135094.10_AC	ENSG00000198830.10_MFBA9BA46
37	3	0.0605	ENSG00000135094.10_MFBA9BA46	ENSG00000198830.10_MFBA9BA46	ENSG00000135094.10_MFBA9BA46	ENSG00000198830.10_MFBA9BA46
38	3	0.026	ENSG00000135094.10_PCGBA23	ENSG00000198830.10_MFBA9BA46	ENSG00000135094.10_PCGBA23	ENSG00000198830.10_MFBA9BA46
39	3	0.061	ENSG00000157184.6_MFBA9BA46	ENSG00000198830.10_MFBA9BA46	ENSG00000157184.6_MFBA9BA46	ENSG00000198830.10_MFBA9BA46
40	3	0.0035	ENSG00000109099.13_AC	ENSG00000198830.10_MFBA9BA46	ENSG00000109099.13_AC	ENSG00000198830.10_MFBA9BA46
41	3	0.002	ENSG00000174243.9_AC	ENSG00000198830.10_MFBA9BA46	ENSG00000174243.9_AC	ENSG00000198830.10_MFBA9BA46
42	3	0.0025	ENSG00000032444.15_AC	ENSG00000198830.10_MFBA9BA46	ENSG00000032444.15_AC	ENSG00000198830.10_MFBA9BA46
43	3	0.0035	ENSG00000111602.11_AC	ENSG00000198830.10_MFBA9BA46	ENSG00000111602.11_AC	ENSG00000198830.10_MFBA9BA46
44	3	0.0025	ENSG00000163605.14_AC	ENSG00000198830.10_MFBA9BA46	ENSG00000163605.14_AC	ENSG00000198830.10_MFBA9BA46
45	3	0.0085	ENSG00000125733.17_AC	ENSG00000198830.10_MFBA9BA46	ENSG00000125733.17_AC	ENSG00000198830.10_MFBA9BA46
46	3	0.029	ENSG00000159658.10_PCGBA23	ENSG00000198830.10_MFBA9BA46	ENSG00000159658.10_PCGBA23	ENSG00000198830.10_MFBA9BA46
47	3	0.0035	ENSG00000055070.16_PCGBA23	ENSG00000198830.10_MFBA9BA46	ENSG00000055070.16_PCGBA23	ENSG00000198830.10_MFBA9BA46
