source_id	target_id	frequency	source_name	target_name	source_raw	target_raw
2	1	0.3265	ENSG00000134294.13_PCGBA23	ENSG00000198743.6_PCGBA23	ENSG00000134294.13_PCGBA23	ENSG00000198743.6_PCGBA23
3	1	0.5565	ENSG00000163605.14_PCGBA23	ENSG00000198743.6_PCGBA23	ENSG00000163605.14_PCGBA23	ENSG00000198743.6_PCGBA23
4	1	0.4175	ENSG00000243927.5_PCGBA23	ENSG00000198743.6_PCGBA23	ENSG00000243927.5_PCGBA23	ENSG00000198743.6_PCGBA23
5	1	0.1235	ENSG00000168283.13_PCGBA23	ENSG00000198743.6_PCGBA23	ENSG00000168283.13_PCGBA23	ENSG00000198743.6_PCGBA23
7	1	0.0005	ENSG00000090263.15_AC	ENSG00000198743.6_PCGBA23	ENSG00000090263.15_AC	ENSG00000198743.6_PCGBA23
8	1	0.0005	ENSG00000105443.14_AC	ENSG00000198743.6_PCGBA23	ENSG00000105443.14_AC	ENSG00000198743.6_PCGBA23
10	1	0.002	ENSG00000167112.9_AC	ENSG00000198743.6_PCGBA23	ENSG00000167112.9_AC	ENSG00000198743.6_PCGBA23
11	1	0.0125	ENSG00000050165.17_PCGBA23	ENSG00000198743.6_PCGBA23	ENSG00000050165.17_PCGBA23	ENSG00000198743.6_PCGBA23
12	1	0.001	ENSG00000169181.12_PCGBA23	ENSG00000198743.6_PCGBA23	ENSG00000169181.12_PCGBA23	ENSG00000198743.6_PCGBA23
13	1	0.0095	ENSG00000147202.17_PCGBA23	ENSG00000198743.6_PCGBA23	ENSG00000147202.17_PCGBA23	ENSG00000198743.6_PCGBA23
14	1	0.007	ENSG00000187416.11_PCGBA23	ENSG00000198743.6_PCGBA23	ENSG00000187416.11_PCGBA23	ENSG00000198743.6_PCGBA23
15	1	0.001	ENSG00000125355.15_PCGBA23	ENSG00000198743.6_PCGBA23	ENSG00000125355.15_PCGBA23	ENSG00000198743.6_PCGBA23
16	1	0.0225	ENSG00000104093.13_PCGBA23	ENSG00000198743.6_PCGBA23	ENSG00000104093.13_PCGBA23	ENSG00000198743.6_PCGBA23
17	1	0.0265	ENSG00000166111.9_PCGBA23	ENSG00000198743.6_PCGBA23	ENSG00000166111.9_PCGBA23	ENSG00000198743.6_PCGBA23
18	1	0.006	ENSG00000054356.13_PCGBA23	ENSG00000198743.6_PCGBA23	ENSG00000054356.13_PCGBA23	ENSG00000198743.6_PCGBA23
19	1	0.0215	ENSG00000104381.12_PCGBA23	ENSG00000198743.6_PCGBA23	ENSG00000104381.12_PCGBA23	ENSG00000198743.6_PCGBA23
20	1	0.006	ENSG00000054793.13_PCGBA23	ENSG00000198743.6_PCGBA23	ENSG00000054793.13_PCGBA23	ENSG00000198743.6_PCGBA23
21	1	0.0035	ENSG00000185432.11_PCGBA23	ENSG00000198743.6_PCGBA23	ENSG00000185432.11_PCGBA23	ENSG00000198743.6_PCGBA23
22	1	0.1625	ENSG00000186951.16_PCGBA23	ENSG00000198743.6_PCGBA23	ENSG00000186951.16_PCGBA23	ENSG00000198743.6_PCGBA23
23	1	0.006	ENSG00000152661.7_PCGBA23	ENSG00000198743.6_PCGBA23	ENSG00000152661.7_PCGBA23	ENSG00000198743.6_PCGBA23
24	1	0.0445	ENSG00000078114.18_PCGBA23	ENSG00000198743.6_PCGBA23	ENSG00000078114.18_PCGBA23	ENSG00000198743.6_PCGBA23
25	1	0.011	ENSG00000134250.19_PCGBA23	ENSG00000198743.6_PCGBA23	ENSG00000134250.19_PCGBA23	ENSG00000198743.6_PCGBA23
26	1	0.0035	ENSG00000008277.14_PCGBA23	ENSG00000198743.6_PCGBA23	ENSG00000008277.14_PCGBA23	ENSG00000198743.6_PCGBA23
27	1	0.014	ENSG00000174996.11_PCGBA23	ENSG00000198743.6_PCGBA23	ENSG00000174996.11_PCGBA23	ENSG00000198743.6_PCGBA23
28	1	0.0055	ENSG00000196542.8_PCGBA23	ENSG00000198743.6_PCGBA23	ENSG00000196542.8_PCGBA23	ENSG00000198743.6_PCGBA23
29	1	0.009	ENSG00000162694.13_PCGBA23	ENSG00000198743.6_PCGBA23	ENSG00000162694.13_PCGBA23	ENSG00000198743.6_PCGBA23
30	1	0.005	ENSG00000172350.9_PCGBA23	ENSG00000198743.6_PCGBA23	ENSG00000172350.9_PCGBA23	ENSG00000198743.6_PCGBA23
31	1	0.072	ENSG00000159658.10_PCGBA23	ENSG00000198743.6_PCGBA23	ENSG00000159658.10_PCGBA23	ENSG00000198743.6_PCGBA23
32	1	0.1065	ENSG00000055070.16_PCGBA23	ENSG00000198743.6_PCGBA23	ENSG00000055070.16_PCGBA23	ENSG00000198743.6_PCGBA23
33	1	0.216	ENSG00000112531.16_PCGBA23	ENSG00000198743.6_PCGBA23	ENSG00000112531.16_PCGBA23	ENSG00000198743.6_PCGBA23
34	1	0.406	ENSG00000180370.10_PCGBA23	ENSG00000198743.6_PCGBA23	ENSG00000180370.10_PCGBA23	ENSG00000198743.6_PCGBA23
35	1	0.012	ENSG00000137076.20_PCGBA23	ENSG00000198743.6_PCGBA23	ENSG00000137076.20_PCGBA23	ENSG00000198743.6_PCGBA23
36	1	0.0075	ENSG00000102984.14_PCGBA23	ENSG00000198743.6_PCGBA23	ENSG00000102984.14_PCGBA23	ENSG00000198743.6_PCGBA23
37	1	0.0005	ENSG00000102984.14_MFBA9BA46	ENSG00000198743.6_PCGBA23	ENSG00000102984.14_MFBA9BA46	ENSG00000198743.6_PCGBA23
39	1	0.0065	ENSG00000019995.6_PCGBA23	ENSG00000198743.6_PCGBA23	ENSG00000019995.6_PCGBA23	ENSG00000198743.6_PCGBA23
40	1	0.0035	ENSG00000177479.19_PCGBA23	ENSG00000198743.6_PCGBA23	ENSG00000177479.19_PCGBA23	ENSG00000198743.6_PCGBA23
41	1	0.0085	ENSG00000174243.9_AC	ENSG00000198743.6_PCGBA23	ENSG00000174243.9_AC	ENSG00000198743.6_PCGBA23
42	1	0.011	ENSG00000032444.15_AC	ENSG00000198743.6_PCGBA23	ENSG00000032444.15_AC	ENSG00000198743.6_PCGBA23
43	1	0.013	ENSG00000111602.11_AC	ENSG00000198743.6_PCGBA23	ENSG00000111602.11_AC	ENSG00000198743.6_PCGBA23
44	1	0.0035	ENSG00000163605.14_AC	ENSG00000198743.6_PCGBA23	ENSG00000163605.14_AC	ENSG00000198743.6_PCGBA23
45	1	0.001	ENSG00000125733.17_AC	ENSG00000198743.6_PCGBA23	ENSG00000125733.17_AC	ENSG00000198743.6_PCGBA23
46	1	0.0005	ENSG00000137831.14_AC	ENSG00000198743.6_PCGBA23	ENSG00000137831.14_AC	ENSG00000198743.6_PCGBA23
47	1	0.001	ENSG00000173706.12_AC	ENSG00000198743.6_PCGBA23	ENSG00000173706.12_AC	ENSG00000198743.6_PCGBA23
