node_id	raw_name	pretty_name	is_phenotype
1	ENSG00000142606.15_AC	ENSG00000142606.15_AC	0
2	ENSG00000105726.16_PCGBA23	ENSG00000105726.16_PCGBA23	0
3	ENSG00000159692.15_MFBA9BA46	ENSG00000159692.15_MFBA9BA46	0
4	ENSG00000150787.7_MFBA9BA46	ENSG00000150787.7_MFBA9BA46	0
5	ENSG00000166411.13_MFBA9BA46	ENSG00000166411.13_MFBA9BA46	0
6	ENSG00000143933.16_MFBA9BA46	ENSG00000143933.16_MFBA9BA46	0
7	ENSG00000169139.11_MFBA9BA46	ENSG00000169139.11_MFBA9BA46	0
8	ENSG00000004779.9_MFBA9BA46	ENSG00000004779.9_MFBA9BA46	0
9	ENSG00000173915.14_MFBA9BA46	ENSG00000173915.14_MFBA9BA46	0
10	ENSG00000131174.4_MFBA9BA46	ENSG00000131174.4_MFBA9BA46	0
11	ENSG00000173267.13_PCGBA23	ENSG00000173267.13_PCGBA23	0
12	ENSG00000172014.12_AC	ENSG00000172014.12_AC	0
13	ENSG00000101247.17_MFBA9BA46	ENSG00000101247.17_MFBA9BA46	0
14	ENSG00000115944.14_MFBA9BA46	ENSG00000115944.14_MFBA9BA46	0
15	ENSG00000166913.12_MFBA9BA46	ENSG00000166913.12_MFBA9BA46	0
16	ENSG00000196465.10_MFBA9BA46	ENSG00000196465.10_MFBA9BA46	0
17	ENSG00000177889.9_MFBA9BA46	ENSG00000177889.9_MFBA9BA46	0
18	ENSG00000115947.13_MFBA9BA46	ENSG00000115947.13_MFBA9BA46	0
19	ENSG00000042753.11_MFBA9BA46	ENSG00000042753.11_MFBA9BA46	0
20	ENSG00000161203.13_MFBA9BA46	ENSG00000161203.13_MFBA9BA46	0
